tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
3375,-11.76944,1249.6573,-80.81749,304.50363,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3376,-11.76944,1246.834,-80.315895,302.97736,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3377,-11.81134,1244.0637,-79.772415,301.32153,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3378,-11.81134,1241.575,-79.479904,299.49643,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3379,-11.81134,1239.3447,-79.43802,297.51614,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3380,-11.81134,1237.3523,-79.43802,295.3932,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3381,-11.81134,1235.5784,-79.43802,293.13925,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3382,-11.81134,1234.0051,-79.39613,290.76468,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3383,-11.81134,1232.617,-79.35425,288.27933,128.03125,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3384,-11.81134,1231.3988,-79.35425,285.6926,129.55199,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3385,-11.81134,1230.3368,-79.35425,283.01257,131.31117,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3386,-11.81134,1229.4183,-79.35425,280.24686,133.12662,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3387,-11.81134,1228.6318,-79.35425,277.4022,134.9939,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3388,-11.81134,1227.9664,-79.35425,274.4853,136.90857,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3389,-11.76944,1227.412,-79.39613,271.50195,138.86687,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3390,-11.72757,1226.9587,-79.52145,268.4575,140.86528,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3391,-11.602249,1226.5975,-79.688644,265.35632,142.90092,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3392,-11.476929,1226.3202,-79.85584,262.20297,144.97081,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3393,-11.225967,1226.1184,-80.064926,259.0014,147.07236,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3394,-10.933456,1225.9862,-80.064926,255.75589,149.20274,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3395,-10.3480835,1225.918,-80.10681,252.46996,151.35966,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3396,-9.637756,1225.9089,-80.02304,249.14687,153.54097,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3397,-9.219589,1225.9546,-79.93961,245.78976,155.74461,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3398,-8.592682,1226.0514,-79.772415,242.40141,157.96877,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3399,-8.132965,1226.1959,-79.6471,238.98447,160.21169,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
3400,-7.505722,1226.3854,-79.479904,235.54167,162.47156,76561198119537465,Luna⚡,1,deagle,pistol,440.0432635198632,-0.14042664,0.29490662,1.221839
