tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
43487,2.3325348,335.4919,-143.0317,-107.455505,-170.22937,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43488,2.3325348,334.49277,-143.0317,-107.49121,-170.20953,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43489,2.3325348,333.46204,-143.0317,-107.50464,-170.20203,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43490,2.3325348,332.40012,-143.0317,-107.497986,-170.20569,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43491,2.3325348,331.30695,-143.0317,-107.47327,-170.21948,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43492,2.3325348,330.1825,-143.0317,-107.43213,-170.24243,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43493,2.3325348,329.02676,-143.0317,-107.375854,-170.2738,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43494,2.3325348,327.88528,-143.0317,-107.23419,-170.35284,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43495,2.3325348,326.76346,-143.0317,-106.99866,-170.48419,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43496,2.3325348,325.6616,-143.0317,-106.669556,-170.66772,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43497,2.3325348,324.57632,-143.0317,-106.26196,-170.89502,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43498,2.3325348,323.50543,-143.0317,-105.78296,-171.16223,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43499,2.3325348,322.44635,-143.0317,-105.237854,-171.46619,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43500,2.3325348,321.39658,-143.0317,-104.6319,-171.80414,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43501,2.3325348,320.35416,-143.0056,-103.96924,-172.1737,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43502,2.3325348,319.31668,-142.92664,-103.253784,-172.48053,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43503,2.3325348,318.28226,-142.71652,-102.4895,-172.62231,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43504,2.3325348,317.25015,-142.50641,-101.680664,-172.77368,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43505,2.3064423,316.2201,-142.40135,-100.83118,-172.93365,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43506,2.3064423,315.1917,-142.34848,-99.94452,-173.10156,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43507,2.3064423,314.1823,-142.34848,-99.05597,-173.27026,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43508,2.2799988,313.2751,-142.34848,-98.26831,-173.41956,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43509,2.2799988,312.57663,-142.34848,-97.70697,-173.5249,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43510,2.2799988,312.03934,-142.34848,-97.31561,-173.59741,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43511,2.2799988,311.66614,-142.32239,-97.09033,-173.63782,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43512,2.2799988,311.46185,-142.32239,-97.02374,-173.64795,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43513,2.2799988,311.43613,-142.32239,-97.09485,-173.63232,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43514,2.2799988,311.5023,-142.32239,-97.18054,-173.61542,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43515,2.2799988,311.58847,-142.32239,-97.292114,-173.59344,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43516,2.2799988,311.69464,-142.32239,-97.429565,-173.56635,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43517,2.2799988,311.82083,-142.32239,-97.59296,-173.53418,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43518,2.2799988,311.967,-142.32239,-97.78223,-173.49689,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43519,2.2799988,312.1332,-142.32239,-97.997314,-173.45447,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43520,2.2799988,312.31943,-142.32239,-98.23834,-173.40698,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43521,2.2799988,312.52567,-142.32239,-98.50525,-173.35437,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43522,2.2799988,312.75192,-142.32239,-98.79797,-173.29669,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43523,2.2799988,312.9982,-142.32239,-99.11664,-173.23389,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43524,2.2799988,313.2645,-142.32239,-99.46118,-173.16602,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43525,2.2799988,313.5508,-142.32239,-99.831604,-173.09302,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43526,2.2799988,313.85715,-142.32239,-100.227905,-173.01495,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43527,2.2799988,314.1835,-142.32239,-100.650085,-172.93176,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43528,2.2799988,314.52988,-142.32239,-101.098145,-172.8435,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43529,2.2799988,314.89627,-142.32239,-101.57202,-172.75012,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43530,2.2799988,315.28268,-142.32239,-102.07184,-172.65161,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43531,2.2799988,315.68915,-142.29596,-102.597534,-172.54803,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43532,2.2799988,316.11563,-142.29596,-103.14905,-172.43933,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43533,2.3325348,316.56195,-142.40135,-103.72662,-172.30896,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43534,2.3850708,317.02817,-142.45389,-104.33014,-171.97241,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43535,2.4375916,317.51392,-142.50641,-104.96002,-171.6211,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43536,2.4640198,318.01917,-142.55893,-105.61633,-171.25513,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43537,2.4640198,318.54395,-142.58502,-106.29901,-170.87439,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43538,2.4901123,319.08826,-142.61147,-107.00806,-170.479,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43539,2.4901123,319.65216,-142.61147,-107.74341,-170.06885,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43540,2.4901123,320.23563,-142.61147,-108.50464,-169.64435,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43541,2.4901123,320.80655,-142.63756,-109.249695,-169.22882,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43542,2.4901123,321.31952,-142.63756,-109.91901,-168.85553,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43543,2.5165558,321.67853,-142.63756,-110.38721,-168.59442,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43544,2.5165558,321.88028,-142.664,-110.64978,-168.448,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43545,2.5165558,321.9388,-142.664,-110.724976,-168.40607,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43546,2.5165558,321.86136,-142.664,-110.62341,-168.46265,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43547,2.5165558,321.7642,-142.664,-110.49609,-168.53369,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43548,2.5165558,321.6471,-142.664,-110.34277,-168.61926,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43549,2.5165558,321.51025,-142.664,-110.16321,-168.71936,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43550,2.5165558,321.3535,-142.664,-109.95776,-168.83392,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43551,2.5165558,321.18195,-142.664,-109.733215,-168.95917,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43552,2.5165558,321.12604,-142.6901,-109.66022,-168.99988,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43553,2.5426483,321.17474,-142.71652,-109.72418,-168.96417,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43554,2.5690918,321.24326,-142.76904,-109.81433,-168.91394,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43555,2.5690918,321.33148,-142.82158,-109.9306,-168.84906,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43556,2.59552,321.43942,-142.84802,-110.07312,-168.76959,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43557,2.59552,321.56717,-142.87411,-110.24164,-168.6756,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43558,2.6216125,321.7145,-142.92664,-110.43652,-168.56696,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43559,2.6480408,321.8814,-142.97916,-110.657715,-168.44354,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43560,2.6741333,322.0678,-143.0317,-110.90527,-168.30548,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43561,2.6741333,322.27377,-143.05814,-111.1792,-168.15271,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43562,2.6741333,322.49933,-143.05814,-111.47949,-167.98529,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43563,2.6741333,322.7444,-143.05814,-111.805664,-167.80334,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43564,2.6741333,323.00894,-143.05814,-112.157715,-167.60706,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43565,2.6741333,323.29303,-143.05814,-112.535645,-167.39624,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43566,2.6741333,323.59665,-143.08423,-112.93994,-167.17078,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43567,2.6741333,323.91983,-143.08423,-113.370605,-166.9306,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43568,2.6741333,324.2625,-143.08423,-113.82715,-166.67603,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43569,2.6741333,324.62476,-143.08423,-114.31006,-166.40668,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43570,2.6741333,325.00653,-143.08423,-114.81885,-166.12292,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43571,2.6741333,325.39908,-143.08423,-115.34192,-165.83124,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43572,2.6741333,325.69952,-143.08423,-115.74249,-165.60779,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43573,2.6741333,325.8165,-143.08423,-115.898865,-165.52063,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43574,2.6741333,325.792,-143.08423,-115.86664,-165.53857,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43575,2.6741333,325.74808,-143.08423,-115.80817,-165.57117,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43576,2.6741333,325.68463,-143.08423,-115.723755,-165.61829,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43577,2.6741333,325.6017,-143.08423,-115.6134,-165.67981,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43578,2.6741333,325.49915,-143.08423,-115.476746,-165.75604,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43579,2.6741333,325.3768,-143.08423,-115.314026,-165.8468,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43580,2.6741333,325.23483,-143.08423,-115.12506,-165.95215,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43581,2.6741333,325.07324,-143.08423,-114.90973,-166.07227,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43582,2.6741333,324.89215,-143.08423,-114.66852,-166.20679,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43583,2.6741333,324.69156,-143.08423,-114.40143,-166.35571,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43584,2.6741333,324.4714,-143.08423,-114.10797,-166.51941,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43585,2.6741333,324.23172,-143.08423,-113.788635,-166.69745,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43586,2.6741333,323.97253,-143.08423,-113.44342,-166.89001,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43587,2.6741333,323.6938,-143.08423,-113.0719,-167.09723,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43588,2.6741333,323.3955,-143.08423,-112.67444,-167.31885,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43589,2.6741333,323.07773,-143.08423,-112.2511,-167.55493,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43590,2.6741333,322.7404,-143.08423,-111.80139,-167.80579,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43591,2.6741333,322.3835,-143.08423,-111.325806,-168.07098,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43592,2.6741333,322.00714,-143.08423,-110.82434,-168.35065,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43593,2.6741333,321.61124,-143.08423,-110.297,-168.64478,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
43594,2.6741333,321.19577,-143.08423,-109.743286,-168.95355,76561198145554926,Silvers von der Leyen,1,awp,sniper,1511.2740303023993,0.036727905,0.009613037,0.57749414
