tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
95020,2.771988,-132.68512,-141.65771,1524.3217,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95021,2.771988,-136.0846,-140.27173,1522.3976,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95022,2.7105408,-139.44696,-137.68445,1520.4093,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95023,2.6487427,-142.77002,-136.237,1518.356,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95024,2.5563812,-146.05084,-134.66629,1516.2358,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95025,2.433136,-149.28656,-132.94144,1514.0475,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95026,2.4025726,-152.47815,-132.51022,1511.7952,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95027,2.248413,-155.6228,-130.90863,1509.4778,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95028,2.1251678,-158.7185,-129.52263,1507.0955,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95029,1.9713593,-161.76367,-128.22899,1504.6488,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95030,1.8786621,-164.75757,-127.24331,1502.1398,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95031,1.7863159,-167.69928,-126.165276,1499.5697,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95032,1.6939545,-170.5885,-125.241394,1496.9408,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95033,1.601593,-173.42542,-124.440765,1494.2556,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95034,1.5401459,-176.21075,-123.73215,1491.5168,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95035,1.4783478,-178.94537,-123.08533,1488.7274,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95036,1.4783478,-181.6322,-122.99297,1485.892,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95037,1.4474487,-184.27325,-122.65411,1483.0138,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95038,1.4474487,-186.87146,-122.62356,1480.0969,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95039,1.4474487,-189.43018,-122.62356,1477.1454,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95040,1.4474487,-191.95221,-122.59266,1474.1625,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95041,1.4474487,-194.44025,-122.59266,1471.1511,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
95042,1.4474487,-196.89685,-122.59266,1468.114,27.03125,76561198812845836,взаимная похвала,1,deagle,pistol,1057.236570063936,0.0,0.0,0.86940324
