tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
22887,1.2424927,214.03384,-30.610321,-418.51215,-216.62946,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22888,1.2424927,214.03172,-30.581131,-419.3219,-216.6419,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22889,1.2572479,214.03221,-30.537537,-420.13165,-216.65552,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22890,1.2572479,213.96545,-30.493927,-420.9414,-216.67017,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22891,1.2572479,213.84238,-30.435913,-421.7445,-216.68488,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22892,1.2572479,213.67195,-30.290344,-422.53894,-216.69958,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22893,1.2572479,213.46207,-30.18872,-423.32385,-216.71436,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22894,1.2572479,213.22139,-30.115936,-424.09985,-216.7251,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22895,1.2716675,212.95604,-30.115936,-424.8678,-216.71442,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22896,1.2716675,212.6702,-30.115936,-425.62836,-216.70349,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22897,1.2716675,212.36731,-30.115936,-426.38232,-216.6925,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22898,1.2716675,212.05019,-30.101501,-427.13037,-216.6814,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22899,1.2716675,211.72104,-30.101501,-427.87317,-216.67023,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22900,1.286087,211.38477,-30.101501,-428.6089,-216.65906,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22901,1.286087,211.08992,-30.115936,-429.25378,-216.64917,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22902,1.3008423,210.84383,-30.203125,-429.792,-216.64099,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22903,1.3008423,210.63976,-30.319519,-430.23798,-216.63422,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22904,1.3008423,210.47812,-30.479507,-430.59167,-216.62885,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
22905,1.3008423,210.3585,-30.668335,-430.8531,-216.62488,76561198822643426,XXX,1,awp,sniper,633.6047210314214,0.014419556,-0.014770508,0.0
