tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
31291,8.974121,42.866943,76561198822643426,XXX,1,awp,sniper
31292,9.59552,43.29196,76561198822643426,XXX,1,awp,sniper
31293,10.118744,43.455383,76561198822643426,XXX,1,awp,sniper
31294,10.60936,43.390167,76561198822643426,XXX,1,awp,sniper
31295,10.969162,42.93216,76561198822643426,XXX,1,awp,sniper
31296,11.197815,42.605316,76561198822643426,XXX,1,awp,sniper
31297,11.296005,42.50714,76561198822643426,XXX,1,awp,sniper
31298,11.328613,42.474518,76561198822643426,XXX,1,awp,sniper
31299,11.361572,42.376328,76561198822643426,XXX,1,awp,sniper
31300,11.361572,42.14734,76561198822643426,XXX,1,awp,sniper
31301,11.394196,41.362488,76561198822643426,XXX,1,awp,sniper
31302,11.394196,40.610626,76561198822643426,XXX,1,awp,sniper
31303,11.459427,39.95659,76561198822643426,XXX,1,awp,sniper
31304,11.5902405,39.498596,76561198822643426,XXX,1,awp,sniper
31305,11.6558075,39.30255,76561198822643426,XXX,1,awp,sniper
31306,11.721039,39.171753,76561198822643426,XXX,1,awp,sniper
31307,11.753998,39.040955,76561198822643426,XXX,1,awp,sniper
31308,11.786621,38.94275,76561198822643426,XXX,1,awp,sniper
31309,11.786621,38.91014,76561198822643426,XXX,1,awp,sniper
31310,11.786621,38.91014,76561198822643426,XXX,1,awp,sniper
31311,11.786621,38.91014,76561198822643426,XXX,1,awp,sniper
31312,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31313,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31314,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31315,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31316,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31317,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31318,11.786621,38.877182,76561198822643426,XXX,1,awp,sniper
31319,11.786621,38.81195,76561198822643426,XXX,1,awp,sniper
31320,11.753998,38.386917,76561198822643426,XXX,1,awp,sniper
31321,11.753998,37.569122,76561198822643426,XXX,1,awp,sniper
31322,11.786621,35.93422,76561198822643426,XXX,1,awp,sniper
31323,11.884796,33.12207,76561198822643426,XXX,1,awp,sniper
31324,11.982651,29.818954,76561198822643426,XXX,1,awp,sniper
31325,12.080841,25.567932,76561198822643426,XXX,1,awp,sniper
31326,12.146423,21.251343,76561198822643426,XXX,1,awp,sniper
31327,12.211639,15.267212,76561198822643426,XXX,1,awp,sniper
31328,11.982651,7.5496674,76561198822643426,XXX,1,awp,sniper
31329,11.623199,2.0887756,76561198822643426,XXX,1,awp,sniper
31330,11.099976,-5.5635376,76561198822643426,XXX,1,awp,sniper
31331,10.445938,-10.861023,76561198822643426,XXX,1,awp,sniper
31332,9.889755,-15.373657,76561198822643426,XXX,1,awp,sniper
31333,9.464722,-19.494202,76561198822643426,XXX,1,awp,sniper
31334,9.20311,-22.371948,76561198822643426,XXX,1,awp,sniper
31335,9.00708,-24.301071,76561198822643426,XXX,1,awp,sniper
31336,8.974457,-25.15149,76561198822643426,XXX,1,awp,sniper
31337,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31338,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31339,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31340,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31341,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31342,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31343,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31344,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31345,8.974457,-25.249329,76561198822643426,XXX,1,awp,sniper
31346,8.941498,-25.216705,76561198822643426,XXX,1,awp,sniper
31347,8.712845,-25.184097,76561198822643426,XXX,1,awp,sniper
31348,8.451233,-25.31491,76561198822643426,XXX,1,awp,sniper
31349,8.385651,-25.413086,76561198822643426,XXX,1,awp,sniper
