tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
17679,6.8554688,-127.67315,76561198822643426,XXX,1,awp,sniper
17680,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17681,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17682,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17683,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17684,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17685,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17686,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17687,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17688,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17689,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17690,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17691,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17692,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17693,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17694,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17695,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17696,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17697,6.8266296,-127.65873,76561198822643426,XXX,1,awp,sniper
17698,6.8266296,-127.64431,76561198822643426,XXX,1,awp,sniper
17699,6.841049,-127.62955,76561198822643426,XXX,1,awp,sniper
17700,6.8554688,-127.571526,76561198822643426,XXX,1,awp,sniper
17701,6.8702393,-127.513504,76561198822643426,XXX,1,awp,sniper
17702,6.8846436,-127.4263,76561198822643426,XXX,1,awp,sniper
17703,6.8990784,-127.339096,76561198822643426,XXX,1,awp,sniper
17704,6.9138336,-127.26631,76561198822643426,XXX,1,awp,sniper
17705,6.928253,-127.149925,76561198822643426,XXX,1,awp,sniper
17706,6.957428,-127.03388,76561198822643426,XXX,1,awp,sniper
17707,6.971863,-126.88831,76561198822643426,XXX,1,awp,sniper
17708,6.971863,-126.6703,76561198822643426,XXX,1,awp,sniper
17709,6.9426727,-126.40869,76561198822643426,XXX,1,awp,sniper
17710,6.9426727,-126.19068,76561198822643426,XXX,1,awp,sniper
17711,6.928253,-126.001854,76561198822643426,XXX,1,awp,sniper
17712,6.928253,-125.85663,76561198822643426,XXX,1,awp,sniper
17713,6.928253,-125.81303,76561198822643426,XXX,1,awp,sniper
17714,6.928253,-125.79174,76561198822643426,XXX,1,awp,sniper
17715,6.928253,-125.774574,76561198822643426,XXX,1,awp,sniper
17716,6.928253,-125.767365,76561198822643426,XXX,1,awp,sniper
17717,6.928253,-125.752945,76561198822643426,XXX,1,awp,sniper
17718,6.9320374,-125.73475,76561198822643426,XXX,1,awp,sniper
17719,6.9392395,-125.68737,76561198822643426,XXX,1,awp,sniper
17720,6.9464417,-125.62935,76561198822643426,XXX,1,awp,sniper
17721,6.950226,-125.53871,76561198822643426,XXX,1,awp,sniper
17722,6.950226,-125.39692,76561198822643426,XXX,1,awp,sniper
17723,6.950226,-125.29873,76561198822643426,XXX,1,awp,sniper
17724,6.953659,-125.1281,76561198822643426,XXX,1,awp,sniper
17725,6.957428,-124.993515,76561198822643426,XXX,1,awp,sniper
17726,6.957428,-124.91009,76561198822643426,XXX,1,awp,sniper
17727,6.950226,-124.80812,76561198822643426,XXX,1,awp,sniper
17728,6.9464417,-124.753876,76561198822643426,XXX,1,awp,sniper
17729,6.950226,-124.70272,76561198822643426,XXX,1,awp,sniper
17730,6.953659,-124.68109,76561198822643426,XXX,1,awp,sniper
17731,6.957428,-124.65946,76561198822643426,XXX,1,awp,sniper
17732,6.9608765,-124.648476,76561198822643426,XXX,1,awp,sniper
17733,6.9608765,-124.6447,76561198822643426,XXX,1,awp,sniper
17734,6.9608765,-124.6447,76561198822643426,XXX,1,awp,sniper
17735,6.9934845,-124.677315,76561198822643426,XXX,1,awp,sniper
17736,7.0590515,-124.873695,76561198822643426,XXX,1,awp,sniper
17737,7.124298,-125.331345,76561198822643426,XXX,1,awp,sniper
17738,7.3206787,-126.44337,76561198822643426,XXX,1,awp,sniper
17739,7.680481,-128.40546,76561198822643426,XXX,1,awp,sniper
17740,8.236313,-131.87164,76561198822643426,XXX,1,awp,sniper
17741,8.726929,-136.64589,76561198822643426,XXX,1,awp,sniper
17742,8.824768,-143.088,76561198822643426,XXX,1,awp,sniper
17743,8.432343,-149.92252,76561198822643426,XXX,1,awp,sniper
17744,8.301544,-156.79001,76561198822643426,XXX,1,awp,sniper
17745,8.007324,-164.76883,76561198822643426,XXX,1,awp,sniper
17746,7.7783203,-167.5487,76561198822643426,XXX,1,awp,sniper
17747,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17748,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17749,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17750,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17751,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17752,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17753,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
17754,8.039932,-170.00107,76561198822643426,XXX,1,awp,sniper
