tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
48805,0.09819031,-762.2115,-10.290405,556.08405,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48806,0.13079834,-760.0988,-10.290405,554.685,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48807,0.13079834,-758.005,-10.290405,553.1787,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48808,0.13079834,-755.9282,-10.290405,551.5742,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48809,0.16342163,-753.8671,-10.290405,549.8791,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48810,0.26161194,-751.78357,-10.5846405,548.0448,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48811,0.39242554,-749.68164,-11.042297,546.0812,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48812,0.55584717,-747.488,-11.79451,544.1398,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48813,0.8830261,-745.14777,-13.429749,542.27844,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48814,1.2098694,-742.649,-15.064667,540.4943,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48815,1.7330933,-740.0337,-17.844208,538.75244,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48816,2.2563171,-737.3166,-20.656357,537.0336,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48817,3.073761,-734.5159,-24.940338,535.31274,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48818,3.6625671,-731.6482,-28.602905,533.5709,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48819,4.5126343,-728.73254,-33.246338,531.78644,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48820,4.970627,-725.78204,-35.99327,529.9497,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48821,5.4938507,-722.8096,-38.77281,528.05206,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48822,5.7228394,-719.8213,-39.950073,526.09296,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48823,6.0496826,-716.8214,-40.669678,524.07416,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48824,6.343918,-713.81,-40.473297,522.00146,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48825,6.5402985,-710.78546,-39.85222,519.8822,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48826,6.8019104,-707.7438,-38.478577,517.72614,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
48827,7.3251343,-704.6759,-35.502655,515.55035,-215.96875,76561198822643426,XXX,1,awp,sniper,403.1122568198606,0.028839111,-0.11639404,0.0
