tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
51863,5.910309,-1057.3263,118.28189,-721.3028,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51864,5.910309,-1059.7318,118.28189,-718.43555,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51865,5.910309,-1062.101,118.28189,-715.5055,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51866,5.910309,-1064.4364,118.28189,-712.518,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51867,5.910309,-1066.7413,118.28189,-709.47754,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51868,5.910309,-1069.0181,118.28189,-706.3887,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51869,5.910309,-1071.2688,118.28189,-703.25494,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51870,5.910309,-1073.4957,118.28189,-700.0804,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51871,5.910309,-1075.7007,118.28189,-696.8681,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51872,5.910309,-1077.8815,118.28189,-693.62726,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51873,5.910309,-1080.0349,118.28189,-690.3682,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51874,5.910309,-1082.1635,118.28189,-687.0929,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51875,5.910309,-1084.2694,118.28189,-683.8029,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51876,5.910309,-1086.3544,118.28189,-680.49963,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51877,5.910309,-1088.5488,118.28189,-677.3215,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51878,5.910309,-1090.8849,118.28189,-674.3033,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51879,5.910309,-1093.3679,118.252014,-671.451,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51880,5.910309,-1095.9708,118.252014,-668.7337,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51881,5.910309,-1098.6836,118.252014,-666.1407,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51882,5.910309,-1101.4973,118.252014,-663.6616,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51883,5.910309,-1104.4039,118.252014,-661.28705,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51884,5.910309,-1107.3956,118.2225,-659.00836,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51885,5.910309,-1110.4348,118.19263,-656.7815,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51886,5.910309,-1113.3871,118.13324,-654.44135,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51887,5.910309,-1116.2422,118.13324,-651.97473,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51888,5.910309,-1119.0236,118.1037,-649.4125,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51889,5.910309,-1121.7372,118.1037,-646.76227,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51890,5.910309,-1124.3884,118.1037,-644.0313,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51891,5.910309,-1126.9823,118.1037,-641.2263,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51892,5.910309,-1129.5237,118.1037,-638.35315,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51893,5.910309,-1132.0166,118.1037,-635.4172,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51894,5.910309,-1134.4651,118.1037,-632.42377,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51895,5.910309,-1136.8743,118.1037,-629.3793,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51896,5.910309,-1139.4086,118.1037,-626.4844,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51897,5.910309,-1142.0614,118.1037,-623.73083,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51898,5.910309,-1144.8201,118.1037,-621.10333,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51899,5.910309,-1147.6757,118.1037,-618.59155,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51900,5.910309,-1150.6206,118.1037,-616.1861,64.03125,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51901,5.910309,-1153.4991,118.1037,-613.69775,64.938965,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51902,5.910309,-1156.3024,118.1037,-611.11584,67.63153,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51903,5.910309,-1159.0317,118.1037,-608.44275,70.33276,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51904,5.910309,-1161.6974,118.1037,-605.69073,73.041595,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51905,5.910309,-1164.305,118.16312,-602.8662,75.75769,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51906,5.9398193,-1166.8596,118.2225,-599.97546,78.48035,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51907,5.9398193,-1169.3652,118.2225,-597.0237,81.209045,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51908,5.969696,-1171.8263,118.28189,-594.016,83.60511,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51909,5.969696,-1174.2468,118.34131,-590.95734,85.861244,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51910,5.969696,-1176.6249,118.34131,-587.8584,88.11648,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51911,5.969696,-1178.9606,118.34131,-584.72736,90.367485,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51912,5.969696,-1181.257,118.34131,-581.5674,92.61422,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51913,5.969696,-1183.5173,118.34131,-578.38153,94.85679,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51914,5.969696,-1185.7444,118.34131,-575.1723,96.03126,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51915,5.969696,-1187.9404,118.34131,-571.94183,96.03126,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
51916,5.969696,-1190.1084,118.371155,-568.69244,96.03126,76561198883318658,George med håriga bananen,1,awp,sniper,477.651168077319,0.0,-0.013397217,0.5312043
