tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
10892,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10893,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10894,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10895,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10896,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10897,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10898,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10899,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10900,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10901,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10902,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10903,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10904,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10905,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10906,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10907,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10908,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10909,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10910,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10911,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10912,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10913,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10914,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10915,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10916,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10917,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10918,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10919,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10920,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10921,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10922,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10923,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10924,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10925,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10926,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10927,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10928,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10929,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
10930,4.031296,86.751465,76561199038314474,legacy2k⚡,1,ssg08,rifle
