tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
7902,2.3871155,86.84863,76561199041458671,mma addict,1,ssg08,rifle
7903,2.4310608,86.93689,76561199041458671,mma addict,1,ssg08,rifle
7904,2.475006,87.02478,76561199041458671,mma addict,1,ssg08,rifle
7905,2.5189514,87.11267,76561199041458671,mma addict,1,ssg08,rifle
7906,2.8708649,87.14218,76561199041458671,mma addict,1,ssg08,rifle
7907,2.9151611,87.23007,76561199041458671,mma addict,1,ssg08,rifle
7908,2.9591064,87.31796,76561199041458671,mma addict,1,ssg08,rifle
7909,3.0360107,87.40619,76561199041458671,mma addict,1,ssg08,rifle
7910,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7911,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7912,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7913,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7914,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7915,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7916,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7917,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7918,3.0689697,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7919,3.0689697,87.47211,76561199041458671,mma addict,1,ssg08,rifle
7920,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7921,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7922,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7923,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7924,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7925,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7926,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7927,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7928,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7929,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7930,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7931,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7932,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7933,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7934,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7935,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7936,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7937,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7938,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7939,3.1019287,87.505066,76561199041458671,mma addict,1,ssg08,rifle
7940,3.1019287,87.43915,76561199041458671,mma addict,1,ssg08,rifle
7941,3.1019287,87.37323,76561199041458671,mma addict,1,ssg08,rifle
7942,3.1019287,87.339935,76561199041458671,mma addict,1,ssg08,rifle
7943,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7944,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7945,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7946,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7947,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7948,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7949,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7950,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7951,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7952,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7953,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7954,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7955,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7956,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7957,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7958,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7959,3.1019287,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7960,3.0689697,87.30698,76561199041458671,mma addict,1,ssg08,rifle
7961,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7962,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7963,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7964,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7965,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7966,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7967,3.0689697,87.27402,76561199041458671,mma addict,1,ssg08,rifle
7968,3.0689697,87.24106,76561199041458671,mma addict,1,ssg08,rifle
7969,3.0689697,87.24106,76561199041458671,mma addict,1,ssg08,rifle
7970,3.0689697,87.2081,76561199041458671,mma addict,1,ssg08,rifle
7971,3.0689697,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7972,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7973,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7974,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7975,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7976,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7977,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7978,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7979,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7980,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7981,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7982,3.1019287,87.17514,76561199041458671,mma addict,1,ssg08,rifle
7983,3.1019287,87.14218,76561199041458671,mma addict,1,ssg08,rifle
7984,3.0689697,87.10922,76561199041458671,mma addict,1,ssg08,rifle
7985,3.0360107,87.07626,76561199041458671,mma addict,1,ssg08,rifle
7986,3.0030518,87.04297,76561199041458671,mma addict,1,ssg08,rifle
7987,2.9700928,87.01001,76561199041458671,mma addict,1,ssg08,rifle
7988,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7989,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7990,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7991,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7992,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7993,2.9041748,86.97705,76561199041458671,mma addict,1,ssg08,rifle
7994,2.9700928,87.01001,76561199041458671,mma addict,1,ssg08,rifle
7995,3.0689697,87.04297,76561199041458671,mma addict,1,ssg08,rifle
7996,3.1678467,87.07626,76561199041458671,mma addict,1,ssg08,rifle
7997,3.2341003,87.10922,76561199041458671,mma addict,1,ssg08,rifle
7998,3.3000183,87.10922,76561199041458671,mma addict,1,ssg08,rifle
7999,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8000,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8001,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8002,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8003,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8004,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8005,3.3000183,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8006,3.2341003,87.10922,76561199041458671,mma addict,1,ssg08,rifle
8007,3.2011414,87.07626,76561199041458671,mma addict,1,ssg08,rifle
8008,3.1348877,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8009,3.1019287,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8010,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8011,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8012,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8013,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8014,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8015,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8016,3.0689697,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8017,3.1678467,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8018,3.2011414,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8019,3.2341003,87.07626,76561199041458671,mma addict,1,ssg08,rifle
8020,3.2670593,87.10922,76561199041458671,mma addict,1,ssg08,rifle
8021,3.3000183,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8022,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8023,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8024,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8025,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8026,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8027,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8028,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8029,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8030,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8031,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8032,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8033,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8034,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8035,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8036,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8037,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8038,3.3329773,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8039,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8040,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8041,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8042,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8043,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8044,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8045,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8046,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8047,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8048,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8049,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8050,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8051,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8052,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8053,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8054,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8055,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8056,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8057,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8058,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8059,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8060,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8061,3.3659363,87.14218,76561199041458671,mma addict,1,ssg08,rifle
8062,3.3659363,87.07626,76561199041458671,mma addict,1,ssg08,rifle
8063,3.3659363,87.07626,76561199041458671,mma addict,1,ssg08,rifle
8064,3.3659363,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8065,3.3659363,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8066,3.3659363,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8067,3.3659363,87.04297,76561199041458671,mma addict,1,ssg08,rifle
8068,3.3659363,87.01001,76561199041458671,mma addict,1,ssg08,rifle
8069,3.3659363,86.97705,76561199041458671,mma addict,1,ssg08,rifle
8070,3.3659363,86.97705,76561199041458671,mma addict,1,ssg08,rifle
8071,3.3329773,86.94409,76561199041458671,mma addict,1,ssg08,rifle
8072,3.3329773,86.91113,76561199041458671,mma addict,1,ssg08,rifle
8073,3.3329773,86.878174,76561199041458671,mma addict,1,ssg08,rifle
8074,3.3329773,86.812256,76561199041458671,mma addict,1,ssg08,rifle
8075,3.3000183,86.74597,76561199041458671,mma addict,1,ssg08,rifle
8076,3.3000183,86.647095,76561199041458671,mma addict,1,ssg08,rifle
8077,3.2670593,86.54822,76561199041458671,mma addict,1,ssg08,rifle
8078,3.2670593,86.449005,76561199041458671,mma addict,1,ssg08,rifle
8079,3.2670593,86.38309,76561199041458671,mma addict,1,ssg08,rifle
8080,3.2670593,86.28421,76561199041458671,mma addict,1,ssg08,rifle
8081,3.2670593,86.15204,76561199041458671,mma addict,1,ssg08,rifle
8082,3.2670593,86.05316,76561199041458671,mma addict,1,ssg08,rifle
8083,3.2670593,85.954285,76561199041458671,mma addict,1,ssg08,rifle
8084,3.2670593,85.789154,76561199041458671,mma addict,1,ssg08,rifle
8085,3.2670593,85.69028,76561199041458671,mma addict,1,ssg08,rifle
8086,3.3000183,85.52515,76561199041458671,mma addict,1,ssg08,rifle
8087,3.3329773,85.29407,76561199041458671,mma addict,1,ssg08,rifle
8088,3.3659363,85.09631,76561199041458671,mma addict,1,ssg08,rifle
8089,3.4318542,84.76605,76561199041458671,mma addict,1,ssg08,rifle
8090,3.498108,84.5683,76561199041458671,mma addict,1,ssg08,rifle
8091,3.531067,84.37018,76561199041458671,mma addict,1,ssg08,rifle
8092,3.5640259,84.2713,76561199041458671,mma addict,1,ssg08,rifle
8093,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8094,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8095,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8096,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8097,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8098,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8099,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8100,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8101,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8102,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8103,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8104,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8105,3.5969849,84.20505,76561199041458671,mma addict,1,ssg08,rifle
8106,3.5969849,84.24899,76561199041458671,mma addict,1,ssg08,rifle
8107,3.5969849,84.293274,76561199041458671,mma addict,1,ssg08,rifle
8108,3.5530396,84.33722,76561199041458671,mma addict,1,ssg08,rifle
8109,3.5530396,84.381165,76561199041458671,mma addict,1,ssg08,rifle
8110,3.5090942,84.42511,76561199041458671,mma addict,1,ssg08,rifle
8111,3.5090942,84.469055,76561199041458671,mma addict,1,ssg08,rifle
8112,3.5090942,84.513,76561199041458671,mma addict,1,ssg08,rifle
8113,3.465149,84.556946,76561199041458671,mma addict,1,ssg08,rifle
8114,3.465149,84.60126,76561199041458671,mma addict,1,ssg08,rifle
8115,3.465149,84.60126,76561199041458671,mma addict,1,ssg08,rifle
8116,3.465149,84.6452,76561199041458671,mma addict,1,ssg08,rifle
