tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
42057,-1.1920166,244.00752,-165.96222,-278.10608,-167.2298,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42058,-1.1920166,243.78561,-165.96222,-277.21875,-167.23914,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42059,-1.1920166,243.51341,-165.96222,-276.13025,-167.25049,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42060,-1.1920166,243.21112,-165.96222,-274.9214,-167.26318,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42061,-1.1920166,242.93323,-166.01474,-273.81,-167.27484,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42062,-1.3238525,242.68564,-166.41095,-272.81946,-167.28522,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42063,-1.4821167,242.4609,-166.56921,-271.9214,-167.29462,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42064,-1.5614319,242.33199,-166.4638,-271.41754,-167.29993,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42065,-1.7461395,242.31366,-165.98831,-271.35535,-167.3006,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42066,-1.7990112,242.38332,-165.17017,-271.6184,-167.29779,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42067,-1.6936035,242.4776,-163.79723,-271.9607,-167.29413,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42068,-1.2974243,242.54678,-162.3453,-272.21143,-167.29144,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42069,-0.76937866,242.5821,-161.02524,-272.33984,-167.29004,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42070,-0.16238403,242.59047,-159.1507,-272.37012,-167.28973,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42071,0.20736694,242.59047,-157.59338,-272.37012,-167.28973,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42072,0.39207458,242.59047,-156.58984,-272.37012,-167.28973,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42073,0.497818,242.59047,-156.06216,-272.37012,-167.28973,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42074,0.497818,242.59047,-156.06216,-272.37012,-167.28973,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42075,0.497818,242.58359,-156.06216,-272.3546,-167.28992,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42076,0.4449463,242.45381,-156.14113,-272.06177,-167.29358,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42077,0.33920288,242.22551,-156.194,-271.54517,-167.29999,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42078,0.26023865,241.91391,-156.24687,-270.839,-167.30878,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42079,0.18093872,241.5185,-156.194,-269.94305,-167.31995,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42080,0.101623535,241.03867,-156.0093,-268.85803,-167.33344,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42081,0.049102783,240.47351,-155.82458,-267.58398,-167.34924,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42082,0.049102783,239.82634,-155.53413,-266.1322,-167.36737,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
42083,0.022659302,239.10135,-155.03253,-264.5183,-167.38757,76561199481952517,Mafoss,1,deagle,pistol,1368.5416432619988,0.6670685,0.60424805,0.85257953
