tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
54052,-1.0471344,-426.17114,92.80118,418.6537,-3.5221558,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54053,-1.0471344,-426.35962,92.80118,422.5554,-3.5080566,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54054,-1.0471344,-426.5481,92.80118,426.4571,-3.4939575,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54055,-1.0471344,-426.7365,92.80118,430.3588,-3.4798584,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54056,-1.0471344,-426.92493,92.80118,434.2605,-3.4656982,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54057,-1.0471344,-427.1134,92.80118,438.1622,-3.4515991,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54058,-1.0471344,-427.30188,92.80118,442.0639,-3.4375,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54059,-1.0471344,-427.4903,92.80118,445.9656,-3.4234009,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54060,-1.0471344,-427.6787,92.80118,449.8673,-3.4093018,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54061,-1.0471344,-427.8672,92.80118,453.769,-3.420166,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54062,-1.0471344,-428.05566,92.80118,457.67072,-3.4615479,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54063,-1.0471344,-428.24408,92.80118,461.57242,-3.5029297,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54064,-1.0471344,-428.4325,92.80118,465.47412,-3.5443726,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54065,-1.0471344,-428.62097,92.80118,469.37582,-3.5646362,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54066,-1.0471344,-428.80945,92.80118,473.27753,-3.4325562,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54067,-1.0471344,-428.99786,92.80118,477.17923,-3.300476,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54068,-1.0471344,-429.18628,92.80118,481.08093,-3.168335,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54069,-1.0471344,-429.37476,92.80118,484.98264,-3.0531006,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54070,-1.0471344,-429.56323,92.80118,488.88434,-2.9640503,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54071,-1.0471344,-429.75165,92.80118,492.78604,-2.875061,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54072,-1.0471344,-429.94006,92.80118,496.68774,-2.7860718,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54073,-1.0471344,-430.12854,92.80118,500.58945,-2.7614136,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54074,-1.0471344,-430.31702,92.80118,504.49115,-2.7549438,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54075,-1.0471344,-430.50543,92.80118,508.39285,-2.7485352,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54076,-1.0471344,-430.69385,92.80118,512.29456,-2.7420654,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54077,-1.0471344,-430.88232,92.80118,516.1962,-2.7355957,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54078,-1.0471344,-431.0708,92.80118,520.0979,-2.6843262,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54079,-1.0471344,-431.25922,92.80118,523.9996,-2.5849,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54080,-1.0471344,-431.44763,92.80118,527.90125,-2.4854736,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54081,-1.0471344,-431.6361,92.80118,531.8029,-2.3968506,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54082,-1.0471344,-431.8246,92.80118,535.7046,-2.34198,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54083,-1.0471344,-432.013,92.80118,539.60626,-2.2871704,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54084,-1.0471344,-432.20142,92.80118,543.50793,-2.2322998,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54085,-1.0471344,-432.3899,92.80118,547.4096,-2.1774292,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54086,-1.0471344,-432.57837,92.80118,551.3113,-2.1160278,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54087,-1.0471344,-432.76678,92.80118,555.21295,-2.0291138,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54088,-1.0471344,-432.9552,92.80118,559.1146,-1.9421387,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54089,-1.0471344,-433.14368,92.80118,563.0163,-1.8552246,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54090,-1.0471344,-433.33215,92.80118,566.91797,-1.8289795,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54091,-1.0471344,-433.52057,92.80118,570.81964,-1.8287964,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54092,-1.0471344,-433.70898,92.80118,574.7213,-1.8285522,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54093,-1.0471344,-433.89746,92.80118,578.623,-1.8283081,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54094,-1.0471344,-434.08594,92.80118,582.52466,-1.828064,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54095,-1.0471344,-434.27435,92.80118,586.42633,-1.8278198,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
54096,-1.0471344,-434.46277,92.80118,590.328,-1.682312,76561199496724417,PURPLE WASSSS?,1,world,unknown,0.0,0.0,0.0,0.0
