tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
17918,0.32992554,-291.7309,-171.6315,-2210.2734,-169.62122,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17919,0.32992554,-295.1725,-171.6315,-2211.2437,-169.68793,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17920,0.32992554,-298.64,-171.6315,-2212.1797,-169.75885,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17921,0.32992554,-302.11877,-171.6315,-2213.0815,-169.83331,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17922,0.32992554,-305.60565,-171.65932,-2213.9514,-169.91095,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17923,0.32992554,-309.09985,-171.74171,-2214.7913,-169.99158,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17924,0.32992554,-312.6006,-171.85158,-2215.6035,-170.07495,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17925,0.32992554,-316.10718,-171.93398,-2216.39,-170.16095,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17926,0.32992554,-319.61914,-172.04419,-2217.152,-170.24927,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17927,0.35739136,-323.13586,-172.09912,-2217.8923,-170.33972,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17928,0.35739136,-326.65692,-172.18152,-2218.6116,-170.43231,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17929,0.38485718,-330.1209,-172.29172,-2219.4358,-170.513,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17930,0.44013977,-333.4923,-172.42905,-2220.436,-170.57397,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
17931,0.4676056,-336.76318,-172.56638,-2221.6282,-170.61334,76561199638564789,schärfer,1,deagle,pistol,761.713033155419,-0.055267334,-0.082733154,1.6880821
