tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
60471,1.6500092,897.8151,46.23355,931.74286,0.30943775,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60472,1.5676117,901.4732,47.058563,932.73535,0.30661154,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60473,1.4848633,905.1692,48.131104,933.66547,0.3018918,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60474,1.4573975,908.89996,48.708572,934.54156,0.29708242,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60475,1.3475342,912.66187,50.193787,935.37695,0.2924986,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60476,1.2926025,916.4521,50.963516,936.1792,0.288095,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60477,1.2651367,920.26807,51.293793,936.9528,0.28384638,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60478,1.2373352,924.1015,52.036057,937.7036,0.27972603,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60479,1.2098694,927.939,52.256134,938.4331,0.27572155,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60480,1.1824036,931.7798,52.69626,939.14545,0.271811,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60481,1.1824036,935.6229,53.191345,939.8449,0.26468754,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60482,1.1824036,939.46765,53.686066,940.53546,0.24130154,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60483,1.1549377,943.31335,54.181137,941.2207,0.21792316,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60484,1.1549377,947.1595,54.621277,941.9034,0.19456768,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60485,1.1549377,951.0058,54.868805,942.5852,0.17120457,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60486,1.1274719,954.8515,55.63855,943.27026,0.14783764,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60487,1.1000061,958.6961,56.24382,943.9614,0.12444353,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60488,1.1000061,962.53937,56.57376,944.66016,0.10101962,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60489,1.0450745,966.38055,57.31636,945.3702,0.077549934,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60490,0.9901428,970.219,58.08609,946.0948,0.054033756,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60491,0.9623413,974.054,58.96637,946.8373,0.03044939,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60492,0.9623413,977.8854,59.378693,947.59863,0.0049710274,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60493,0.9348755,981.713,59.571304,948.3785,-0.03125,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60494,0.9348755,985.5366,59.983643,949.1777,-0.060058594,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60495,0.90740967,989.35565,60.698776,949.99835,-0.09265137,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60496,0.90740967,993.17017,60.94632,950.84,-0.12536621,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60497,0.87994385,996.97974,61.441376,951.7037,-0.15814209,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
60498,0.87994385,1000.7842,61.82625,952.5897,-0.190979,76561199787117228,Sotoo,1,deagle,pistol,846.7375165097912,-0.08239746,1.2376709,2.3188987
