tick,pitch,yaw,steamid,name,label
40170,-15.234955,154.5907,76561199829535942,BOSSFIGHT,1
40171,-15.207489,154.53577,76561199829535942,BOSSFIGHT,1
40172,-15.152557,154.5083,76561199829535942,BOSSFIGHT,1
40173,-15.07016,154.3435,76561199829535942,BOSSFIGHT,1
40174,-15.042694,154.20581,76561199829535942,BOSSFIGHT,1
40175,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40176,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40177,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40178,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40179,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40180,-15.042694,154.12341,76561199829535942,BOSSFIGHT,1
40181,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40182,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40183,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40184,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40185,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40186,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40187,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40188,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40189,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40190,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40191,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40192,-15.042694,154.15088,76561199829535942,BOSSFIGHT,1
40193,-15.042694,154.17834,76561199829535942,BOSSFIGHT,1
40194,-15.042694,154.20581,76561199829535942,BOSSFIGHT,1
40195,-15.042694,154.20581,76561199829535942,BOSSFIGHT,1
40196,-15.042694,154.23328,76561199829535942,BOSSFIGHT,1
40197,-15.042694,154.26074,76561199829535942,BOSSFIGHT,1
40198,-15.042694,154.31567,76561199829535942,BOSSFIGHT,1
40199,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40200,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40201,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40202,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40203,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40204,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40205,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40206,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40207,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40208,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40209,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40210,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40211,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40212,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40213,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40214,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40215,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40216,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40217,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40218,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40219,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40220,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40221,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40222,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40223,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40224,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40225,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40226,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40227,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40228,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40229,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40230,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40231,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40232,-15.042694,154.3435,76561199829535942,BOSSFIGHT,1
40233,-15.042694,154.37097,76561199829535942,BOSSFIGHT,1
40234,-15.042694,154.39844,76561199829535942,BOSSFIGHT,1
40235,-15.042694,154.39844,76561199829535942,BOSSFIGHT,1
40236,-15.042694,154.45337,76561199829535942,BOSSFIGHT,1
40237,-15.042694,154.45337,76561199829535942,BOSSFIGHT,1
40238,-15.042694,154.48083,76561199829535942,BOSSFIGHT,1
40239,-15.042694,154.48083,76561199829535942,BOSSFIGHT,1
40240,-15.042694,154.53577,76561199829535942,BOSSFIGHT,1
40241,-15.042694,154.53577,76561199829535942,BOSSFIGHT,1
40242,-15.042694,154.56323,76561199829535942,BOSSFIGHT,1
40243,-15.07016,154.5907,76561199829535942,BOSSFIGHT,1
40244,-15.07016,154.61816,76561199829535942,BOSSFIGHT,1
40245,-15.07016,154.67343,76561199829535942,BOSSFIGHT,1
40246,-15.07016,154.7009,76561199829535942,BOSSFIGHT,1
40247,-15.07016,154.72836,76561199829535942,BOSSFIGHT,1
40248,-15.07016,154.72836,76561199829535942,BOSSFIGHT,1
40249,-15.07016,154.72836,76561199829535942,BOSSFIGHT,1
40250,-15.07016,154.72836,76561199829535942,BOSSFIGHT,1
40251,-15.07016,154.72836,76561199829535942,BOSSFIGHT,1
40252,-15.07016,154.75583,76561199829535942,BOSSFIGHT,1
40253,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40254,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40255,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40256,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40257,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40258,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40259,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40260,-15.07016,154.7833,76561199829535942,BOSSFIGHT,1
40261,-15.07016,154.83823,76561199829535942,BOSSFIGHT,1
40262,-15.07016,154.83823,76561199829535942,BOSSFIGHT,1
40263,-15.07016,154.83823,76561199829535942,BOSSFIGHT,1
