tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
45188,2.6569824,325.92197,78.40735,173.62723,-252.15479,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45189,2.6569824,326.74506,78.40735,177.44577,-253.32397,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45190,2.6569824,327.56497,78.40735,181.265,-254.63354,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45191,2.6569824,328.3822,78.40735,185.08481,-255.75977,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45192,2.6569824,329.19678,78.40735,188.90518,-256.81238,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45193,2.6569824,330.0091,78.39261,192.72603,-257.72327,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45194,2.6717377,330.81934,78.36273,196.54732,-257.70996,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45195,2.6717377,331.62827,78.288574,200.3689,-257.69653,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45196,2.686493,332.43613,78.22919,204.19069,-257.68323,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45197,2.686493,333.2433,78.184875,208.01263,-257.66992,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45198,2.686493,334.05026,78.14026,211.83463,-257.65662,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45199,2.7015991,334.85696,78.11072,215.65666,-258.3546,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45200,2.7163696,335.66415,78.02182,219.4786,-258.33325,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45201,2.7458954,336.4738,77.650696,223.30003,-258.31183,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45202,2.7757568,337.28864,77.10205,227.12035,-258.29028,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45203,2.7757568,338.11578,75.69272,230.93802,-258.26837,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45204,2.7163696,338.71182,74.17969,234.73857,-258.57605,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45205,2.6274414,339.10208,72.93378,238.52692,-258.88586,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45206,2.4640198,339.31732,70.293274,242.31097,-259.18793,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45207,2.3603516,339.38968,66.911194,246.09892,-259.4945,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45208,2.3304749,339.34476,64.40427,249.89565,-259.8053,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45209,2.4640198,339.22113,59.242065,253.70918,-260.11975,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45210,2.552948,339.0577,53.516113,257.54504,-260.43713,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45211,2.5381775,338.87778,50.104187,261.40347,-260.583,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45212,2.3603516,338.71497,44.571198,265.2843,-260.70544,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
45213,2.1972656,338.60367,38.444946,269.18314,-260.82697,76561199832433151,𝓅𝓊𝓇𝓅𝓁𝑒 [Verifi,1,deagle,pistol,594.8139892196563,0.06387329,-0.5390167,1.171257
