tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
45027,14.244461,-1363.8287,-24.189484,2683.966,130.03125,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45028,14.244461,-1364.8353,-24.189484,2683.9658,130.03125,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45029,14.244461,-1365.7404,-24.189484,2683.9656,130.03125,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45030,14.244461,-1366.5438,-24.111206,2683.9653,129.69696,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45031,14.244461,-1367.2457,-24.03328,2683.965,129.25827,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45032,14.244461,-1367.8461,-23.876724,2683.9648,128.88306,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45033,14.166183,-1368.3448,-23.641891,2683.9646,128.57132,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45034,14.166183,-1368.7421,-23.329132,2683.9644,128.32306,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45035,14.088257,-1369.0377,-22.859802,2683.964,128.13828,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45036,14.009979,-1369.2318,-22.46875,2683.9639,128.01697,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45037,13.931702,-1369.3243,-22.15599,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45038,13.853424,-1369.3243,-21.921158,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45039,13.696869,-1369.3243,-21.451843,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45040,13.540649,-1369.3243,-21.139069,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45041,13.384094,-1369.3243,-20.748016,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45042,13.305817,-1369.3243,-20.434906,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45043,13.149597,-1369.3243,-20.122147,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45044,13.07132,-1369.3243,-19.887665,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45045,13.07132,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45046,13.07132,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45047,13.07132,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45048,13.07132,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45049,12.993042,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45050,12.993042,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45051,12.993042,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45052,12.993042,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
45053,12.993042,-1369.3243,-19.73111,2683.9639,127.95914,76561199842141622,hallo,1,awp,sniper,1366.6298105876278,0.034683228,-0.03503418,0.0
