tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
19459,2.1416473,426.46176,-106.37169,2113.1975,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19460,2.1416473,428.14343,-106.4407,2112.7246,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19461,2.1416473,429.82452,-106.54438,2112.2498,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19462,2.1763306,431.505,-106.682396,2111.7727,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19463,2.1763306,433.18478,-106.78608,2111.2932,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19464,2.1763306,434.86383,-106.92444,2110.8113,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19465,2.1763306,436.54218,-106.99345,2110.3267,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19466,2.1763306,438.21985,-107.062454,2109.8398,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19467,2.1763306,439.89676,-107.16614,2109.3503,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19468,2.1763306,441.57297,-107.26982,2108.8584,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19469,2.1763306,443.24847,-107.30415,2108.3643,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19470,2.1763306,444.92322,-107.44251,2107.8674,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19471,2.1763306,446.59723,-107.51152,2107.3682,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19472,2.1763306,448.27054,-107.615204,2106.8665,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19473,2.1763306,449.94305,-107.75322,2106.362,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19474,2.1763306,451.61484,-107.8569,2105.8555,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19475,2.1763306,453.28586,-107.92591,2105.3462,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19476,2.1763306,454.95618,-107.96059,2104.8347,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19477,2.2106628,456.62576,-108.029594,2104.3208,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19478,2.2106628,458.29462,-108.098946,2103.8047,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19479,2.2106628,459.9627,-108.16795,2103.286,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19480,2.2106628,461.63,-108.30597,2102.7646,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19481,2.2453308,463.2965,-108.40965,2102.241,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19482,2.279663,464.96225,-108.54801,2101.7148,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19483,2.314331,466.51025,-108.65135,2101.2258,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19484,2.3490143,467.93347,-108.78971,2100.7766,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19485,2.3833466,469.2302,-108.92773,2100.3672,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19486,2.3833466,470.4286,-109.03141,2099.9893,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19487,2.3833466,471.3672,-109.066086,2099.698,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19488,2.3833466,471.98724,-109.066086,2099.5122,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19489,2.3833466,472.34485,-109.066086,2099.4126,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19490,2.3833466,472.43967,-109.066086,2099.3975,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19491,2.3833466,472.27975,-109.066086,2099.4526,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19492,2.3833466,472.0508,-109.066086,2099.5317,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19493,2.3833466,471.753,-109.03141,2099.6348,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19494,2.3833466,471.52777,-109.03141,2099.7124,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19495,2.3833466,471.396,-109.03141,2099.7578,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19496,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19497,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19498,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19499,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19500,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19501,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19502,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
19503,2.3833466,471.36823,-109.03141,2099.7673,140.13982,76561198078242852,Seya,0,ak47,rifle,603.353457601792,0.03466797,-0.3453827,0.0
