tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
69555,6.08197,-34.320602,76561198134622932,Raezamatic,0,deagle,pistol
69556,5.804901,-35.4292,76561198134622932,Raezamatic,0,deagle,pistol
69557,5.5738525,-37.785416,76561198134622932,Raezamatic,0,deagle,pistol
69558,5.2504272,-41.619995,76561198134622932,Raezamatic,0,deagle,pistol
69559,4.9270325,-45.17749,76561198134622932,Raezamatic,0,deagle,pistol
69560,4.511261,-50.30571,76561198134622932,Raezamatic,0,deagle,pistol
69561,4.0954895,-55.94204,76561198134622932,Raezamatic,0,deagle,pistol
69562,3.8180847,-61.116257,76561198134622932,Raezamatic,0,deagle,pistol
69563,3.5870361,-66.660576,76561198134622932,Raezamatic,0,deagle,pistol
69564,3.263626,-71.41903,76561198134622932,Raezamatic,0,deagle,pistol
69565,2.9865723,-74.97654,76561198134622932,Raezamatic,0,deagle,pistol
69566,2.8942108,-77.84088,76561198134622932,Raezamatic,0,deagle,pistol
69567,2.8942108,-80.843925,76561198134622932,Raezamatic,0,deagle,pistol
69568,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69569,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69570,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69571,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69572,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69573,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69574,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69575,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69576,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69577,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69578,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69579,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
69580,2.9865723,-81.86016,76561198134622932,Raezamatic,0,deagle,pistol
