tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
44874,0.10986328,524.5192,15.143967,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44875,0.087890625,524.5192,15.143967,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44876,0.06591797,524.5192,15.25383,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44877,0.087890625,524.5192,15.297775,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44878,0.22006226,524.5192,15.209885,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44879,0.30795288,524.5192,15.056076,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44880,0.4181671,524.5192,14.506073,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44881,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44882,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44883,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44884,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44885,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44886,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44887,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44888,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44889,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44890,0.4181671,524.5192,14.461792,-2085.55,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44891,0.4181671,524.52936,14.461792,-2085.5894,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44892,0.4181671,524.6081,14.461792,-2085.8943,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44893,0.4181671,524.74445,14.461792,-2086.4229,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44894,0.4181671,524.9276,14.461792,-2087.1326,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44895,0.4181671,525.15765,14.461792,-2088.0234,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44896,0.4181671,525.4346,14.461792,-2089.0955,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44897,0.44013977,525.75836,14.461792,-2090.3486,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44898,0.46211243,526.1281,14.461792,-2091.7795,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44899,0.48408508,526.5399,14.439819,-2093.3738,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44900,0.48408508,526.93506,14.439819,-2094.9033,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44901,0.48408508,527.2985,14.439819,-2096.3103,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44902,0.44013977,527.6285,14.550018,-2097.587,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
44903,0.4181671,527.9315,14.659882,-2098.7598,-415.96875,76561198159777385,bxtcherJZS,0,ak47,rifle,1264.3927444339565,0.0,0.043945312,0.4293299
