tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
117361,-5.2140503,1216.3121,-169.42258,-1831.7556,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117362,-5.2140503,1216.3121,-169.42258,-1831.7556,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117363,-4.9500275,1214.4387,-169.24644,-1834.7047,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117364,-4.6860046,1213.4966,-169.15855,-1836.1758,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117365,-4.6420593,1212.551,-169.22447,-1837.6447,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117366,-4.5761414,1211.6163,-169.33469,-1839.1183,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117367,-4.5098877,1210.7878,-169.42258,-1840.643,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117368,-4.4000244,1210.0792,-169.51047,-1842.2252,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117369,-4.267853,1209.4597,-169.55475,-1843.8506,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117370,-4.136017,1208.9231,-169.55475,-1845.513,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117371,-3.9818573,1208.4656,-169.51047,-1847.1989,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117372,-3.8280487,1208.0814,-169.35666,-1848.903,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117373,-3.6958618,1207.7653,-169.04869,-1850.621,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117374,-3.5859985,1207.5123,-168.60855,-1852.3495,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117375,-3.4098816,1207.3201,-167.61841,-1854.0857,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117376,-3.1678467,1207.1385,-166.2544,-1855.823,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117377,-2.7500153,1206.889,-164.27444,-1857.5519,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117378,-2.2219849,1206.5724,-161.34865,-1859.2698,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117379,-1.8261414,1206.2169,-158.77441,-1860.9801,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117380,-1.3859863,1205.8362,-155.89256,-1862.6849,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117381,-0.9019165,1205.4418,-152.46036,-1864.3857,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117382,-0.59394836,1204.9291,-150.01865,-1866.0353,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117383,-0.30795288,1204.2968,-147.4664,-1867.6385,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117384,-0.10986328,1203.5713,-145.75046,-1869.2098,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117385,0.043945312,1202.7634,-144.10046,-1870.7556,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117386,0.17611694,1201.8896,-142.78038,-1872.2683,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117387,0.26400757,1200.9604,-142.03262,-1873.7476,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117388,0.37387085,1199.9838,-141.26254,-1875.1959,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117389,0.48408508,1198.9666,-140.64664,-1876.6161,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117390,0.5719757,1197.9146,-140.11859,-1878.0107,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117391,0.615921,1196.833,-139.61255,-1879.3826,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117392,0.681839,1195.7275,-139.01859,-1880.7351,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117393,0.72613525,1194.703,-138.3807,-1882.15,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117394,0.7920532,1193.759,-137.41254,-1883.6199,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117395,0.87994385,1192.8038,-136.35648,-1885.0824,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117396,0.92388916,1191.8188,-135.54245,-1886.525,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117397,0.92388916,1190.8048,-134.99245,-1887.9475,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117398,0.92388916,1189.7698,-134.7947,-1889.3547,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117399,0.92388916,1188.7163,-134.7947,-1890.7482,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117400,0.87994385,1187.6565,-135.1466,-1892.1366,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117401,0.8140259,1186.6798,-135.91667,-1893.585,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117402,0.7481079,1185.7953,-137.30267,-1895.0913,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117403,0.6378937,1184.978,-139.01859,-1896.6353,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117404,0.32992554,1184.2148,-142.29663,-1898.2067,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117405,-0.043945312,1183.4924,-145.81638,-1899.7971,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117406,-0.5719757,1182.7937,-150.17245,-1901.3982,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117407,-0.5719757,1182.7937,-150.17245,-1901.3982,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117408,-1.231842,1181.421,-154.94637,-1904.611,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117409,-2.70607,1180.7228,-164.53845,-1906.2123,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117410,-3.6299438,1179.9956,-169.46652,-1907.8007,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
117411,-4.553833,1179.2307,-173.58055,-1909.3712,-415.96875,76561198173700433,aVa,0,ak47,rifle,1031.3747309523415,0.35224915,-0.1538086,0.0
