tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
9443,-1.6500092,-2.5976562,-177.25513,-567.2535,-191.73279,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9444,-2.1121216,-4.9763184,-177.22217,-569.9473,-192.24396,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9445,-2.475006,-7.282959,-177.3214,-572.6717,-192.73962,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9446,-2.70607,-9.392212,-177.42027,-575.4813,-193.19281,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9447,-2.837906,-11.274292,-177.48619,-578.3898,-193.59723,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9448,-2.8708649,-12.990112,-177.51915,-581.3705,-194.83234,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9449,-2.8708649,-14.5529175,-177.51915,-584.4176,-197.10724,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9450,-2.8708649,-15.975525,-177.55211,-587.5257,-199.39081,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9451,-2.804947,-17.284851,-177.58542,-590.6834,-200.93481,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9452,-2.739029,-18.695984,-177.65134,-593.81213,-201.40295,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9453,-2.673111,-20.210144,-177.6843,-596.9114,-201.89325,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9454,-2.606842,-21.810669,-177.75021,-599.9857,-202.40186,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9455,-2.540924,-23.491028,-177.84943,-603.0368,-202.92639,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9456,-2.507965,-25.245361,-177.9483,-606.066,-203.4668,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9457,-2.475006,-27.068054,-178.11343,-609.0744,-204.02179,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9458,-2.475006,-28.954224,-178.27823,-612.06335,-204.4638,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9459,-2.475006,-30.899597,-178.5093,-615.0335,-204.91199,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9460,-2.475006,-32.90033,-178.67444,-617.98553,-205.36963,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9461,-2.4090881,-34.95215,-178.77332,-620.9206,-205.83594,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9462,-2.2439575,-37.049805,-178.77332,-623.8386,-206.29956,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9463,-2.2439575,-39.18213,-178.77332,-626.73145,-206.73914,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9464,-2.2439575,-41.345947,-178.77332,-629.60077,-207.18542,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9465,-2.2439575,-43.538513,-178.77332,-632.4482,-207.6618,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9466,-2.2439575,-45.757202,-178.77332,-635.27527,-207.96875,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9467,-2.2439575,-47.999573,-178.77332,-638.0836,-207.96875,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9468,-2.2439575,-50.263306,-178.77332,-640.87476,-207.96875,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9469,-2.2439575,-52.546387,-178.77332,-643.6501,-207.96875,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9470,-2.2439575,-54.847046,-178.77332,-646.41095,-207.96875,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9471,-2.2439575,-57.16339,-178.77332,-649.15857,-208.40076,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9472,-2.2439575,-59.494446,-178.87253,-651.8938,-209.38977,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9473,-2.2109985,-61.840576,-179.26837,-654.6161,-210.38477,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9474,-2.2109985,-64.20233,-179.76346,-657.32477,-211.38611,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9475,-2.2109985,-66.58014,179.80774,-660.0194,-211.79865,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
9476,-2.2769165,-68.973816,179.51077,-662.69995,-212.13452,76561198283232555,Octaviapeek,0,deagle,pistol,898.1184141286271,-0.2969818,-0.032958984,0.24892941
