tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
118290,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118291,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118292,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118293,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118294,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118295,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118296,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118297,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118298,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118299,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118300,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118301,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118302,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118303,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118304,0.92388916,-8.853943,76561198373660142,Chewiiiiiii,0,mac10,smg
118305,0.9019165,-8.875916,76561198373660142,Chewiiiiiii,0,mac10,smg
118306,0.8579712,-8.9418335,76561198373660142,Chewiiiiiii,0,mac10,smg
118307,0.7920532,-9.029724,76561198373660142,Chewiiiiiii,0,mac10,smg
118308,0.72613525,-9.161911,76561198373660142,Chewiiiiiii,0,mac10,smg
118309,0.615921,-9.337692,76561198373660142,Chewiiiiiii,0,mac10,smg
118310,0.5280304,-9.579742,76561198373660142,Chewiiiiiii,0,mac10,smg
118311,0.44013977,-9.909668,76561198373660142,Chewiiiiiii,0,mac10,smg
118312,0.3958435,-10.327835,76561198373660142,Chewiiiiiii,0,mac10,smg
