tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80806,1.18927,-360.94446,-79.251595,-1558.9318,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80807,1.18927,-362.0122,-79.251595,-1560.9097,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80808,1.18927,-362.9355,-79.251595,-1563.0302,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80809,1.18927,-363.72595,-79.251595,-1565.2816,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80810,1.18927,-364.3944,-79.251595,-1567.6538,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80811,1.18927,-364.95117,-79.251595,-1570.1368,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80812,1.18927,-365.4052,-79.251595,-1572.7217,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80813,1.18927,-365.7646,-79.251595,-1575.3998,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80814,0.95751953,-366.03442,-78.695755,-1578.1631,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80815,0.7257843,-366.21802,-77.98508,-1581.004,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80816,0.6021881,-366.32007,-77.58373,-1583.9159,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80817,0.55618286,-366.34686,-77.521935,-1586.8927,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80818,0.5252838,-366.30475,-77.55283,-1589.9292,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80819,0.47894287,-366.1996,-77.59918,-1593.0205,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80820,0.47894287,-366.03662,-77.59918,-1596.1621,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80821,0.47894287,-365.82068,-77.59918,-1599.3499,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80822,0.47894287,-365.55585,-77.59918,-1602.5802,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80823,0.47894287,-365.24615,-77.59918,-1605.8496,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80824,0.47894287,-364.76294,-77.59918,-1609.0536,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80825,0.47894287,-364.0614,-77.59918,-1612.1646,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80826,0.47894287,-363.1302,-77.55283,-1615.1779,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80827,0.47894287,-362.01373,-77.41379,-1618.112,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80828,0.46348572,-360.75317,-77.27474,-1620.9,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80829,0.44802856,-359.2976,-77.1048,-1623.3983,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80830,0.44802856,-357.61877,-77.02755,-1625.5637,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80831,0.44802856,-355.77527,-77.02755,-1627.4838,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80832,0.44802856,-353.78058,-77.02755,-1629.1786,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80833,0.44802856,-351.64673,-77.08935,-1630.667,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80834,0.46348572,-349.385,-77.151146,-1631.966,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80835,0.46348572,-347.0056,-77.212944,-1633.0911,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80836,0.44802856,-344.51855,-77.25929,-1634.0568,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80837,0.43258667,-341.93225,-77.29019,-1634.876,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80838,0.43258667,-339.25488,-77.33654,-1635.5608,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80839,0.41714478,-336.49353,-77.42924,-1636.1228,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80840,0.38623047,-333.6548,-77.56828,-1636.5724,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80841,0.37078857,-330.74506,-77.69188,-1636.9196,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80842,0.35534668,-327.76965,-77.83058,-1637.1732,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80843,0.33988953,-324.734,-77.93873,-1637.3418,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80844,0.33988953,-321.6432,-77.96963,-1637.4324,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80845,0.33988953,-318.50122,-77.96963,-1637.4512,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80846,0.33988953,-315.31262,-77.96963,-1637.404,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
