tick,pitch,yaw,steamid,name,label
2011,1.1219788,173.13596,76561198389634571,RedNose,0
2012,1.1439514,173.24615,76561198389634571,RedNose,0
2013,1.231842,173.55411,76561198389634571,RedNose,0
2014,1.3200684,173.70792,76561198389634571,RedNose,0
2015,1.4299316,173.92798,76561198389634571,RedNose,0
2016,1.7598724,174.41208,76561198389634571,RedNose,0
2017,1.8920593,174.56622,76561198389634571,RedNose,0
2018,2.156067,174.85223,76561198389634571,RedNose,0
2019,2.2659302,174.94012,76561198389634571,RedNose,0
2020,2.3541565,175.02802,76561198389634571,RedNose,0
2021,2.5519104,175.18216,76561198389634571,RedNose,0
2022,2.6621246,175.24808,76561198389634571,RedNose,0
2023,2.6840973,175.27005,76561198389634571,RedNose,0
2024,2.70607,175.27005,76561198389634571,RedNose,0
2025,2.70607,175.27005,76561198389634571,RedNose,0
2026,2.70607,175.27005,76561198389634571,RedNose,0
2027,2.70607,175.27005,76561198389634571,RedNose,0
2028,2.70607,175.27005,76561198389634571,RedNose,0
2029,2.70607,175.27005,76561198389634571,RedNose,0
2030,2.70607,175.24808,76561198389634571,RedNose,0
2031,2.7280426,175.18216,76561198389634571,RedNose,0
2032,2.7280426,175.13821,76561198389634571,RedNose,0
2033,2.7500153,175.09393,76561198389634571,RedNose,0
2034,2.7500153,175.04999,76561198389634571,RedNose,0
2035,2.7500153,175.04999,76561198389634571,RedNose,0
2036,2.7500153,175.04999,76561198389634571,RedNose,0
2037,2.7500153,175.04999,76561198389634571,RedNose,0
2038,2.771988,175.04999,76561198389634571,RedNose,0
2039,2.7939606,175.04999,76561198389634571,RedNose,0
2040,2.8159332,175.04999,76561198389634571,RedNose,0
2041,2.837906,175.04999,76561198389634571,RedNose,0
2042,2.9700928,175.00604,76561198389634571,RedNose,0
2043,3.014038,174.91815,76561198389634571,RedNose,0
2044,3.1239014,174.63214,76561198389634571,RedNose,0
2045,3.2121277,174.1261,76561198389634571,RedNose,0
2046,3.2341003,173.84009,76561198389634571,RedNose,0
2047,3.3000183,173.22418,76561198389634571,RedNose,0
2048,3.3000183,172.60791,76561198389634571,RedNose,0
2049,3.321991,172.36621,76561198389634571,RedNose,0
2050,3.3000183,171.77191,76561198389634571,RedNose,0
2051,3.2780457,171.57416,76561198389634571,RedNose,0
2052,3.3439636,171.42001,76561198389634571,RedNose,0
2053,3.453827,171.59613,76561198389634571,RedNose,0
2054,3.453827,171.59613,76561198389634571,RedNose,0
2055,3.453827,171.59613,76561198389634571,RedNose,0
2056,3.453827,171.59613,76561198389634571,RedNose,0
2057,3.453827,171.59613,76561198389634571,RedNose,0
2058,3.453827,171.59613,76561198389634571,RedNose,0
2059,3.453827,171.59613,76561198389634571,RedNose,0
2060,3.453827,171.59613,76561198389634571,RedNose,0
2061,3.453827,171.59613,76561198389634571,RedNose,0
2062,3.453827,171.59613,76561198389634571,RedNose,0
2063,3.453827,171.59613,76561198389634571,RedNose,0
2064,3.453827,171.59613,76561198389634571,RedNose,0
2065,3.453827,171.59613,76561198389634571,RedNose,0
2066,3.453827,171.59613,76561198389634571,RedNose,0
2067,3.453827,171.59613,76561198389634571,RedNose,0
2068,3.453827,171.59613,76561198389634571,RedNose,0
2069,3.453827,171.59613,76561198389634571,RedNose,0
2070,3.2341003,171.42001,76561198389634571,RedNose,0
2071,2.9700928,171.06812,76561198389634571,RedNose,0
2072,2.8818512,171.04614,76561198389634571,RedNose,0
2073,2.6621246,170.93594,76561198389634571,RedNose,0
2074,2.573883,170.892,76561198389634571,RedNose,0
2075,2.442047,170.78214,76561198389634571,RedNose,0
2076,2.3318481,170.69391,76561198389634571,RedNose,0
2077,2.3098755,170.67194,76561198389634571,RedNose,0
2078,2.2879028,170.62799,76561198389634571,RedNose,0
2079,2.2879028,170.58405,76561198389634571,RedNose,0
2080,2.2879028,170.56207,76561198389634571,RedNose,0
2081,2.2879028,170.49615,76561198389634571,RedNose,0
2082,2.3098755,170.45184,76561198389634571,RedNose,0
2083,2.3981018,170.4079,76561198389634571,RedNose,0
2084,2.442047,170.38593,76561198389634571,RedNose,0
2085,2.573883,170.36395,76561198389634571,RedNose,0
2086,2.640152,170.36395,76561198389634571,RedNose,0
2087,2.7280426,170.36395,76561198389634571,RedNose,0
2088,2.8598785,170.36395,76561198389634571,RedNose,0
2089,2.94812,170.38593,76561198389634571,RedNose,0
2090,3.1678467,170.42987,76561198389634571,RedNose,0
2091,3.3000183,170.47418,76561198389634571,RedNose,0
2092,3.5420532,170.51813,76561198389634571,RedNose,0
2093,3.740158,170.58405,76561198389634571,RedNose,0
2094,3.9159393,170.62799,76561198389634571,RedNose,0
2095,4.136017,170.69391,76561198389634571,RedNose,0
2096,4.3341064,170.78214,76561198389634571,RedNose,0
2097,4.6200867,171.09009,76561198389634571,RedNose,0
2098,4.7738953,171.39804,76561198389634571,RedNose,0
2099,4.993973,172.29996,76561198389634571,RedNose,0
2100,5.170105,173.59805,76561198389634571,RedNose,0
2101,5.236023,174.10413,76561198389634571,RedNose,0
2102,5.390167,174.72003,76561198389634571,RedNose,0
2103,5.41214,174.76398,76561198389634571,RedNose,0
2104,5.522003,174.67609,76561198389634571,RedNose,0
2105,5.653839,174.49997,76561198389634571,RedNose,0
2106,5.764038,174.2799,76561198389634571,RedNose,0
2107,5.9841156,173.70792,76561198389634571,RedNose,0
2108,6.072006,173.39996,76561198389634571,RedNose,0
2109,6.270111,172.74011,76561198389634571,RedNose,0
2110,6.3799744,172.3439,76561198389634571,RedNose,0
2111,6.6000366,171.39804,76561198389634571,RedNose,0
2112,6.6879272,170.84805,76561198389634571,RedNose,0
2113,6.886017,169.61584,76561198389634571,RedNose,0
2114,6.99588,168.8681,76561198389634571,RedNose,0
2115,7.1060944,167.70184,76561198389634571,RedNose,0
2116,7.2159576,166.22797,76561198389634571,RedNose,0
2117,7.370117,164.16013,76561198389634571,RedNose,0
2118,7.4799805,161.6961,76561198389634571,RedNose,0
2119,7.523926,158.85785,76561198389634571,RedNose,0
2120,7.458008,155.40402,76561198389634571,RedNose,0
2121,7.39209,151.818,76561198389634571,RedNose,0
2122,7.2818756,147.81418,76561198389634571,RedNose,0
2123,7.128067,143.48007,76561198389634571,RedNose,0
2124,6.99588,139.23386,76561198389634571,RedNose,0
