tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
19243,6.8328094,716.5011,106.22098,-837.74585,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19244,7.1891785,715.4039,107.19153,-838.0677,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19245,7.6052856,714.098,108.3403,-838.4625,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19246,7.8627777,712.59454,109.56802,-838.93317,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19247,8.040955,710.9121,110.97427,-839.4808,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19248,8.139832,709.06696,111.66745,-840.1029,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19249,8.278534,707.0751,112.935,-840.80023,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19250,8.417236,704.95087,114.14313,-841.5729,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19251,8.555939,702.70654,114.75702,-842.4178,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19252,8.674744,700.35254,115.034424,-843.3305,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19253,8.773621,697.89746,114.975006,-844.30524,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19254,8.833008,695.349,114.77692,-845.33594,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19255,8.892395,692.71246,113.72705,-846.4124,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19256,8.833008,689.99146,112.0238,-847.5222,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19257,8.793518,687.18915,110.20178,-848.65295,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19258,8.754044,684.30817,108.1817,-849.7923,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19259,8.694305,681.3511,105.80521,-850.9269,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19260,8.674744,678.32245,104.75531,-852.05133,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19261,8.575516,675.2251,102.31946,-853.153,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19262,8.555939,672.0625,100.517,-854.2241,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19263,8.536041,668.92017,99.526855,-855.2592,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19264,8.536041,666.0281,98.97241,-856.2119,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19265,8.536041,663.4255,98.59613,-857.06946,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19266,8.437164,661.0125,98.33862,-857.867,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19267,8.377411,659.1077,98.23941,-858.55505,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19268,8.199234,657.74756,97.922516,-859.1277,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19269,8.100357,656.8175,97.467285,-859.6118,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19270,8.021057,656.2978,96.59558,-860.012,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19271,7.9815674,656.17926,95.50656,-860.3193,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19272,7.9616547,656.4187,94.39728,-860.50714,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19273,7.9616547,656.8998,93.94168,-860.61005,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19274,7.9815674,657.60315,93.92212,-860.66956,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19275,8.060532,658.52686,93.842804,-860.6987,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19276,8.278534,659.6706,93.42706,-860.7053,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19277,8.437164,661.012,92.41666,-860.6965,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19278,8.456726,662.464,91.72348,-860.45526,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19279,8.357849,664.03406,90.29767,-859.98553,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19280,8.199234,665.7068,89.4064,-859.32825,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19281,8.040955,667.475,89.08951,-858.49994,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19282,7.9616547,669.33093,89.129,-857.51447,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19283,7.842865,671.26556,89.545105,-856.3829,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19284,7.6052856,673.2686,90.61456,-855.1129,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19285,7.229004,675.327,92.436554,-853.7089,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19286,6.773407,677.4265,94.71417,-852.1731,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19287,6.337738,679.53455,96.71472,-850.52936,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19288,5.8426666,681.4275,98.77429,-848.7032,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19289,5.3276825,683.08374,100.61621,-846.6895,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19290,5.030365,684.33813,101.64584,-844.6619,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19291,4.5352936,685.196,103.4682,-842.63007,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19292,4.1988373,685.75116,104.795166,-840.60657,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19293,3.8421326,685.9546,105.6864,-838.83124,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19294,3.6838531,685.79205,105.92401,-837.3165,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19295,3.3075714,685.3336,106.32019,-836.01526,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19296,3.089569,684.6035,106.438965,-834.91113,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19297,2.9906921,683.6236,106.49838,-833.9881,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19298,2.9707642,682.4145,106.49838,-833.2315,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19299,2.9508667,681.1465,106.49838,-832.55963,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19300,2.911377,679.9795,106.45856,-831.94135,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19301,2.911377,678.9295,106.45856,-831.3848,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19302,2.911377,677.9692,106.45856,-830.876,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19303,2.911377,677.0987,106.45856,-830.4145,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19304,2.911377,676.31805,106.45856,-830.0004,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19305,2.911377,675.62726,106.45856,-829.6337,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19306,2.911377,675.0263,106.39917,-829.3149,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19307,2.9508667,674.5152,105.92401,-829.0434,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19308,2.9906921,674.09393,105.13159,-828.81976,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19309,3.1489563,673.7431,104.28015,-828.63965,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19310,3.248169,673.1772,103.88397,-828.5795,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19311,3.525238,672.37054,103.13141,-828.6124,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19312,3.7628174,671.35077,102.31946,-828.71,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19313,3.9015198,670.11633,101.52707,-828.8622,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19314,3.960907,668.6661,100.91321,-829.06287,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19315,3.960907,667.0166,100.47754,-829.3061,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19316,3.9015198,665.1837,100.10126,-829.58624,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19317,3.86203,663.1825,100.002014,-829.8995,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19318,3.86203,661.0265,100.002014,-830.2432,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19319,3.86203,658.7283,100.002014,-830.61523,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19320,3.881958,656.2995,100.002014,-831.0128,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19321,3.980835,653.7506,100.121155,-831.4348,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19322,4.159012,651.0916,100.338806,-831.8805,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19323,4.495819,648.3318,100.45761,-832.3483,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19324,4.9115753,645.47864,99.98245,-832.83417,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19325,5.2284546,642.5388,98.912994,-833.3307,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19326,5.545349,639.5183,97.28876,-833.8276,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19327,5.902069,636.42267,95.54602,-834.3152,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19328,6.278351,633.2571,93.684204,-834.7838,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19329,6.7335815,630.02637,91.52573,-835.22284,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19330,7.229004,626.8193,89.2876,-835.44666,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19331,7.7041626,623.6553,87.14871,-835.41626,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19332,8.258636,620.5668,84.79181,-835.16656,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19333,8.773621,617.7623,82.593506,-834.6229,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19334,9.466782,615.3034,79.46411,-833.74646,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19335,9.981766,613.11707,76.96884,-832.627,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19336,10.298645,611.1895,75.42389,-831.2867,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19337,10.774155,609.51166,73.225586,-829.74695,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19338,11.486893,608.0787,70.29431,-828.0289,-229.96875,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19339,11.962402,606.8805,68.47229,-826.15063,-229.39618,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19340,12.417984,605.9072,66.70967,-824.129,-228.04846,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
19341,12.87323,605.1495,64.92714,-821.9797,-226.61554,76561198410519875,🗿,0,awp,sniper,225.53651945537877,-0.35191345,-0.1232605,0.56770504
