tick,pitch,yaw,steamid,name,label
26862,15.400085,28.935577,76561198804929540,JuNe #MADE IN ROMANIA,0
26863,14.916,31.61969,76561198804929540,JuNe #MADE IN ROMANIA,0
26864,14.38797,33.55568,76561198804929540,JuNe #MADE IN ROMANIA,0
26865,13.85994,34.655685,76561198804929540,JuNe #MADE IN ROMANIA,0
26866,13.244019,35.315887,76561198804929540,JuNe #MADE IN ROMANIA,0
26867,12.759933,35.447723,76561198804929540,JuNe #MADE IN ROMANIA,0
26868,12.056122,35.447723,76561198804929540,JuNe #MADE IN ROMANIA,0
26869,11.572037,35.403778,76561198804929540,JuNe #MADE IN ROMANIA,0
26870,11.087952,35.359833,76561198804929540,JuNe #MADE IN ROMANIA,0
26871,10.428085,35.535614,76561198804929540,JuNe #MADE IN ROMANIA,0
26872,9.679993,36.107605,76561198804929540,JuNe #MADE IN ROMANIA,0
26873,8.931885,36.855698,76561198804929540,JuNe #MADE IN ROMANIA,0
26874,8.228073,37.60379,76561198804929540,JuNe #MADE IN ROMANIA,0
26875,7.567871,38.395844,76561198804929540,JuNe #MADE IN ROMANIA,0
26876,6.9079895,39.319733,76561198804929540,JuNe #MADE IN ROMANIA,0
26877,6.1159515,40.815582,76561198804929540,JuNe #MADE IN ROMANIA,0
26878,5.587921,41.95987,76561198804929540,JuNe #MADE IN ROMANIA,0
26879,4.7519226,43.279602,76561198804929540,JuNe #MADE IN ROMANIA,0
26880,4.136017,44.46785,76561198804929540,JuNe #MADE IN ROMANIA,0
26881,3.1681824,46.271667,76561198804929540,JuNe #MADE IN ROMANIA,0
26882,2.5958557,47.54779,76561198804929540,JuNe #MADE IN ROMANIA,0
26883,2.2879028,48.735687,76561198804929540,JuNe #MADE IN ROMANIA,0
26884,2.1121216,49.747803,76561198804929540,JuNe #MADE IN ROMANIA,0
26885,2.1121216,50.14366,76561198804929540,JuNe #MADE IN ROMANIA,0
26886,2.0681763,50.979645,76561198804929540,JuNe #MADE IN ROMANIA,0
26887,2.0238953,51.683807,76561198804929540,JuNe #MADE IN ROMANIA,0
26888,2.0238953,52.47586,76561198804929540,JuNe #MADE IN ROMANIA,0
26889,2.0681763,53.44368,76561198804929540,JuNe #MADE IN ROMANIA,0
26890,2.156067,54.0596,76561198804929540,JuNe #MADE IN ROMANIA,0
26891,2.2879028,54.543686,76561198804929540,JuNe #MADE IN ROMANIA,0
26892,2.4200745,54.983826,76561198804929540,JuNe #MADE IN ROMANIA,0
26893,2.640152,55.5558,76561198804929540,JuNe #MADE IN ROMANIA,0
26894,2.7280426,55.86377,76561198804929540,JuNe #MADE IN ROMANIA,0
26895,2.8159332,56.30356,76561198804929540,JuNe #MADE IN ROMANIA,0
26896,2.9041748,56.699753,76561198804929540,JuNe #MADE IN ROMANIA,0
26897,2.9041748,57.00772,76561198804929540,JuNe #MADE IN ROMANIA,0
26898,2.94812,57.315674,76561198804929540,JuNe #MADE IN ROMANIA,0
26899,2.9041748,57.71187,76561198804929540,JuNe #MADE IN ROMANIA,0
26900,2.8598785,58.195618,76561198804929540,JuNe #MADE IN ROMANIA,0
26901,2.8598785,58.635742,76561198804929540,JuNe #MADE IN ROMANIA,0
26902,2.8159332,59.119843,76561198804929540,JuNe #MADE IN ROMANIA,0
26903,2.7280426,59.647858,76561198804929540,JuNe #MADE IN ROMANIA,0
