tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
75942,1.1185455,-296.05212,71.69644,-370.4287,0.26335192,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75943,1.1003418,-295.6659,72.14722,-370.7749,0.26346207,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75944,1.082489,-295.6311,72.6344,-370.96692,0.26350355,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75945,1.082489,-295.59338,73.12157,-371.0868,0.26353312,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75946,1.082489,-295.29138,73.48239,-371.21094,0.26358557,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75947,1.082489,-294.80292,73.71689,-371.37787,0.26367283,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75948,1.082489,-294.1333,73.80719,-371.5923,0.26377916,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75949,1.082489,-293.28308,73.82504,-371.85632,0.26391602,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75950,1.082489,-292.25244,73.82504,-372.17053,0.26407957,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75951,1.082489,-291.04187,73.75293,-372.5359,0.26426983,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75952,1.082489,-289.65247,73.6987,-372.9527,0.2644906,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75953,1.0643005,-288.09888,73.66264,-373.4168,0.26473427,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75954,1.0643005,-286.65356,73.66264,-373.8485,0.26496243,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75955,1.0282593,-285.3172,73.66264,-374.24756,0.26517487,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75956,0.95614624,-284.10083,73.73474,-374.61072,0.26536512,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75957,0.8480072,-282.98315,73.897125,-374.9442,0.26554012,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75958,0.7395172,-281.96252,74.09558,-375.2489,0.26569986,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75959,0.61317444,-281.03906,74.38431,-375.5243,0.26584458,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75960,0.4511261,-280.21277,74.74515,-375.77087,0.26597738,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75961,0.25268555,-279.48364,75.14203,-375.98865,0.26609516,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75962,0.054244995,-278.85168,75.53891,-376.17712,0.26619387,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75963,-0.09030151,-278.3169,75.791595,-376.3368,0.2662773,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75964,-0.18058777,-277.87927,75.86368,-376.46716,0.2663455,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75965,-0.25268555,-277.53882,75.899734,-376.56873,0.26639843,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75966,-0.3065796,-277.29553,75.91794,-376.64148,0.2664361,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75967,-0.37902832,-277.1494,75.95398,-376.685,0.2664585,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75968,-0.46897888,-277.10046,76.00824,-376.6996,0.2664678,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75969,-0.5232239,-277.10046,76.04428,-376.6996,0.2664678,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75970,-0.55926514,-277.10046,76.098175,-376.6996,0.2664678,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
75971,-0.6135254,-277.10046,76.17062,-376.6996,0.2664678,76561198909032294,Kalevipoeg,0,ak47,rifle,939.3580373260838,0.30659485,0.10813904,0.0
