tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
113532,10.201141,656.69916,22.70462,-1444.422,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113533,10.010956,657.2225,18.966522,-1442.7384,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113534,9.662476,657.8707,16.30542,-1441.1423,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113535,9.155731,658.6355,14.182663,-1439.6333,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113536,8.807251,659.5082,13.232346,-1438.2069,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113537,8.553543,660.48035,12.693665,-1436.8579,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113538,8.426849,661.5326,12.408722,-1435.575,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113539,8.300171,662.6455,12.123413,-1434.4889,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113540,8.141907,663.82056,11.870041,-1433.607,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113541,8.046799,665.04584,11.585083,-1432.8928,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113542,7.825012,666.31665,11.173096,-1432.3339,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113543,7.6983337,667.62866,10.888138,-1431.9183,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113544,7.666748,668.9787,10.8246155,-1431.6344,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113545,7.666748,670.3633,10.8246155,-1431.4716,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113546,7.666748,671.7797,10.8246155,-1431.42,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113547,7.666748,673.22534,10.8246155,-1431.4708,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113548,7.666748,674.6979,10.8246155,-1431.6154,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113549,7.6983337,676.1951,10.856201,-1431.846,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113550,7.761505,677.7154,10.9197235,-1432.1558,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113551,7.825012,679.2568,10.951309,-1432.5381,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113552,7.856598,680.8175,10.982895,-1432.9872,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113553,7.856598,682.3962,10.982895,-1433.4973,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113554,7.856598,684.01184,10.982895,-1433.9509,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113555,7.856598,685.66736,10.982895,-1434.3347,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113556,7.856598,687.36285,10.982895,-1434.6484,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113557,7.856598,689.09204,10.982895,-1434.9034,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113558,7.856598,690.8522,10.982895,-1435.1046,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113559,7.856598,692.64056,10.982895,-1435.256,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113560,7.8885193,694.45496,10.982895,-1435.3616,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113561,7.8885193,696.2931,11.014832,-1435.4253,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113562,7.920105,698.1532,11.046417,-1435.4504,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113563,7.9832764,700.0335,11.078003,-1435.44,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113564,8.015213,701.9321,11.14151,-1435.3966,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113565,8.015213,703.84784,11.14151,-1435.3231,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113566,8.015213,705.77924,11.14151,-1435.2219,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113567,8.015213,707.725,11.14151,-1435.0951,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113568,8.015213,709.66925,11.14151,-1434.9462,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113569,8.015213,711.6119,11.14151,-1434.7771,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113570,8.015213,713.55286,11.14151,-1434.59,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113571,8.015213,715.4922,11.14151,-1434.3865,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113572,8.015213,717.42993,11.14151,-1434.1683,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113573,8.015213,719.36615,11.14151,-1433.9369,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113574,8.015213,721.3009,11.173096,-1433.6934,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113575,8.046799,723.2342,11.173096,-1433.4387,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113576,8.046799,725.16614,11.173096,-1433.1738,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113577,8.046799,727.09674,11.173096,-1432.8995,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113578,8.078384,729.0261,11.173096,-1432.6167,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113579,8.078384,730.95435,11.173096,-1432.3259,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113580,8.078384,732.8815,11.173096,-1432.028,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113581,8.078384,734.7517,11.173096,-1431.6458,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113582,8.078384,736.5677,11.173096,-1431.1508,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113583,8.078384,738.3267,11.173096,-1430.5376,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113584,8.078384,740.04004,11.173096,-1429.8293,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113585,8.078384,741.7112,11.173096,-1429.0336,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113586,8.078384,743.34375,11.173096,-1428.1576,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113587,8.078384,744.94104,11.109924,-1427.2076,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
