tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
127688,-18.29979,584.41364,-119.14707,-757.5715,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127689,-18.933228,585.8781,-120.25566,-758.6657,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127690,-19.630508,587.35126,-121.459694,-759.7482,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127691,-20.168839,588.8306,-122.4416,-760.8222,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127692,-20.54924,590.3143,-123.20206,-761.8903,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127693,-20.675934,591.8013,-123.55053,-762.95374,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127694,-20.70752,593.2913,-123.6137,-764.0129,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127695,-20.70752,594.78394,-123.64563,-765.0684,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127696,-20.70752,596.279,-123.64563,-766.1205,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127697,-20.70752,597.77625,-123.64563,-767.16943,-399.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127698,-20.70752,599.27545,-123.677216,-768.2156,-411.23126,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127699,-20.70752,600.77637,-123.772316,-769.2593,-412.73218,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127700,-20.739105,602.27844,-123.9941,-770.30133,-414.23425,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127701,-20.77069,603.7811,-124.27906,-771.3424,-415.73694,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127702,-20.802612,605.28406,-124.50085,-772.3832,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127703,-20.834198,606.787,-124.75422,-773.42395,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127704,-20.865784,608.2897,-124.91249,-774.4651,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127705,-20.92929,609.7918,-125.071106,-775.5071,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127706,-20.960876,611.2932,-125.29289,-776.55005,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127707,-21.024399,612.7935,-125.57785,-777.59467,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
