tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
13756,-0.12667847,619.0673,-146.00247,237.3286,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13757,-0.12667847,618.75134,-146.00247,237.79521,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13758,-0.12667847,618.61365,-146.00247,237.99826,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13759,-0.12667847,618.63043,-146.00247,237.97243,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13760,-0.12667847,618.6883,-146.06564,237.88641,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13761,-0.12667847,618.7865,-146.25583,237.7394,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13762,-0.12667847,618.9248,-146.50922,237.53104,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13763,-0.12667847,619.10284,-146.69907,237.26147,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13764,-0.09509277,619.32056,-146.76257,236.93047,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13765,-0.09509277,619.57794,-146.76257,236.53851,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13766,-0.09509277,619.8754,-146.76257,236.08553,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13767,-0.09509277,620.21295,-146.76257,235.57152,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13768,-0.09509277,620.5905,-146.76257,234.99648,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13769,-0.09509277,621.00793,-146.8261,234.3603,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13770,-0.09509277,621.4458,-146.92085,233.69225,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13771,-0.09509277,621.8295,-146.98438,233.10693,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13772,-0.09509277,622.1495,-147.01596,232.61871,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13773,-0.09509277,622.3215,-147.04755,232.3581,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13774,-0.09509277,622.3215,-147.04755,232.3581,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13775,-0.09509277,622.2265,-147.04755,232.50458,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13776,-0.09509277,622.092,-147.07947,232.71217,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13777,-0.09509277,621.91785,-147.11105,232.98126,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13778,-0.09509277,621.7042,-147.14264,233.31189,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13779,-0.09509277,621.451,-147.14264,233.70401,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13780,-0.09509277,621.2208,-147.17422,234.0607,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13781,-0.09509277,621.0435,-147.17422,234.33543,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13782,-0.09509277,620.9313,-147.17422,234.50958,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13783,-0.09509277,620.9613,-147.20615,234.46313,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13784,-0.09509277,621.03516,-147.26932,234.34827,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13785,-0.09509277,621.14954,-147.33284,234.16988,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13786,-0.09509277,621.3032,-147.39601,233.92984,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13787,-0.09509277,621.49603,-147.42795,233.6283,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13788,-0.09509277,621.72797,-147.42795,233.26526,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
