tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
143711,2.0276642,95.60303,-27.509079,-1190.127,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143712,2.0276642,97.29828,-27.603836,-1189.7054,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143713,2.0276642,98.99141,-27.635773,-1189.2755,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143714,2.0276642,100.682625,-27.667358,-1188.838,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143715,1.9957275,102.37213,-27.730865,-1188.394,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143716,1.9325562,104.06025,-28.110931,-1187.9448,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143717,1.8690491,105.747375,-28.617676,-1187.4918,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143718,1.8058777,107.434105,-29.314606,-1187.0374,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143719,1.7423706,109.12086,-29.916458,-1186.583,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143720,1.6788483,110.80794,-30.423553,-1186.1299,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143721,1.6472626,112.49543,-30.67691,-1185.6783,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143722,1.6156769,114.18346,-30.803604,-1185.2288,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143723,1.5840912,115.872025,-30.867126,-1184.7812,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143724,1.5840912,117.56108,-30.898712,-1184.3356,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143725,1.5521545,119.25061,-30.898712,-1184.0314,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143726,1.5205688,120.95439,-30.930298,-1184.0804,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143727,1.4254761,122.669304,-31.02539,-1184.2144,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143728,1.3303833,124.39568,-31.215591,-1184.4401,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143729,1.3623047,126.11726,-31.437378,-1184.7363,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143730,1.3623047,127.826904,-31.437378,-1185.0951,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143731,1.3623047,129.52422,-31.437378,-1185.5082,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143732,1.3623047,131.23848,-31.437378,-1185.8441,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143733,1.3623047,132.96545,-31.437378,-1186.107,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143734,1.3623047,134.70103,-31.437378,-1186.3053,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143735,1.3623047,136.44232,-31.437378,-1186.4448,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143736,1.3623047,138.18709,-31.437378,-1186.5308,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143737,1.3623047,139.93356,-31.437378,-1186.568,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143738,1.3623047,141.68042,-31.437378,-1186.5615,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143739,1.3623047,143.42711,-31.437378,-1186.5432,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143740,1.3623047,145.17242,-31.437378,-1186.6155,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143741,1.3623047,146.91058,-31.437378,-1186.7898,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143742,1.3623047,148.63968,-31.437378,-1187.0383,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143743,1.0138245,150.35753,-31.84903,-1187.3555,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143744,0.9187317,152.06277,-31.975708,-1187.7345,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143745,0.8236389,153.75452,-32.16591,-1188.1699,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143746,0.7604675,155.43237,-32.261017,-1188.6561,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143747,0.7285309,157.09636,-32.261017,-1189.1879,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143748,0.6969452,158.75864,-32.32419,-1189.7245,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143749,0.6969452,160.4455,-32.32419,-1190.178,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143750,0.6969452,162.15546,-32.35611,-1190.5353,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143751,0.6969452,163.87859,-32.387695,-1190.8223,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143752,0.6653595,165.61116,-32.482788,-1191.0453,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143753,0.63342285,167.35019,-32.70459,-1191.2107,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143754,0.60183716,169.09334,-33.02112,-1191.3247,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143755,0.57025146,170.83885,-33.46469,-1191.3934,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143756,0.5067444,172.5855,-33.781586,-1191.422,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143757,0.443573,174.33235,-34.130066,-1191.4154,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143758,0.4119873,176.07884,-34.351837,-1191.3787,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143759,0.38006592,177.82465,-34.47853,-1191.3181,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143760,0.34848022,179.57098,-34.542053,-1191.361,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143761,0.31689453,181.31186,-34.79541,-1191.5055,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143762,0.2849579,183.04318,-35.33374,-1191.738,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143763,0.2849579,184.76161,-35.999115,-1192.052,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143764,0.31689453,186.46461,-36.72798,-1192.441,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143765,0.31689453,188.1333,-37.614777,-1192.8645,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143766,0.31689453,189.68523,-38.153458,-1193.2393,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143767,0.2849579,191.2148,-38.565094,-1193.4486,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143768,0.2217865,192.72699,-38.913574,-1193.4802,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143769,0.15826416,194.11667,-39.357147,-1193.5093,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143770,0.06317139,195.3887,-40.180786,-1193.536,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143771,0.0,196.55756,-40.84613,-1193.5604,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143772,-0.09509277,197.62473,-41.85997,-1193.5829,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143773,-0.12667847,198.59033,-42.33513,-1193.6034,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143774,-0.15826416,199.45438,-42.52533,-1193.622,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143775,-0.15826416,200.21686,-42.52533,-1193.6385,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143776,-0.15826416,200.87778,-42.52533,-1193.6527,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143777,-0.15826416,201.47336,-42.52533,-1193.6781,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143778,-0.15826416,202.10022,-42.52533,-1193.7886,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143779,-0.15826416,202.82155,-42.52533,-1193.8683,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143780,-0.15826416,203.61644,-42.52533,-1193.9294,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143781,-0.15826416,204.44588,-42.52533,-1193.9344,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143782,-0.15826416,205.29141,-42.52533,-1193.8141,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143783,-0.15826416,206.15872,-42.52533,-1193.5543,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143784,-0.15826416,207.04686,-42.52533,-1193.1948,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143785,-0.15826416,207.95865,-42.52533,-1192.7446,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143786,-0.1902008,208.89743,-42.52533,-1192.2109,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143787,-0.1902008,209.78912,-42.620422,-1191.6915,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143788,-0.2217865,210.59113,-42.841873,-1191.2329,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143789,-0.2217865,211.18304,-43.158752,-1190.9518,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143790,-0.2533722,211.51263,-43.57074,-1190.8785,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143791,-0.2533722,211.62184,-43.887634,-1190.953,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143792,-0.2533722,211.52565,-44.077484,-1191.0956,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143793,-0.28530884,211.3647,-44.172592,-1191.2793,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143794,-0.28530884,211.14885,-44.2677,-1191.5117,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143795,-0.31689453,210.89462,-44.48947,-1191.7795,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
143796,-0.34848022,210.70695,-44.774445,-1191.977,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,327.5561966152014,0.18984985,-0.31689453,1.2289959
