tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
148773,14.889908,467.64743,50.604736,-1197.5703,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148774,14.889908,469.9594,50.604736,-1194.4218,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148775,14.889908,472.28528,50.604736,-1191.2834,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148776,14.889908,474.62396,50.604736,-1188.1547,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148777,14.889908,476.9744,50.604736,-1185.0347,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148778,14.889908,479.33554,50.604736,-1181.9227,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148779,14.889908,481.70636,50.604736,-1178.8182,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148780,14.889908,484.08606,50.604736,-1175.7206,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148781,14.541443,486.48117,48.989075,-1172.6348,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148782,14.414398,488.89954,47.08844,-1169.5671,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148783,14.192963,491.34943,44.807404,-1166.5247,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148784,13.9392395,493.83942,42.241394,-1163.5149,-769.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
