tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25486,11.02478,597.60736,-93.444214,309.12167,-570.21826,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25487,10.992859,597.3387,-93.50773,305.80878,-571.2869,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25488,10.9296875,597.0734,-93.634415,302.47705,-572.3617,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25489,10.866165,596.8105,-93.79269,299.128,-573.442,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25490,10.802994,596.55023,-93.91937,295.77872,-574.5224,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25491,10.739471,596.2918,-94.10957,292.4293,-575.6029,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25492,10.644379,596.0332,-94.42646,289.0799,-576.68335,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25493,10.549286,595.7734,-94.67983,285.7306,-577.76373,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25494,10.454529,595.51086,-94.96513,282.3815,-578.8441,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25495,10.359421,595.24475,-95.25009,279.03268,-579.9244,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25496,10.232727,594.81793,-95.66208,275.75458,-580.9818,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25497,10.106049,594.2026,-96.13724,272.56094,-582.012,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25498,9.979019,593.3942,-96.6124,269.45517,-583.0139,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25499,9.82074,592.65155,-97.05597,266.60178,-583.9343,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25500,9.694061,591.9694,-97.37251,263.98032,-584.77997,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25501,9.567383,591.34296,-97.657814,261.57196,-585.5569,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25502,9.440689,590.7559,-97.94277,259.316,-586.2846,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25503,9.409103,590.216,-98.06946,257.24026,-586.95416,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25504,9.377167,589.7761,-98.10139,255.54968,-587.4995,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25505,9.377167,589.35297,-98.10139,253.85483,-588.04626,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25506,9.377167,588.9448,-98.13297,252.15631,-588.5942,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25507,9.345581,588.55035,-98.13297,250.45454,-589.1431,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25508,9.345581,588.1684,-98.13297,248.74994,-589.693,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25509,9.345581,587.79755,-98.13297,247.04288,-590.24365,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25510,9.313995,587.43695,-98.13297,245.33362,-590.79504,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
