tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
30994,-46.664764,1146.3844,-174.95728,-439.96045,-243.75,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
30995,-46.664764,1146.3844,-174.95728,-439.97046,-242.57812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
30996,-46.664764,1146.3844,-174.95728,-439.98047,-241.40625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
30997,-46.632843,1146.3844,-174.95728,-439.99048,-240.23438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
30998,-46.284363,1146.3844,-175.08395,-440.0003,-239.07812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
30999,-45.809204,1146.3844,-175.21065,-440.00995,-237.90625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31000,-45.207367,1146.3844,-175.36893,-440.0194,-236.73438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31001,-44.51042,1146.3844,-175.55911,-440.02856,-235.5625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31002,-43.876984,1146.3844,-175.6858,-440.0376,-234.39062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31003,-43.21164,1146.3844,-175.8125,-440.0464,-233.21875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31004,-42.51468,1146.3844,-175.8125,-440.0553,-232.04688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31005,-41.81775,1146.3844,-175.74898,-440.06445,-230.89062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31006,-41.152374,1146.3844,-175.5907,-440.07404,-229.71875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31007,-40.32875,1146.3844,-175.40051,-440.08417,-228.54688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
