tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
41607,0.9503174,99.76662,-85.71533,87.43263,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41608,0.9503174,97.939766,-85.62023,87.36446,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41609,0.9187317,96.11314,-85.62023,87.29049,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41610,0.9187317,94.286736,-85.588646,87.211044,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41611,0.9187317,92.46056,-85.55672,87.1266,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41612,0.887146,90.634605,-85.55672,87.03767,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41613,0.887146,88.808876,-85.52513,86.94418,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41614,0.887146,86.98818,-85.52513,86.83061,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41615,0.8236389,85.20133,-85.398445,86.595764,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41616,0.6969452,83.48389,-85.24017,86.23864,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41617,0.60183716,81.91766,-85.04997,85.739655,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41618,0.4751587,80.52758,-84.860115,85.07614,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41619,0.34848022,79.26683,-84.669914,84.2929,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
41620,0.2217865,78.12528,-84.41654,83.399376,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,285.9511084696138,0.0,-0.031585693,0.5706843
