tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
5997,1.6472626,-78.013794,-95.11036,-529.39343,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
5998,1.6472626,-78.637024,-95.11036,-533.0913,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
5999,1.6472626,-79.236206,-95.11036,-536.79315,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6000,1.6472626,-79.81354,-95.11036,-540.4984,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6001,1.6472626,-80.37079,-95.11036,-544.2068,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6002,1.4889832,-80.90979,-95.11036,-547.91785,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6003,1.3623047,-81.431946,-95.141945,-551.63135,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6004,1.330719,-81.9389,-95.141945,-555.3469,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6005,1.2987976,-82.43164,-95.07843,-559.0644,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6006,1.2987976,-82.91052,-94.92016,-562.7837,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6007,1.2672119,-83.37488,-94.63486,-566.5048,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6008,1.2672119,-83.82391,-94.286385,-570.22784,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6009,1.2672119,-84.2572,-93.93791,-573.95276,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6010,1.2036896,-84.67212,-93.20938,-577.67975,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6011,1.1721039,-85.06506,-92.322235,-581.4091,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6012,1.1405182,-85.49121,-91.15013,-585.1212,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6013,1.1405182,-86.10602,-89.47128,-588.76154,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6014,1.1089325,-86.926575,-86.77826,-592.33124,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6015,1.1405182,-87.88312,-83.95889,-595.8614,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6016,1.2672119,-88.94934,-80.60085,-599.36664,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6017,1.4254761,-90.10309,-77.71797,-602.8581,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6018,1.6472626,-91.32202,-74.58172,-606.3461,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6019,1.7423706,-92.59338,-73.02921,-609.83527,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6020,1.8058777,-93.90503,-71.47705,-613.3293,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6021,1.8058777,-95.250244,-70.74818,-616.8296,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6022,1.8058777,-96.61749,-70.36812,-620.3215,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6023,1.8058777,-98.00452,-70.27302,-623.80554,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6024,1.8058777,-99.40924,-70.24143,-627.2825,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
