tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
60553,1.9641418,-149.66345,-76.80988,-540.54016,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60554,1.805542,-150.67517,-76.80988,-542.0628,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60555,1.6472626,-151.6828,-76.80988,-543.58813,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60556,1.5521545,-152.68701,-76.84147,-545.1158,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60557,1.4889832,-153.68805,-76.873055,-546.6455,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60558,1.3303833,-154.68646,-76.90498,-548.17694,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60559,1.2672119,-155.68213,-76.90498,-549.71014,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60560,1.1405182,-156.67566,-76.90498,-551.24475,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60561,1.1085815,-157.66687,-76.873055,-552.7808,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60562,1.1085815,-158.65625,-76.873055,-554.3181,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60563,1.0769958,-159.64374,-76.873055,-555.8566,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60564,1.0769958,-160.62952,-76.873055,-557.3962,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60565,1.0769958,-161.6134,-76.873055,-558.93695,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60566,1.0769958,-162.59595,-76.873055,-560.4786,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60567,1.0769958,-163.54211,-76.84147,-562.034,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60568,1.0769958,-164.3742,-76.84147,-563.63226,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60569,1.0769958,-165.07397,-76.84147,-565.2802,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60570,0.9503174,-165.67712,-76.777954,-566.964,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60571,0.7920532,-166.1908,-76.55651,-568.6808,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60572,0.6653595,-166.62189,-76.397896,-570.428,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60573,0.57025146,-166.97626,-76.239624,-572.2029,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
60574,0.4751587,-167.26001,-76.17611,-574.00287,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,226.4976331286774,0.09510803,-0.06317139,1.3733443
