tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
63979,2.1227722,395.17752,14.037445,-1231.7922,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63980,2.0276642,397.91968,14.132202,-1231.2611,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63981,1.9641418,400.6986,14.290802,-1230.9275,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63982,1.9325562,403.51172,14.322388,-1230.775,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63983,1.9325562,406.35632,14.353973,-1230.7888,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63984,1.9009705,409.22998,14.480667,-1230.9551,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63985,1.774292,412.13138,14.797546,-1231.2598,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63986,1.7107849,415.05902,15.050934,-1231.6908,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63987,1.6156769,418.0112,15.336227,-1232.2362,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63988,1.4889832,420.98724,15.716278,-1232.8853,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63989,1.2991333,423.98666,16.444824,-1233.6261,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63990,1.1089325,427.01038,17.553741,-1234.4462,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63991,0.9187317,430.06033,19.169434,-1235.3313,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63992,0.7920532,433.0816,21.83052,-1236.1626,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63993,0.72888184,435.84775,24.966766,-1236.9099,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63994,0.6969452,438.37668,29.497253,-1237.5443,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63995,0.6969452,440.53192,37.70233,-1237.8881,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63996,0.6653595,442.21423,45.146942,-1237.9287,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63997,0.72888184,443.50912,56.108215,-1237.7977,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63998,0.8555603,444.42188,66.34094,-1237.556,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
63999,1.330719,444.9399,79.044556,-1237.2831,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64000,2.0276642,445.06577,89.27731,-1237.0538,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64001,3.136261,444.84735,102.20273,-1236.9775,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64002,4.1500854,444.44617,112.783936,-1237.0516,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64003,5.4172974,443.92374,124.79062,-1237.2197,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
