tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
4628,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4629,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4630,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4631,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4632,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4633,-6.124878,-1084.2665,7.3632507,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4634,-6.124878,-1084.2665,7.4336243,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4635,-6.159897,-1084.2665,7.503998,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4636,-6.159897,-1084.2665,7.503998,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4637,-6.159897,-1084.2665,7.503998,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
4638,-6.159897,-1084.2665,7.503998,-2292.8904,-167.96875,76561199240336071,Addict🎰,0,usp_silencer,pistol,1128.4067408855176,0.070388794,0.14074707,3.2705464
