tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
49203,2.951538,175.24355,-128.22487,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49204,2.9697418,175.24355,-128.20667,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49205,3.006134,175.24355,-128.17062,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49206,3.0239868,175.24355,-128.15244,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49207,3.060379,175.24355,-128.13423,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49208,3.0964355,175.24355,-128.13423,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49209,3.2052612,175.24355,-128.09818,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49210,3.2958984,175.24355,-128.04395,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49211,3.422577,175.24355,-128.02574,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49212,3.4950256,175.24355,-128.02574,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49213,3.5674744,175.24355,-128.02574,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49214,3.621704,175.24355,-128.02574,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49215,3.6581116,175.24355,-128.00754,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49216,3.7666016,175.24355,-127.9715,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49217,3.8572388,175.24355,-127.935104,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49218,3.9657288,175.24355,-127.88086,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49219,4.255493,175.24355,-127.75417,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49220,4.5816345,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49221,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49222,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49223,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49224,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49225,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49226,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49227,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49228,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49229,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49230,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49231,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49232,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49233,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49234,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49235,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49236,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49237,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49238,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49239,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49240,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49241,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49242,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49243,4.726181,175.24355,-127.663536,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49244,4.5994873,175.24355,-128.0618,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49245,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49246,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49247,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49248,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49249,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49250,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49251,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49252,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49253,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49254,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49255,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49256,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49257,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49258,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49259,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49260,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49261,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49262,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49263,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49264,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49265,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49266,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
49267,4.4546204,175.24355,-128.3155,2531.9636,-116.28516,76561199256473489,Allison Argent,0,deagle,pistol,712.1228116933249,-0.6337738,-0.88749695,0.30864516
