tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
14421,6.6172028,93.58121,76561199379115545,HosenScheißa,0,galilar,rifle
14422,6.6172028,93.54376,76561199379115545,HosenScheißa,0,galilar,rifle
14423,6.6172028,93.50635,76561199379115545,HosenScheißa,0,galilar,rifle
14424,6.6172028,93.50635,76561199379115545,HosenScheißa,0,galilar,rifle
14425,6.6172028,93.50635,76561199379115545,HosenScheißa,0,galilar,rifle
14426,6.580124,93.46893,76561199379115545,HosenScheißa,0,galilar,rifle
14427,6.542694,93.394104,76561199379115545,HosenScheißa,0,galilar,rifle
14428,6.467865,93.31958,76561199379115545,HosenScheißa,0,galilar,rifle
14429,6.430435,93.16989,76561199379115545,HosenScheißa,0,galilar,rifle
14430,6.3930054,92.98312,76561199379115545,HosenScheißa,0,galilar,rifle
14431,6.3930054,92.758606,76561199379115545,HosenScheißa,0,galilar,rifle
14432,6.355591,92.57184,76561199379115545,HosenScheißa,0,galilar,rifle
14433,6.355591,92.34729,76561199379115545,HosenScheißa,0,galilar,rifle
14434,6.355591,92.08569,76561199379115545,HosenScheißa,0,galilar,rifle
14435,6.355591,91.824066,76561199379115545,HosenScheißa,0,galilar,rifle
14436,6.355591,91.525024,76561199379115545,HosenScheißa,0,galilar,rifle
14437,6.355591,91.1886,76561199379115545,HosenScheißa,0,galilar,rifle
14438,6.355591,90.926636,76561199379115545,HosenScheißa,0,galilar,rifle
14439,6.355591,90.8147,76561199379115545,HosenScheißa,0,galilar,rifle
14440,6.3181763,90.73987,76561199379115545,HosenScheißa,0,galilar,rifle
14441,6.3181763,90.73987,76561199379115545,HosenScheißa,0,galilar,rifle
14442,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14443,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14444,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14445,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14446,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14447,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14448,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14449,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14450,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14451,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14452,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14453,6.3181763,90.70245,76561199379115545,HosenScheißa,0,galilar,rifle
14454,6.3181763,90.66501,76561199379115545,HosenScheißa,0,galilar,rifle
14455,6.3181763,90.44083,76561199379115545,HosenScheißa,0,galilar,rifle
14456,6.3181763,90.066956,76561199379115545,HosenScheißa,0,galilar,rifle
14457,6.3181763,89.543396,76561199379115545,HosenScheißa,0,galilar,rifle
14458,6.355591,88.87048,76561199379115545,HosenScheißa,0,galilar,rifle
14459,6.430435,88.234985,76561199379115545,HosenScheißa,0,galilar,rifle
14460,6.5052795,87.30011,76561199379115545,HosenScheißa,0,galilar,rifle
14461,6.6172028,86.21588,76561199379115545,HosenScheißa,0,galilar,rifle
14462,6.692047,85.05719,76561199379115545,HosenScheißa,0,galilar,rifle
14463,6.7294617,83.4494,76561199379115545,HosenScheißa,0,galilar,rifle
14464,6.7668915,82.40262,76561199379115545,HosenScheißa,0,galilar,rifle
14465,6.8043213,81.24356,76561199379115545,HosenScheißa,0,galilar,rifle
14466,6.8791504,80.421295,76561199379115545,HosenScheißa,0,galilar,rifle
14467,6.8791504,79.822876,76561199379115545,HosenScheißa,0,galilar,rifle
14468,6.8791504,79.37451,76561199379115545,HosenScheißa,0,galilar,rifle
14469,6.8791504,79.14996,76561199379115545,HosenScheißa,0,galilar,rifle
14470,6.8791504,79.00061,76561199379115545,HosenScheißa,0,galilar,rifle
14471,6.8791504,78.963196,76561199379115545,HosenScheißa,0,galilar,rifle
14472,6.8791504,78.963196,76561199379115545,HosenScheißa,0,galilar,rifle
14473,6.841736,78.92578,76561199379115545,HosenScheißa,0,galilar,rifle
14474,6.841736,78.88837,76561199379115545,HosenScheißa,0,galilar,rifle
14475,6.8043213,78.85095,76561199379115545,HosenScheißa,0,galilar,rifle
14476,6.7668915,78.73901,76561199379115545,HosenScheißa,0,galilar,rifle
14477,6.692047,78.55191,76561199379115545,HosenScheißa,0,galilar,rifle
14478,6.6546326,78.40222,76561199379115545,HosenScheißa,0,galilar,rifle
14479,6.6172028,78.215454,76561199379115545,HosenScheißa,0,galilar,rifle
14480,6.6172028,78.065765,76561199379115545,HosenScheißa,0,galilar,rifle
14481,6.580124,77.91641,76561199379115545,HosenScheißa,0,galilar,rifle
14482,6.580124,77.69223,76561199379115545,HosenScheißa,0,galilar,rifle
14483,6.580124,77.54254,76561199379115545,HosenScheißa,0,galilar,rifle
14484,6.580124,77.2435,76561199379115545,HosenScheißa,0,galilar,rifle
14485,6.580124,76.90704,76561199379115545,HosenScheißa,0,galilar,rifle
14486,6.580124,76.45831,76561199379115545,HosenScheißa,0,galilar,rifle
14487,6.580124,76.00958,76561199379115545,HosenScheißa,0,galilar,rifle
14488,6.6172028,75.486374,76561199379115545,HosenScheißa,0,galilar,rifle
14489,6.6546326,74.77603,76561199379115545,HosenScheißa,0,galilar,rifle
14490,6.7294617,73.916016,76561199379115545,HosenScheißa,0,galilar,rifle
14491,6.7294617,73.056,76561199379115545,HosenScheißa,0,galilar,rifle
14492,6.7668915,72.084045,76561199379115545,HosenScheißa,0,galilar,rifle
14493,6.8043213,71.14952,76561199379115545,HosenScheißa,0,galilar,rifle
14494,6.8043213,69.878204,76561199379115545,HosenScheißa,0,galilar,rifle
14495,6.841736,68.943665,76561199379115545,HosenScheißa,0,galilar,rifle
14496,6.841736,67.89688,76561199379115545,HosenScheißa,0,galilar,rifle
14497,6.91658,66.92493,76561199379115545,HosenScheißa,0,galilar,rifle
14498,6.953659,65.99007,76561199379115545,HosenScheißa,0,galilar,rifle
14499,6.991089,64.79393,76561199379115545,HosenScheißa,0,galilar,rifle
14500,6.991089,63.9339,76561199379115545,HosenScheißa,0,galilar,rifle
14501,7.0285034,63.073883,76561199379115545,HosenScheißa,0,galilar,rifle
14502,7.0285034,61.98967,76561199379115545,HosenScheißa,0,galilar,rifle
14503,7.0285034,60.94287,76561199379115545,HosenScheißa,0,galilar,rifle
14504,7.0285034,59.597046,76561199379115545,HosenScheißa,0,galilar,rifle
14505,7.0285034,58.662537,76561199379115545,HosenScheißa,0,galilar,rifle
14506,7.065918,57.354126,76561199379115545,HosenScheißa,0,galilar,rifle
14507,7.103348,56.30699,76561199379115545,HosenScheißa,0,galilar,rifle
14508,7.1407776,55.44731,76561199379115545,HosenScheißa,0,galilar,rifle
14509,7.178192,54.62471,76561199379115545,HosenScheißa,0,galilar,rifle
14510,7.2156067,54.064056,76561199379115545,HosenScheißa,0,galilar,rifle
14511,7.2156067,53.690186,76561199379115545,HosenScheißa,0,galilar,rifle
14512,7.2156067,53.465652,76561199379115545,HosenScheißa,0,galilar,rifle
14513,7.2156067,53.35373,76561199379115545,HosenScheißa,0,galilar,rifle
14514,7.2530365,53.241455,76561199379115545,HosenScheißa,0,galilar,rifle
