tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
34846,0.1373291,160.12274,23.367584,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34847,0.19259644,160.12274,23.202438,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34848,0.22006226,160.12274,22.954895,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34849,0.08239746,160.12274,22.487305,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34850,-0.1373291,160.12274,21.772491,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34851,-0.10986328,160.12274,20.259827,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34852,-0.10986328,160.12274,20.259827,2369.6763,-119.9187,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34853,0.22006226,160.44609,15.584793,2369.7664,-119.951294,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34854,0.30245972,161.00081,11.404846,2369.8955,-120.00726,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34855,0.44013977,161.79099,5.4650116,2370.0337,-120.01056,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34856,0.5774689,162.81667,-2.1800995,2370.1414,-120.00128,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34857,0.30245972,164.0648,-15.490036,2370.1487,-119.989746,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34858,0.1373291,165.52179,-22.44748,2370.0273,-119.97601,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34859,0.02746582,167.14407,-32.265137,2369.7366,-119.96875,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
34860,0.0,168.86562,-46.509933,2369.2258,-119.96875,76561199466940810,FemboySl4yer1337,0,awp,sniper,2303.8140628845395,0.0,0.0,0.0
