tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
56377,5.348282,-359.4657,-108.44467,-126.377014,-167.92188,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56378,5.348282,-361.0846,-108.44467,-129.74884,-166.28125,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56379,5.348282,-362.7035,-108.44467,-133.12067,-164.82812,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56380,5.348282,-364.3224,-108.44467,-136.4925,-163.57812,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56381,5.348282,-365.94128,-108.44467,-139.86438,-162.51562,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56382,5.348282,-367.56018,-108.44467,-143.2362,-161.64062,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56383,5.348282,-369.08844,-108.44467,-146.63824,-160.98438,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56384,5.348282,-370.46362,-108.44467,-150.09155,-160.5,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56385,5.348282,-371.70795,-108.44467,-153.58832,-160.21875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56386,5.348282,-372.82153,-108.44467,-157.01978,-160.14062,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56387,5.348282,-373.36108,-108.44467,-160.16461,-160.25,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56388,5.348282,-373.35327,-108.44467,-163.03564,-160.5625,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56389,5.348282,-372.787,-108.45875,-165.62775,-161.0625,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56390,5.6198425,-371.90918,-109.77436,-167.90845,-161.76562,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56391,6.049011,-370.74268,-112.06261,-169.4607,-162.65625,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56392,6.878128,-369.29248,-116.73866,-170.4502,-163.75,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56393,7.9077454,-367.56628,-123.10215,-171.01599,-165.03125,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56394,8.923309,-365.83997,-131.25298,-171.58167,-166.51562,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56395,9.881165,-364.06006,-141.86371,-171.70215,-168.1875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56396,10.439072,-362.26135,-150.27203,-171.7074,-170.0625,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56397,10.839386,-360.46277,-163.01343,-171.71252,-172.125,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56398,10.796478,-358.66418,-176.41263,-171.71765,-174.375,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56399,10.439072,-356.8656,173.34882,-171.72278,-176.84375,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56400,9.49527,-355.06702,159.72095,-171.7279,-179.48438,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56401,8.622894,-353.26843,150.62598,-171.73303,-182.32812,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56402,7.707596,-351.46985,142.9898,-171.73816,-185.375,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56403,6.1204224,-349.67126,131.62137,-171.74329,-188.60938,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56404,5.004959,-347.87268,124.01367,-171.74841,-192.04688,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56405,4.3615723,-346.0741,119.566284,-171.75354,-195.67188,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56406,3.8325195,-344.2755,115.69119,-171.75867,-199.5,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56407,3.4891968,-342.47693,112.94562,-171.7638,-203.51562,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56408,3.2032013,-340.67834,110.25708,-171.76892,-207.73438,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56409,3.145874,-338.87976,109.3277,-171.77405,-212.14062,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56410,3.1317902,-337.08118,108.984375,-171.77917,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56411,3.1747131,-335.1557,108.96997,-171.69006,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56412,3.2176208,-333.1139,109.15604,-171.51343,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56413,3.2316895,-330.96594,109.54227,-171.2547,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56414,3.2176208,-328.72107,109.79944,-170.91937,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56415,3.1887817,-326.3872,109.97107,-170.51282,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56416,3.0888672,-323.97205,110.157166,-170.03986,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56417,2.9601288,-321.48212,110.242645,-169.5055,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56418,2.7884674,-318.9237,110.342896,-168.91412,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56419,2.659729,-316.3026,110.40024,-168.27002,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56420,2.5169067,-313.62415,110.42874,-167.57733,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56421,2.3023224,-310.89282,110.443146,-166.84015,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56422,2.1591492,-308.11298,110.42874,-166.0622,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56423,2.0304108,-305.28815,110.35733,-165.24689,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56424,1.902008,-302.42188,110.271484,-164.39789,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56425,1.7444153,-299.51727,110.14276,-163.51855,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56426,1.5871887,-296.57745,110.01401,-162.61206,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56427,1.3870239,-293.60498,109.79944,-161.6814,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56428,1.2727051,-290.60223,109.68509,-160.72931,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56429,1.1724548,-287.57147,109.556335,-159.75812,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56430,1.0581207,-284.51672,109.42761,-158.77057,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56431,0.97229004,-281.70923,109.384705,-157.8628,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56432,0.9008789,-279.1394,109.370605,-157.03174,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56433,0.8435364,-276.77814,109.370605,-156.26843,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56434,0.78656006,-274.6089,109.39911,-155.56702,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56435,0.6863098,-272.88806,109.52786,-155.0191,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56436,0.64338684,-271.57886,109.62775,-154.61255,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56437,0.60046387,-270.64752,109.81384,-154.33691,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56438,0.5719757,-270.08484,109.956665,-154.1886,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56439,0.51464844,-269.8911,110.28558,-154.16638,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56440,0.5005646,-270.06885,110.486084,-154.25677,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56441,0.47172546,-270.42603,110.671814,-154.40308,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56442,0.4432373,-270.9591,110.81497,-154.6134,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56443,0.4147339,-271.66724,110.94336,-154.88953,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56444,0.38623047,-272.5504,111.0007,-155.23224,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56445,0.38623047,-273.60822,111.04364,-155.64172,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56446,0.37182617,-274.84082,111.04364,-156.11816,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
56447,0.37182617,-276.2428,111.04364,-156.65942,-215.96875,76561199469944110,3jatt_,0,ak47,rifle,1177.090969060377,-0.014404297,0.07141113,0.0
