tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
42491,4.976471,396.35104,45.18094,-1578.0726,-210.14056,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42492,4.976471,398.95242,45.18094,-1578.7411,-211.44128,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42493,4.976471,401.63052,45.18094,-1579.3467,-212.78033,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42494,4.976471,404.38245,45.18094,-1579.896,-214.15625,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42495,4.976471,407.20605,45.18094,-1580.3951,-215.56812,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42496,4.976471,410.09982,45.18094,-1580.8492,-217.01495,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42497,4.976471,413.0627,45.18094,-1581.2632,-218.4964,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42498,4.976471,416.0941,45.18094,-1581.6407,-220.01208,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42499,4.976471,419.1935,45.18094,-1581.9858,-221.56183,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42500,4.976471,422.36087,45.18094,-1582.3015,-223.14551,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42501,4.976471,425.59305,45.18094,-1582.5906,-224.7616,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42502,4.976471,428.8849,45.18094,-1582.8549,-226.40747,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42503,4.976471,432.23145,45.18094,-1583.0968,-228.08081,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42504,4.976471,435.62827,45.18094,-1583.3181,-229.77917,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42505,4.976471,439.0713,45.18094,-1583.5205,-231.50073,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42506,4.8332977,442.55692,45.55275,-1583.7034,-233.24353,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42507,4.490326,446.08145,46.72519,-1583.8617,-235.0058,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42508,4.147003,449.64154,48.040802,-1583.9901,-236.78583,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42509,3.918335,453.23407,48.956116,-1584.086,-238.58209,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42510,3.546524,456.85574,50.01422,-1584.146,-240.39294,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42511,3.1173706,460.50378,51.043854,-1584.167,-242.21692,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42512,2.5169067,464.1754,52.016144,-1584.1471,-244.05273,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42513,1.8875885,467.86795,52.902954,-1584.0846,-245.89905,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42514,1.3156128,471.57913,53.703583,-1583.9786,-247.75464,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42515,0.51498413,475.3063,54.847534,-1583.8259,-249.61823,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42516,-0.48614502,479.04678,56.306305,-1583.6226,-251.48846,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42517,-1.4872742,482.78787,57.96524,-1583.364,-253.35901,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42518,-2.173584,486.52454,59.309357,-1583.0479,-255.2273,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42519,-2.7170563,490.2555,60.853607,-1582.6705,-257.09277,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42520,-3.03154,493.9797,61.940582,-1582.2316,-258.95496,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42521,-3.3175354,497.69583,63.256195,-1581.7286,-260.813,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42522,-3.546524,501.4026,64.54297,-1581.1606,-262.66638,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42523,-3.8036804,505.0986,65.71576,-1580.5266,-263.96875,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
42524,-4.061157,508.78265,66.80237,-1579.8264,-263.96875,76561199513616309,ExAt JAPA KONIU,0,usp_silencer,pistol,810.8350681663361,0.0,0.0,0.0
