tick,pitch,yaw,steamid,name,label,weapon_name,weapon_type
7427,8.408325,-132.05017,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7428,8.093842,-130.90588,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7429,7.92218,-129.96208,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7430,7.807846,-128.9328,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7431,7.750519,-127.96017,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7432,7.7220154,-127.24537,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7433,7.693512,-126.87355,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7434,7.693512,-126.84471,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7435,7.550354,-127.15954,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7436,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7437,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7438,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7439,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7440,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7441,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7442,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7443,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7444,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7445,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7446,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7447,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7448,7.436035,-127.817345,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7449,7.6361847,-126.98788,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7450,7.779358,-125.07179,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7451,8.12233,-121.83975,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7452,8.2369995,-117.69276,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7453,8.322479,-113.517265,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7454,8.379822,-110.34256,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7455,8.293991,-107.74017,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7456,8.12233,-106.367226,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7457,7.9795074,-106.10973,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7458,7.693512,-106.65321,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7459,7.4645233,-107.59701,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7460,7.292862,-109.055786,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7461,7.178528,-110.51422,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7462,7.1215515,-111.68667,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7463,7.1215515,-111.7725,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7464,7.1215515,-112.28748,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7465,7.1215515,-111.915665,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7466,7.1500397,-111.02886,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7467,7.1500397,-110.05657,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7468,7.207367,-108.22632,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7469,7.292862,-107.167854,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7470,7.3786926,-106.45306,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7471,7.436035,-106.2529,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7472,7.436035,-106.30989,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7473,7.436035,-106.65321,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7474,7.3786926,-107.31102,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7475,7.321701,-108.08315,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7476,7.292862,-108.94112,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7477,7.264374,-109.57043,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7478,7.2358704,-110.028076,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7479,7.207367,-110.19974,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7480,7.207367,-110.19974,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7481,7.207367,-110.11391,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7482,7.207367,-109.57043,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7483,7.2358704,-108.855286,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7484,7.3786926,-107.65434,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7485,7.6076965,-106.08124,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7486,7.836334,-104.07932,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7487,8.036499,-101.84841,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7488,8.20816,-99.64634,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7489,8.322479,-97.701416,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7490,8.351318,-95.6995,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7491,8.351318,-93.954735,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7492,8.20816,-92.524796,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7493,7.9795074,-91.552505,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7494,7.807846,-91.12335,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7495,7.7220154,-91.12335,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7496,7.550354,-91.35235,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7497,7.292862,-92.00981,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7498,6.9783783,-93.09677,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7499,6.692383,-95.041695,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7500,6.5495605,-97.18643,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7501,6.463745,-100.189476,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7502,6.4064026,-102.59205,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7503,6.34906,-104.50813,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7504,6.320572,-105.56625,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7505,6.320572,-105.70942,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7506,6.2920837,-105.3661,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7507,6.2635803,-104.679794,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7508,6.1777496,-102.84954,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7509,5.977249,-100.79029,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7510,5.7770996,-98.87386,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7511,5.462616,-96.557465,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7512,5.2339478,-94.61254,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7513,5.1481323,-93.55442,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7514,5.119293,-93.411255,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7515,5.004959,-93.75458,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7516,4.7189636,-94.8127,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7517,4.375992,-96.528625,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7518,4.004181,-99.27452,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7519,3.6893463,-102.90653,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7520,3.4891968,-106.51005,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7521,3.3463745,-109.54159,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7522,3.060379,-112.6878,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7523,2.7740479,-114.51805,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7524,2.6312256,-115.51918,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7525,2.6027222,-115.97683,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7526,2.573883,-116.20548,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7527,2.573883,-116.20548,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7528,2.573883,-116.20548,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7529,2.573883,-116.17699,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7530,2.573883,-116.17699,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7531,2.545395,-116.20548,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7532,2.4595642,-116.29131,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7533,2.173584,-116.548805,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7534,1.7732544,-116.72047,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7535,1.4014435,-116.72047,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7536,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7537,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7538,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7539,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7540,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7541,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7542,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7543,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7544,1.3729553,-116.66313,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7545,1.3729553,-116.634636,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7546,1.201294,-116.40564,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7547,1.0581207,-116.462975,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7548,1.0581207,-116.92062,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7549,1.0581207,-118.20774,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7550,1.0869598,-120.0095,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7551,1.0581207,-122.06875,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7552,1.0581207,-123.98483,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
7553,1.0581207,-126.87355,76561199513616309,ExAt JAPA KONIU,0,ak47,rifle
