tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
14679,2.442047,564.26355,47.633286,216.23282,0.46348786,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14680,2.442047,567.356,47.633286,217.60876,0.37520432,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14681,2.442047,570.4054,47.633286,219.1009,0.21364307,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14682,2.442047,573.4153,47.633286,220.69981,0.054165125,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14683,2.442047,576.38885,47.633286,222.39697,-0.103393555,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14684,2.442047,579.3288,47.633286,224.1843,-0.25915527,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14685,2.442047,582.2378,47.633286,226.05461,-0.42279053,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14686,2.442047,585.1185,47.633286,228.00119,-0.6065674,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14687,2.442047,587.9732,47.633286,230.01776,-0.73272705,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14688,2.442047,590.80414,47.633286,232.09848,-0.62597656,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14689,2.442047,593.6131,47.633286,234.23842,-0.5219116,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14690,2.442047,596.40186,47.633286,236.43263,-0.41522217,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14691,2.442047,599.1722,47.633286,238.67665,-0.30615234,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14692,2.442047,601.9236,48.10742,240.96814,-0.19476318,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14693,2.370636,604.65265,49.15042,243.30634,-0.08105469,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14694,2.275879,607.3333,49.93286,245.6823,0.034439325,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14695,2.1574402,609.7688,51.16574,248.1705,0.14835691,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14696,2.0390015,611.91876,52.51706,250.78412,0.25510645,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14697,1.9438934,613.8491,53.39424,253.49083,0.36718893,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14698,1.8017578,615.56964,54.887695,256.28195,0.48414612,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14699,1.6833191,617.09174,55.93106,259.14966,0.60558486,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14700,1.5408325,618.42444,57.30606,262.0863,0.7311001,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14701,1.4460754,619.5767,58.515244,265.08475,0.8603296,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14702,1.375,620.55945,59.202576,268.13882,0.9929371,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14703,1.3039398,621.486,60.056076,271.2217,1.1271381,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14704,1.2565613,622.48785,60.577576,274.32233,1.1570377,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14705,1.1854858,623.5727,61.383698,277.44592,1.1514568,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14706,1.0667114,624.7137,62.11876,280.5889,1.1455822,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14707,0.97195435,625.9038,62.64026,283.75067,1.1394596,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14708,0.82980347,627.1688,63.256866,286.876,1.1329556,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14709,0.7587433,628.62006,63.683624,289.84888,1.1254897,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14710,0.6399536,630.2855,64.48941,292.6501,1.1169219,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14711,0.5215149,632.1046,65.60382,295.3322,1.1075644,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14712,0.45043945,634.0633,66.48102,297.9093,1.0974898,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14713,0.4267578,636.1472,67.97447,300.3974,1.0867667,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14714,0.4267578,638.344,68.92273,302.80853,1.0754676,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14715,0.45043945,640.6415,70.22667,305.15518,1.0630202,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14716,0.5215149,643.02844,71.6494,307.4495,1.0494933,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14717,0.5925751,645.4861,72.858246,307.91272,1.036602,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14718,0.66363525,648.0397,75.015686,307.79352,1.0235248,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14719,0.7587433,650.7057,76.81778,307.5986,1.0099177,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14720,0.94825745,653.4591,80.06561,307.3661,0.99587584,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14721,1.1381226,656.29474,82.388885,307.11142,0.9814296,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14722,1.3513184,659.20807,85.897644,306.85538,0.9665818,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14723,1.493454,662.19354,89.453766,306.61713,0.9513526,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14724,1.5648651,665.2453,91.44537,306.40622,0.9357686,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
14725,1.5171509,668.35706,93.83972,306.23334,0.91985273,76561199850561979,HosenPiesler,0,deagle,pistol,1043.1860372484757,0.04737854,-0.04737854,0.8821309
