tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
61635,14.147308,16.87294,76561198822643426,1,0.0,0.0,0.0,0.0,0.0,0.0,56.589232,67.49176,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61636,14.147308,16.87294,76561198822643426,1,0.0,0.0,0.0,0.0,0.0,0.0,70.73654,84.3647,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61637,14.114685,16.840332,76561198822643426,1,-0.03262300000000096,-0.03260799999999975,-0.03262300000000096,-0.03260799999999975,-0.03262300000000096,-0.03260799999999975,84.851225,101.205032,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61638,13.820465,15.663071,76561198822643426,1,-0.29421999999999926,-1.1772609999999997,-0.2615969999999983,-1.144653,-0.22897399999999735,-1.1120450000000002,98.67169,116.868103,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61639,13.460663,13.635742,76561198822643426,1,-0.3598020000000002,-2.027329,-0.06558200000000092,-0.8500680000000003,0.19601499999999739,0.29458499999999965,112.132353,130.503845,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61640,13.329849,11.57547,76561198822643426,1,-0.13081400000000087,-2.060272000000001,0.2289879999999993,-0.03294300000000128,0.2945700000000002,0.817124999999999,125.46220199999999,142.079315,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61641,13.362457,9.057541,76561198822643426,1,0.03260799999999975,-2.5179289999999988,0.16342200000000062,-0.45765699999999754,-0.06556599999999868,-0.42471399999999626,138.824659,151.13685600000002,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61642,12.806625,6.1798096,76561198822643426,1,-0.5558319999999988,-2.877731400000001,-0.5884399999999985,-0.3598024000000022,-0.7518619999999991,0.09785459999999535,151.631284,157.31666560000002,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61643,11.694611,2.8114624,76561198822643426,1,-1.1120140000000003,-3.3683471999999997,-0.5561820000000015,-0.4906157999999987,0.03225799999999701,-0.13081339999999653,163.325895,160.12812800000003,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61644,10.975342,0.09750366,76561198822643426,1,-0.7192690000000006,-2.71395874,0.3927449999999997,0.6543884599999998,0.9489270000000012,1.1450042599999986,174.30123700000001,160.22563166000003,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61645,10.092316,-3.5976868,76561198822643426,1,-0.8830259999999992,-3.69519046,-0.1637569999999986,-0.9812317200000003,-0.5565019999999983,-1.63562018,184.39355300000003,156.62794486000004,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61646,9.274872,-6.8678284,76561198822643426,1,-0.8174440000000001,-3.2701415999999996,0.06558199999999914,0.4250488600000004,0.22933899999999774,1.4062805800000007,193.668425,149.76011646000003,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61647,8.359222,-10.465164,76561198822643426,1,-0.9156499999999994,-3.5973356,-0.09820599999999935,-0.32719400000000043,-0.1637879999999985,-0.7522428600000008,202.027647,139.29495246000005,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61648,7.5091553,-13.212097,76561198822643426,1,-0.8500667000000011,-2.7469330000000003,0.06558329999999835,0.8504025999999998,0.1637892999999977,1.1775966000000002,209.5368023,126.08285546000005,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
61649,6.7569275,-15.53363,76561198822643426,1,-0.7522278,-2.3215330000000005,0.09783890000000106,0.4253999999999998,0.032255600000002715,-0.4250026,216.2937298,110.54922546000005,-1.9666836926833333,8.992086988320656,-18.455658,14.147308,32.602966,-46.79498498546668,42.61684161585758,-107.26021,16.87294,124.13315
