tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range
47511,10.4236145,-166.87546,76561199038314474,1,-0.03948950000000018,0.0,0.07930050000000044,-0.03949000000000069,0.03947550000000177,-0.03951000000000704,42.2091215,-667.62029,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47512,10.4236145,-166.87546,76561199038314474,1,0.0,0.0,0.03948950000000018,0.0,-0.03981100000000026,0.03949000000000069,52.632736,-834.4957499999999,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47513,10.38414,-166.87546,76561199038314474,1,-0.03947449999999897,0.0,-0.03947449999999897,0.0,-0.07896399999999915,0.0,63.016876,-1001.3712099999999,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47514,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.03947449999999897,0.0,0.07894899999999794,0.0,73.401016,-1168.24667,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47515,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.0,0.0,-0.03947449999999897,0.0,83.785156,-1335.12213,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47516,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,94.169296,-1501.99759,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47517,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,104.553436,-1668.87305,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47518,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,114.937576,-1835.74851,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47519,10.38414,-166.87546,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,125.32171600000001,-2002.6239699999999,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47520,10.106735,-166.67737,76561199038314474,1,-0.2774049999999999,0.19809000000000765,-0.2774049999999999,0.19809000000000765,-0.2774049999999999,0.19809000000000765,135.428451,-2169.30134,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47521,9.869156,-166.43979,76561199038314474,1,-0.2375790000000002,0.23758000000000834,0.039825999999999695,0.03949000000000069,0.3172309999999996,-0.15860000000000696,145.297607,-2335.74113,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47522,9.552277,-166.0834,76561199038314474,1,-0.31687900000000013,0.3563899999999762,-0.07929999999999993,0.11880999999996789,-0.11912599999999962,0.0793199999999672,154.849884,-2501.82453,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47523,9.156418,-165.64774,76561199038314474,1,-0.39585899999999974,0.4356600000000128,-0.0789799999999996,0.07927000000003659,0.00032000000000032003,-0.0395399999999313,164.006302,-2667.4722699999998,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47524,8.998138,-165.41016,76561199038314474,1,-0.15827999999999953,0.23758000000000834,0.2375790000000002,-0.19808000000000447,0.3165589999999998,-0.27735000000004106,173.00444000000002,-2832.8824299999997,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47525,8.760559,-165.05379,76561199038314474,1,-0.2375790000000002,0.3563699999999983,-0.07929900000000067,0.11878999999998996,-0.3168780000000009,0.31686999999999443,181.76499900000002,-2997.9362199999996,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47526,8.601959,-164.89517,76561199038314474,1,-0.15859999999999985,0.15861999999998488,0.07897900000000035,-0.19775000000001342,0.15827800000000103,-0.3165400000000034,190.366958,-3162.8313899999994,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47527,8.483154,-164.73691,76561199038314474,1,-0.11880500000000005,0.15826000000001272,0.0397949999999998,-0.00035999999997216037,-0.03918400000000055,0.19739000000004125,198.85011200000002,-3327.5682999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47528,8.403854,-164.6576,76561199038314474,1,-0.07929999999999993,0.07930999999999244,0.03950500000000012,-0.07895000000002028,-0.0002899999999996794,-0.07859000000004812,207.25396600000002,-3492.2258999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47529,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.07929999999999993,-0.07930999999999244,0.0397949999999998,-0.00035999999997216037,215.65782000000002,-3656.8834999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47530,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,-0.07929999999999993,0.07930999999999244,224.061674,-3821.5410999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47531,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,232.465528,-3986.1986999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47532,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,240.869382,-4150.8562999999995,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47533,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,249.273236,-4315.5139,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47534,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,257.67709,-4480.1715,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
47535,8.403854,-164.6576,76561199038314474,1,0.0,0.0,0.0,0.0,0.0,0.0,266.08094400000004,-4644.829100000001,1.9437431975333341,8.358827957877097,-13.080261,12.759933,25.840194,70.64170905666666,122.86939477549474,-177.56721,179.7796,357.34681
