tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
32570,2.1004486,-153.12683,-67.349625,390.1522,39.75,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,0.0,6.14273,0.0,44.964645000000004,0.0,90.00036700000001,0.38657529363915083,0.0,1.4714144,4.954407667312509,0.23916846162711802,21.004486,-518.077462,6.14273,1.0,0.0,1,5.0,11.545001331431353,0.0,-51.8077462,2.1004486,0,1,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32571,2.1004486,-148.7655,-61.2426,389.36984,37.296875,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,0.0,6.107025,0.0,-0.0357050000000001,0.0,-45.000350000000005,0.38657529363915083,0.0,1.4714144,5.06469237013711,0.2733933438443082,23.1049346,-579.320062,6.107025,-1.0,0.0,1,6.0,11.92446506347102,0.0,-52.581698700000004,2.1004486,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32572,2.1004486,-144.3216,-55.169907,389.04892,34.640625,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,0.0,6.072693000000001,0.0,-0.03433199999999914,0.0,0.0013730000000009568,0.38657529363915083,0.0,1.4714144,5.187186223657304,0.29261674857216957,25.2053832,-634.489969,6.072693000000001,-1.0,0.0,0,6.0,11.78200848944495,0.0,-53.3929017,2.1004486,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32573,2.1004486,-139.91125,-49.130524,388.26044,31.796875,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,0.0,6.039383000000001,0.0,-0.03331000000000017,0.0,0.0010219999999989682,0.38657529363915083,0.0,1.4714144,5.306580998665707,0.30973676448395465,27.3058318,-683.620493,6.039383000000001,-1.0,0.0,0,6.0,11.85855467668413,0.0,-52.9596978,2.1004486,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32574,1.9243164,-135.41833,-55.13626,387.93338,28.75,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.17613220000000007,-6.005735999999999,-0.17613220000000007,-12.045119,-0.17613220000000007,-12.011809,0.38657529363915083,0.0,1.4714144,5.438450664998718,0.3269168586773392,29.2301482,-738.756753,6.008318188442821,-1.0,-1.0,0,5.0,11.688267897333246,0.055697892129630944,-53.7635536,2.0828353799999997,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32575,1.5284729,-130.95947,-49.163483,387.13882,25.5,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.3958435,5.972777000000001,-0.21971129999999994,11.978513,-0.04357909999999987,24.023632,0.38657529363915083,0.0,1.4714144,5.574518642286513,0.3434540134719217,30.7586211,-787.920236,5.985879815718092,1.0,-1.0,1,5.0,11.779316105796866,0.183246103570244,-53.3374909,2.02563781,0,1,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32576,1.22052,-126.41846,-55.10399,386.80576,22.0625,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.30795289999999986,-5.940507000000004,0.08789060000000015,-11.913284000000004,0.3076019000000001,-23.891797000000004,0.38657529363915083,0.0,1.4714144,5.705094831262677,0.35831498336738676,31.9791411,-843.024226,5.948483706430358,-1.0,1.0,1,5.0,11.581001146582453,0.3104482082108715,-54.1343431,1.93764495,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32577,1.0004425,-121.91193,-49.194717,386.00522,18.4375,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.22007750000000015,5.909273000000006,0.08787539999999971,11.84978000000001,-1.5200000000437086e-05,23.763064000000014,0.38657529363915083,0.0,1.4714144,5.838690087040072,0.37190447552172745,32.9795836,-892.218943,5.913369724153506,1.0,1.0,1,5.0,10.796114302021266,0.42140569943688666,-54.9653901,1.8276443399999998,1,1,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32578,0.60424805,-117.323364,-55.07309,385.6662,14.609375,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.39619444999999986,-5.878373000000003,-0.17611694999999972,-11.78764600000001,-0.26399234999999943,-23.63742600000002,0.38657529363915083,0.0,1.4714144,5.985349907263651,0.3851552728762209,33.58383165,-947.292033,5.891709358865205,-1.0,-1.0,1,6.0,8.134320590392111,0.5574405380537224,-57.0056551,1.678024285,0,0,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32579,0.120513916,-112.76929,-49.225616,384.85968,10.59375,1,300.8812275162139,-0.07072449,-0.38005066,1.4714144,-0.48373413400000004,5.847473999999998,-0.08753968400000017,11.725847000000002,0.08857726599999954,23.51349300000001,0.38657529363915083,0.0,1.4714144,6.124974175333392,0.39601662703310747,33.704345566,-996.5176489999999,5.867448414180794,1.0,-1.0,1,7.0,6.012346702512808,0.7189530732282642,-54.5789812,1.4800308166,0,1,0.8064277612866667,1.6105524618779927,-3.3116913,4.5205383,7.8322296,-0.05827036061127176,-0.584009455175226,-96.2846556258,41.26709706436594,-152.05249,24.789963,176.842453,1.064560318440991,0.8002957695247805,-0.009133074247491636,0.20178101940145898,-1.0560608,1.1439514000000002,2.2000122,1.3895308658218146,12.648778169879877,-0.3176516220735786,5.889633442624429,-39.34787,17.687988,57.035858000000005,-1.859266072918485,12.540245010863657,3.2596969971048093,4.916151090270869,0.0,39.34826413877224,39.34826413877224,3.2826713797522054,18.226916394502584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
