tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
51455,18.90918,465.20645,-107.595634,2036.1335,139.35938,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,-0.03295900000000174,-0.19809399999999755,-3.552713678800501e-15,0.03296600000000183,0.03295899999999463,0.09923200000000065,0.2789811668265734,0.0,0.31550303,5.602344745229492,0.33923148423338695,189.65210299999998,-1068.0355510000002,0.20081715194922753,1.0,-1.0,1,4.0,0.4646434538143615,0.022245629513581652,-106.8035551,18.9652103,0,1,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51456,18.842926,464.17496,-107.79373,2032.3657,135.14062,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,-0.0662540000000007,-0.1980959999999925,-0.033294999999998964,-1.9999999949504854e-06,-0.03329499999999541,-0.03296799999999678,0.2789811668265734,0.0,0.31550303,5.749628196474856,0.3814925697420061,208.495029,-1175.8292810000003,0.2088818271942227,-1.0,-1.0,1,5.0,0.5225837052038018,0.04417459293517955,-106.9520761,18.9519931,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51457,18.777008,463.14346,-107.991486,2028.5979,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,-0.06591799999999992,-0.19775599999999827,0.0003360000000007801,0.0003399999999942338,0.033630999999999744,0.0003419999999891843,0.2789811668265734,0.0,0.31550303,4.697778292650756,0.37013022486715597,227.27203699999998,-1283.8207670000002,0.2084529161705331,1.0,1.0,1,6.0,0.5669741247652575,0.06970137568935596,-107.11707670000001,18.932184099999997,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51458,18.74405,462.37735,-108.156624,2025.7994,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,-0.032957999999997156,-0.1651379999999989,0.032960000000002765,0.03261799999999937,0.032624000000001985,0.032278000000005136,0.2789811668265734,0.0,0.31550303,2.9014697623961805,0.8049472552987708,246.01608699999997,-1391.9773910000001,0.16839474103427177,1.0,1.0,0,6.0,0.5873347573352212,0.08940485625394441,-107.2952956,18.9090793,1,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51459,18.71109,461.57974,-108.2555,2022.9438,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,-0.032960000000002765,-0.09887600000000418,-2.0000000056086265e-06,0.06626199999999471,-0.032962000000008373,0.033643999999995344,0.2789811668265734,0.0,0.31550303,2.9649001791123566,1.029210727474594,264.727177,-1500.232891,0.10422487695363813,1.0,-1.0,0,5.0,0.5806187416142797,0.10530924126088773,-107.47348,18.8826785,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51460,18.71109,460.7509,-108.32142,2020.0304,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,-0.06592000000000553,0.032960000000002765,0.03295599999999865,0.032962000000008373,-0.03330599999999606,0.2789811668265734,0.0,0.31550303,3.0290056628536535,1.1672363007080535,283.438267,-1608.554311,0.06592000000000553,1.0,1.0,0,5.0,0.5482514766696098,0.11241863902400873,-107.645073,18.8562777,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51461,18.71109,459.89145,-108.32142,2017.0583,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.06592000000000553,-0.032960000000002765,0.03296400000000688,0.2789811668265734,0.0,0.31550303,3.093870183524359,1.2436060201535106,302.149357,-1716.875731,0.0,1.0,0.0,0,5.0,0.4896162756898499,0.11241428128573344,-107.800152,18.8298769,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51462,18.71109,459.0019,-108.32142,2014.0267,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.0,0.0,-0.06592000000000553,0.2789811668265734,0.0,0.31550303,3.159414148619999,1.2656030422854343,320.860447,-1825.197151,0.0,0.0,0.0,1,6.0,0.4239391293276703,0.1052952848226198,-107.93212539999999,18.8034761,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51463,18.71109,458.08292,-108.35472,2010.9348,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,-0.033299999999997,0.0,-0.033299999999997,0.0,-0.033299999999997,0.2789811668265734,0.0,0.31550303,3.225580544708086,1.2302726256015248,339.57153700000003,-1933.5518710000001,0.033299999999997,-1.0,0.0,1,6.0,0.34459337647981964,0.08937745524838116,-108.05094940000001,18.7770753,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51464,18.71109,457.1348,-108.35472,2007.7817,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.033299999999997,0.0,0.066599999999994,0.2789811668265734,0.0,0.31550303,3.292563005380459,1.1275868311850143,358.28262700000005,-2041.9065910000002,0.0,1.0,0.0,1,6.0,0.2671692626614985,0.06965361622452881,-108.1466674,18.7539704,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51465,18.71109,456.15826,-108.35472,2004.5667,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.0,0.0,-0.033299999999997,0.2789811668265734,0.0,0.31550303,3.360038001511214,0.928456325232881,376.99371700000006,-2150.261311,0.0,0.0,0.0,1,6.0,0.18986593372732663,0.044082473514469,-108.222576,18.734161399999998,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51466,18.71109,455.15555,-108.35472,2001.2942,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.0,0.0,0.0,0.2789811668265734,0.0,0.31550303,3.4226719962772063,0.5145301272915498,395.7048070000001,-2258.616031,0.0,0.0,0.0,0,5.0,0.1185672908433123,0.02224574475061276,-108.27867499999999,18.7209778,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51467,18.71109,454.12863,-108.35472,1997.9688,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.0,0.0,0.0,0.2789811668265734,0.0,0.31550303,3.4803519716258116,0.19693897470298424,414.4158970000001,-2366.970751,0.0,0.0,0.0,0,4.0,0.06380112202921016,0.010422867167835007,-108.3149984,18.714385999999998,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51468,18.71109,453.07928,-108.35472,1994.5948,132.53125,1,484.8179988440779,0.27877808,-0.010643005,0.31550303,0.0,0.0,0.0,0.0,0.0,0.0,0.2789811668265734,0.0,0.31550303,3.5334135651661507,0.19437588487476637,433.1269870000001,-2475.3254709999997,0.0,0.0,0.0,0,4.0,0.03198333065704078,0.0,-108.334808,18.71109,0,0,12.283565512638331,7.587809583196303,-0.4888916,18.975098,19.463989599999998,-0.7140723985531151,-1.361009081941351,-113.71778276666667,16.846680787118146,-164.85054,-100.888824,63.961715999999996,-2.1431634319377824,3.24964870229793,-0.06416458705685618,0.19541295067742823,-0.956847999999999,0.49508699999999806,1.451934999999997,-2.618280793415647,9.394876637406261,0.018090468227424775,1.0402795519901595,-4.78488999999999,3.4981300000000033,8.283019999999993,-1.4214836119774539,7.935235315848772,0.4760249251610169,0.9473473015006089,0.0,4.79046505992935,4.79046505992935,2.6668408019310594,6.38738269007772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
