tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
19826,-9.454422,1176.5582,-123.691635,2037.8779,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.01647950000000087,0.03295899999999108,-0.032958999999998184,-0.04978200000000754,-0.016128499999997103,-0.033647999999999456,0.19248327101168922,0.0,0.19868974,0.6422569034273566,0.7677258843060927,-97.679459,-1242.4939689999997,0.0368492822352002,-1.0,-1.0,0,3.0,0.4864693956360774,0.26182544678858993,-124.24939690000001,-9.767945899999999,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19827,-9.4379425,1176.4086,-123.691635,2038.092,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.016479499999999092,0.0,-1.7763568394002505e-15,-0.03295899999999108,0.03295899999999641,0.016823000000016464,0.19248327101168922,0.0,0.19868974,0.26118761456097206,0.9072497652606674,-107.1174015,-1366.1856039999996,0.016479499999999092,-1.0,-1.0,0,3.0,0.42497593636453573,0.24629356143885228,-124.1140934,-9.6986298,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19828,-9.4379425,1176.5573,-123.691635,2038.0627,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.0,0.0,-0.016479499999999092,0.0,-0.016479499999997316,0.03295899999999108,0.19248327101168922,0.0,0.19868974,0.15155916336532593,0.9853980893214416,-116.555344,-1489.8772389999995,0.0,0.0,-1.0,1,4.0,0.3505162413775019,0.21370179652510846,-123.9969519,-9.632643149999998,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19829,-9.4379425,1176.8464,-123.691635,2037.8931,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.0,0.0,0.0,0.0,0.016479499999999092,0.0,0.19248327101168922,0.0,0.19868974,0.33517602837905897,0.9531171931172789,-125.99328650000001,-1613.5688739999994,0.0,0.0,0.0,0,4.0,0.2753625481736566,0.17290532085190657,-123.9012334,-9.574896299999999,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19830,-9.4379425,1177.2883,-123.691635,2037.6146,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.0,0.0,0.0,0.0,0.0,0.0,0.19248327101168922,0.0,0.19868974,0.5223388363887658,0.8589220643395584,-135.431229,-1737.2605089999993,0.0,0.0,0.0,0,3.0,0.2018788851461597,0.12250384442041638,-123.82532489999998,-9.525389149999999,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19831,-9.4379425,1177.8848,-123.691635,2037.2301,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.0,0.0,0.0,0.0,0.0,0.0,0.19248327101168922,0.0,0.19868974,0.7096847891847586,0.7289897108669248,-144.8691715,-1860.9521439999992,0.0,0.0,0.0,0,3.0,0.1376841773781628,0.08409219306505239,-123.76922590000001,-9.490747099999998,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19832,-9.421463,1178.6361,-123.691635,2036.7405,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.01647950000000087,0.0,0.01647950000000087,0.0,0.01647950000000087,0.0,0.19248327101168922,0.0,0.19868974,0.8967496027318529,0.5801361144850531,-154.29063449999998,-1984.643778999999,0.01647950000000087,0.0,1.0,0,3.0,0.07251154883512792,0.05115304411177629,-123.7279584,-9.4643448,1,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19833,-9.4049835,1179.4607,-123.724594,2036.201,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.016479499999999092,-0.03295899999999108,-1.7763568394002505e-15,-0.03295899999999108,-0.016479500000002645,-0.03295899999999108,0.19248327101168922,0.0,0.19868974,0.9854062157305162,0.42056173653237605,-163.69561799999997,-2108.368372999999,0.0368492822351994,-1.0,-1.0,1,3.0,0.036909155096480344,0.031315868196559044,-123.7097968,-9.44618225,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19834,-9.372025,1180.4192,-123.7579,2035.5709,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.03295849999999945,-0.03330600000001027,0.016479000000000354,-0.00034700000001919307,0.01647900000000213,0.032611999999971886,0.19248327101168922,0.0,0.19868974,1.1470607045836876,0.34639247356723935,-173.06764299999998,-2232.126272999999,0.046856721590937706,-1.0,1.0,0,2.0,0.023133446296377716,0.02713412023457501,-123.70485330000001,-9.43135075,0,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19835,-9.339066,1181.5715,-123.790855,2034.8102,-191.96875,1,418.3123047934159,0.16514587,-0.09887695,0.19868974,0.03295899999999996,-0.03295499999998697,5.000000005139782e-07,0.0003510000000233049,-0.01647849999999984,0.000698000000042498,0.19248327101168922,0.0,0.19868974,1.3807460954136324,0.4006624944139276,-182.40670899999998,-2355.917127999999,0.046608236460942594,1.0,1.0,1,3.0,0.0355652017696193,0.036271350308956486,-123.7114794,-9.4181672,1,0,-10.307467297,5.885832055316348,-21.614914,-2.9536133,18.661300699999998,-0.8153685059401872,-0.4921245082916612,-59.61028011,107.9498735459313,-176.68968,179.48227,356.17195000000004,1.4357133908596358,0.2654386930358239,0.02168789364548495,0.24630887243742916,-1.2211919999999985,0.957183999999998,2.1783759999999965,-1.28185277254806,9.876297600879603,0.18872876254180598,28.973650945726774,-352.21207000000004,354.02687000000003,706.2389400000001,0.07457465863295495,148.06206947850848,3.099617914003548,28.80849624006283,0.0,354.0283953472757,354.0283953472757,12.117973260426385,146.2044788410301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
