tick,pitch,X,yaw,Y,Z,steamid,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
18209,3.5750122,-196.32123,-129.67712,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.19259640000000022,-0.9348699999999894,-0.054931699999999584,0.357734000000022,0.16481010000000085,-0.7144679999999681,0.027801514,0.0,1.6922963,0.09072055665617432,0.2781444322124646,24.007202200000002,-1238.197282,0.9545026402231376,1.0,-1.0,0,3.0,3.6521080703910584,0.7379037586192569,-123.81972820000001,2.40072022,0,1,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18210,3.8225555,-196.32123,-130.77713,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.2475432999999998,-1.1000099999999975,0.05494689999999958,-0.16514000000000806,0.10987859999999916,-0.52287400000003,0.027801514,0.0,1.6922963,0.0,0.30571920318381407,27.829757700000002,-1368.974412,1.127519261686861,-1.0,1.0,1,4.0,4.03201458329386,0.8123294687988808,-124.85371319999999,2.6152282700000002,0,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18211,4.345093,-196.32123,-133.38982,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.5225375000000003,-2.6126899999999864,0.2749942000000005,-1.512679999999989,0.22004730000000094,-1.3475399999999809,0.027801514,0.0,1.6922963,0.0,0.28900084535782466,32.1748507,-1502.364232,2.664431360535711,-1.0,1.0,0,4.0,4.507988985553345,0.9031023506792529,-126.14896720000002,2.88199007,0,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18212,5.2250366,-196.32123,-138.25711,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.8799435999999998,-4.867290000000025,0.3574060999999995,-2.254600000000039,0.08241189999999898,-0.7419200000000501,0.027801514,0.0,1.6922963,0.0,0.26184994647092125,37.3998873,-1640.621342,4.946191735394131,-1.0,1.0,0,4.0,5.452488647117388,1.0734330898437854,-127.91447120000002,3.22850649,1,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18213,5.80249,-196.32123,-141.85959,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.5774533999999996,-3.6024799999999857,-0.30249020000000026,1.2648100000000397,-0.6598962999999998,3.5194100000000788,0.027801514,0.0,1.6922963,0.0,0.22742810395531673,43.2023773,-1782.480932,3.6484674288763297,1.0,-1.0,1,5.0,6.428753361234037,1.2294549197757596,-129.9934622,3.62174682,0,1,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18214,6.3525085,-196.32123,-145.51735,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.5500185000000002,-3.657759999999996,-0.027434899999999374,-0.05528000000001043,0.2750553000000009,-1.3200900000000502,0.027801514,0.0,1.6922963,0.0,0.1882553180287088,49.5548858,-1927.998282,3.6988820700236205,-1.0,-1.0,1,5.0,7.319255480530005,1.3473692247554316,-132.39970820000002,4.06174926,0,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18215,6.6000366,-196.32123,-147.24976,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.24752810000000025,-1.7324100000000158,-0.30249039999999994,1.9253499999999804,-0.27505550000000056,1.9806299999999908,0.027801514,0.0,1.6922963,0.0,0.14656368054888208,56.154922400000004,-2075.248042,1.7500041623920968,1.0,-1.0,1,5.0,7.8963556745196435,1.4091734052034783,-134.8004616,4.49076537,0,1,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18216,7.0398254,-196.32123,-150.43958,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.43978879999999965,-3.1898199999999974,0.1922606999999994,-1.4574099999999817,0.49475109999999933,-3.382759999999962,0.027801514,0.0,1.6922963,0.0,0.10448705598467688,63.1947478,-2225.6876220000004,3.2199946926983314,-1.0,1.0,1,6.0,8.479218606915373,1.4580865398106073,-137.3359356,4.92798613,1,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18217,7.4525146,-196.32123,-153.18958,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.4126892,-2.75,-0.02709959999999967,0.43981999999999744,-0.21936029999999906,1.897229999999979,0.027801514,0.0,1.6922963,0.0,0.06427557668493063,70.6472624,-2378.8772020000006,2.7807934795300135,1.0,-1.0,1,7.0,9.033390111315333,1.5065781327086722,-139.909929,5.35974882,0,1,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18218,7.947571,-196.32123,-156.43466,2140.8682,-126.45325,76561199787117228,1,705.2647195760534,0.027801514,0.0,1.6922963,0.4950564000000002,-3.2450800000000015,0.0823672000000002,-0.4950800000000015,0.10946679999999986,-0.934899999999999,0.027801514,0.0,1.6922963,0.0,0.028688358963187287,78.5948334,-2535.3118620000005,3.282624718968187,-1.0,1.0,1,7.0,9.463860824463865,1.5322790793423617,-142.67917,5.81626434,1,0,1.017298937733333,2.3897195919140444,-1.2098694,8.717651,9.9275204,1.9793490756062055,3.3535489153750215,-111.60263451333333,15.805536725659362,-160.69736,-90.29732,70.40004,-1.5794514075715438,2.484171154812334,-0.0059777200000000015,0.15968052475510933,-0.9352111000000001,0.8799435999999998,1.8151547,0.40604718005859775,11.603860597365038,0.10080254180602008,0.9314272900658771,-4.867290000000025,5.967649999999992,10.834940000000017,0.19000690695432793,12.01663918809807,0.4352130559694968,0.8445352334296956,0.0,6.040485603332162,6.040485603332162,3.2273079244625382,12.229713552519422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
