tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
27314,2.7973938,-684.44617,-107.932434,1061.5873,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.45112600000000214,0.0,-3.999999989900971e-06,0.0,-1.3999999978864253e-05,0.13561249,0.0,0.0,3.9062386776668303,5.222546202914386e-05,28.108886700000006,-1094.348144,0.45112600000000214,-1.0,0.0,1,5.0,0.8146469911141736,0.02172880503453871,-109.43481440000001,2.8108886699999998,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27315,2.7973938,-685.75903,-107.52628,1057.9083,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.4061540000000008,0.0,-0.044972000000001344,0.0,-0.04496800000001144,0.13561249,0.0,0.0,3.906231224543546,5.087428291569333e-05,30.90628050000001,-1201.874424,0.4061540000000008,-1.0,0.0,0,5.0,0.9571256145739683,0.018966455967944905,-109.1641044,2.8063903800000003,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27316,2.7973938,-687.0588,-107.16545,1054.2246,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.3608299999999929,0.0,-0.045324000000007914,0.0,-0.0003520000000065693,0.13561249,0.0,0.0,3.9062831109508998,5.108967242425187e-05,33.70367430000001,-1309.039874,0.3608299999999929,-1.0,0.0,0,5.0,1.0685604912399322,0.01422484197595854,-108.8618084,2.80189209,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27317,2.7973938,-688.3454,-106.98486,1050.5364,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.18059000000000935,0.0,-0.18023999999998352,0.0,-0.1349159999999756,0.13561249,0.0,0.0,3.906169325566985,5.9850298000472454e-05,36.50106810000001,-1416.024734,0.18059000000000935,-1.0,0.0,0,5.0,1.1135630898369213,0.0,-108.54598539999999,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27318,2.7973938,-689.6201,-106.93989,1046.844,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.04496999999999218,0.0,-0.13562000000001717,0.0,0.04461999999996635,0.13561249,0.0,0.0,3.9062357647739536,4.402870600519839e-05,39.298461900000014,-1522.9646240000002,0.04496999999999218,-1.0,0.0,0,5.0,1.088401855070002,0.0,-108.23919240000001,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27319,2.7973938,-690.8836,-106.93989,1043.1477,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.0,0.0,-0.04496999999999218,0.0,0.09065000000002499,0.13561249,0.0,0.0,3.9062854401592997,4.302527274996224e-05,42.095855700000016,-1629.9045140000003,0.0,-1.0,0.0,0,4.0,0.9900531743680578,0.0,-107.9459264,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27320,2.7973938,-692.1369,-106.93989,1039.448,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.0,0.0,0.0,0.0,0.04496999999999218,0.13561249,0.0,0.0,3.9062182453108187,4.232800666718972e-05,44.89324950000002,-1736.8444040000004,0.0,0.0,0.0,1,4.0,0.8745660247297539,0.0,-107.69327539999999,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27321,2.7973938,-693.3807,-106.93989,1035.745,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561249,0.0,0.0,3.9063086718795907,4.486129993257369e-05,47.69064330000002,-1843.7842940000005,0.0,0.0,0.0,0,3.0,0.6964098911640764,0.0,-107.4586834,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27322,2.7973938,-694.61597,-106.93989,1032.0392,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561249,0.0,0.0,3.906257238444418,4.083793937155615e-05,50.48803710000002,-1950.7241840000006,0.0,0.0,0.0,0,2.0,0.514415132104246,0.0,-107.2692034,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27323,2.7973938,-695.8432,-106.93989,1028.3307,-215.96875,0,784.7428384200252,0.0,-0.13561249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13561249,0.0,0.0,3.906285412370668,4.120955659009395e-05,53.28543090000002,-2057.6640740000007,0.0,0.0,0.0,0,2.0,0.33990925746709527,0.0,-107.1248364,2.7973938,0,0,1.8077756768666668,1.492748877142087,-0.8572693,7.489929,8.3471983,0.8942462042448893,2.8367327855705375,-71.79037076666667,33.43321883662537,-110.23338,-17.512894,92.720486,0.6290665555314179,-1.1867763820929744,0.015392086622073578,0.13912443614974818,-0.5414276100000001,0.9022524000000001,1.44368001,1.6044808186283084,11.412271967199194,0.06066133779264212,1.317156392937028,-7.5349119999999985,4.1057950000000005,11.640706999999999,-2.1810045863501535,13.640440836398046,0.6115275903812103,1.1759955427291693,0.0,7.5349119999999985,7.5349119999999985,3.3763617560608066,13.760765285191738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
