tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
28391,-4.603958,-378.38757,-95.50964,2039.986,-127.59717,0,423.3046027632748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012356000000011136,0.0,0.0,0.0,0.21936666958542017,0.03539406136397608,-46.11373819999999,-954.386778,0.0,0.0,0.0,1,5.0,0.0899711083771938,0.010422614185702018,-95.43867780000001,-4.61137382,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28392,-4.603958,-378.4099,-95.50964,2039.7549,-127.59491,0,423.3046027632748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2321873090849099,0.03904348967085966,-50.71769619999999,-1049.896418,0.0,0.0,0.0,0,5.0,0.068165809660122,0.0086419751471524,-95.4631218,-4.60890188,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28393,-4.603958,-378.4334,-95.50964,2039.5111,-127.59259,0,423.3046027632748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24494095696715032,0.038645774084242974,-55.32165419999999,-1145.406058,0.0,0.0,0.0,0,5.0,0.044598776597044164,0.005211307092851278,-95.4826908,-4.60642994,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28394,-4.5919495,-378.45825,-95.497284,2039.2546,-127.59015,0,423.3046027632748,0.0,0.0,0.0,0.01200850000000031,0.012356000000011136,0.01200850000000031,0.012356000000011136,0.01200850000000031,0.012356000000011136,0.0,0.0,0.0,0.257712487279876,0.03865723368078697,-59.91360369999999,-1240.903342,0.017230055375717243,1.0,1.0,1,6.0,0.023655301556533656,0.005744117011691887,-95.4949132,-4.60399312,1,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28395,-4.5919495,-378.48407,-95.47291,2038.9855,-127.587524,0,423.3046027632748,0.0,0.0,0.0,0.0,0.024373999999994567,-0.01200850000000031,0.01201799999998343,-0.02401700000000062,-0.00033800000002770503,0.0,0.0,0.0,0.27034862358811257,0.03862871579775587,-64.5055532,-1336.376252,0.024373999999994567,1.0,-1.0,0,5.0,0.014661188861807905,0.005063228170952442,-95.4985872,-4.6015563,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28396,-4.57959,-378.51093,-95.44853,2038.7036,-127.58484,0,423.3046027632748,0.0,0.0,0.0,0.012359500000000523,0.02437999999999363,0.012359500000000523,5.999999999062311e-06,0.024368000000000833,-0.012011999999984369,0.0,0.0,0.0,0.2831894656514823,0.03861731229887701,-69.08514319999999,-1431.8247820000001,0.027333891787480653,1.0,1.0,0,4.0,0.020334755036567308,0.008485914774235014,-95.4961492,-4.5991195000000005,1,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28397,-4.567566,-378.53882,-95.42381,2038.409,-127.58197,0,423.3046027632748,0.0,0.0,0.0,0.012023999999999369,0.024720000000002074,-0.0003355000000011543,0.00034000000000844466,-0.012695000000001677,0.00033400000000938235,0.0,0.0,0.0,0.29593115584535673,0.03862457953776048,-73.65270919999999,-1527.2485920000001,0.027489179252936733,1.0,-1.0,0,4.0,0.030574770971390594,0.012857644762727008,-95.4888018,-4.5954803,0,1,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28398,-4.567566,-378.568,-95.39944,2038.1018,-127.57904,0,423.3046027632748,0.0,0.0,0.0,0.0,0.024370000000004666,-0.012023999999999369,-0.00034999999999740794,-0.011688499999998214,-0.0006900000000058526,0.0,0.0,0.0,0.3085966579535797,0.03859734276454923,-78.22027519999999,-1622.648032,0.024370000000004666,-1.0,-1.0,1,5.0,0.04132471459655796,0.015139243487632601,-95.4790174,-4.591841100000001,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28399,-4.567566,-378.59814,-95.37506,2037.7819,-127.57593,0,423.3046027632748,0.0,0.0,0.0,0.0,0.02437999999999363,0.0,9.999999988963282e-06,0.012023999999999369,0.0003599999999863712,0.0,0.0,0.0,0.3213317626690153,0.03857307987635227,-82.78784119999999,-1718.0230920000001,0.02437999999999363,1.0,0.0,1,5.0,0.05102048398262371,0.016237110061695526,-95.4655594,-4.5882019,0,1,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28400,-4.567566,-378.62933,-95.350685,2037.4492,-127.572754,0,423.3046027632748,0.0,0.0,0.0,0.0,0.024375000000006253,0.0,-4.9999999873762135e-06,0.0,-1.4999999976339495e-05,0.0,0.0,0.0,0.3341738964610391,0.038589754691992516,-87.35540719999999,-1813.3737770000002,0.024375000000006253,-1.0,0.0,1,5.0,0.0597719437611738,0.016390856541921392,-95.4496639,-4.5845627,0,0,-8.853620336666667,5.662131409516891,-19.723206,-4.5552063,15.167999700000001,-0.8521382798470574,-0.946820645969153,-81.77603092333334,18.241583687626232,-95.50964,-50.2446,45.265040000000006,0.7997162605816596,-1.122642860248198,-0.050390389966555184,0.13220911919618597,-0.9897919999999996,0.027802000000001215,1.0175940000000008,-4.536739039361363,24.454336442911256,0.1479031939799331,0.38807937889747784,-0.10986400000000174,3.1623440000000045,3.2722080000000062,4.177487486234005,22.075004242839707,0.17015742676811413,0.4043891940620629,0.0,3.2752311624217123,3.2752311624217123,4.209686979448335,21.991274755598955,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
