tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
23666,-1.7567749,-234.0,-48.408173,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.012359000000003562,0.0,0.007903000000005989,0.004119900000000065,0.011687000000009107,0.0,0.0,0.0,0.0,0.0,-17.617187299999998,-484.52593999999993,0.012359000000003562,1.0,0.0,1,4.0,0.030266031090975313,0.003785878465223699,-48.452594,-1.7617187300000001,0,1,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23667,-1.7567749,-234.0,-48.4037,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.004472999999997285,0.0,-0.007886000000006277,0.0,-0.015789000000012265,0.0,0.0,0.0,0.0,0.0,-19.373962199999998,-532.92964,0.004472999999997285,-1.0,0.0,1,5.0,0.030382543365299396,0.0038842318300190883,-48.443769700000004,-1.76089476,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23668,-1.752655,-234.0,-48.399582,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.004119899999999843,0.00411799999999829,0.004119899999999843,-0.000354999999998995,0.004119899999999843,0.007531000000007282,0.0,0.0,0.0,0.0,0.0,-21.1266172,-581.329222,0.0058250751076689665,-1.0,1.0,0,5.0,0.02894650747384,0.00436437477003675,-48.434945600000006,-1.7596588,1,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23669,-1.752655,-234.0,-48.395462,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.004120000000000346,-0.004119899999999843,2.0000000020559128e-06,-0.008239799999999686,0.0003570000000010509,0.0,0.0,0.0,0.0,0.0,-22.8792722,-629.7246839999999,0.004120000000000346,1.0,-1.0,1,6.0,0.02666629058150558,0.0044287263504433376,-48.4265334,-1.7584228400000002,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23670,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.004120000000000346,0.0,0.0,0.004119899999999843,-2.0000000020559128e-06,0.0,0.0,0.0,0.0,0.0,-24.6319272,-678.1160259999999,0.004120000000000346,0.0,0.0,1,6.0,0.02254999022935003,0.004096926502961374,-48.4181563,-1.7571868799999997,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23671,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.0,0.0,-0.004120000000000346,0.0,-0.004120000000000346,0.0,0.0,0.0,0.0,0.0,-26.3845822,-726.5073679999999,0.0,-1.0,0.0,1,6.0,0.018869004883356365,0.0032498209464524967,-48.4114272,-1.75595092,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23672,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004120000000000346,0.0,0.0,0.0,0.0,0.0,-28.1372372,-774.8987099999999,0.0,0.0,0.0,1,6.0,0.015347459409339896,0.0028806583823844717,-48.4059691,-1.7551269399999998,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23673,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.889892200000002,-823.290052,0.0,0.0,0.0,0,6.0,0.01254042936750065,0.002127507211739193,-48.4017805,-1.75430296,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23674,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.642547200000003,-871.681394,0.0,0.0,0.0,0,6.0,0.009846207464417103,0.0019901007685548316,-48.3984159,-1.75389097,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23675,-1.752655,-234.0,-48.391342,-1503.08,-11.96875,0,166.89974159111938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.3952022,-920.072736,0.0,0.0,0.0,0,6.0,0.006220421429906951,0.0017371023642844944,-48.3954969,-1.7534789800000001,0,0,-1.8324668383333331,0.06033622698170969,-1.9250183,-1.7272644,0.19775390000000015,-0.0036178621600646108,-1.334303411422385,-48.50029952333334,0.07294897951653923,-48.597336,-48.302765,0.2945709999999977,1.0852675127001343,0.194513658619623,-0.00047884046822742457,0.0030725525750496217,-0.012710600000000127,0.00857550000000007,0.021286100000000197,-2.1411564747083838,7.6862325181938616,-0.00023995652173913713,0.009002589583531603,-0.059052000000001215,0.041869999999995855,0.10092199999999707,-1.3830643688723463,13.422135671084163,0.0041344477584590285,0.008580443401570062,0.0,0.059052000000001215,0.059052000000001215,3.0967010465940765,11.138317553770698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
