tick,pitch,yaw,steamid,label,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis
43398,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,2.2006226,846.0433999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43399,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,2.42068486,930.6477399999999,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43400,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6407471200000003,1015.2520799999999,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43401,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,2.8608093800000005,1099.8564199999998,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43402,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0808716400000007,1184.46076,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43403,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,3.300933900000001,1269.0651,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43404,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,3.520996160000001,1353.6694400000001,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43405,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,3.741058420000001,1438.2737800000002,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43406,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,3.9611206800000014,1522.8781200000003,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43407,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,4.181182940000001,1607.4824600000004,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43408,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,4.401245200000001,1692.0868000000005,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43409,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,4.621307460000001,1776.6911400000006,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43410,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,4.84136972,1861.2954800000007,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43411,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,5.06143198,1945.8998200000008,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43412,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,5.28149424,2030.5041600000009,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43413,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,5.5015564999999995,2115.1085000000007,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43414,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,5.721618759999999,2199.7128400000006,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43415,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,5.941681019999999,2284.3171800000005,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43416,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,6.161743279999999,2368.9215200000003,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43417,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,6.3818055399999984,2453.52586,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43418,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,6.601867799999998,2538.1302,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43419,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,6.821930059999998,2622.73454,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43420,0.22006226,84.60434,76561199737732785,0,0.0,0.0,0.0,0.0,0.0,0.0,7.041992319999998,2707.33888,0.0,0.0,0.0,0,0.0,0.0,0.0,84.60434,0.22006226,0,0,0.22006225999999998,2.7801950878738235e-17,0.22006226,0.22006226,0.0,0.0,0.0,84.60434,0.0,84.60434,84.60434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
