tick,pitch,X,yaw,Y,Z,label,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed,pitch_velocity,yaw_velocity,pitch_acceleration,yaw_acceleration,pitch_jerk,yaw_jerk,snap_magnitude,speed_rolling_std,speed_rolling_mean,position_delta,position_jumpiness,cumulative_pitch,cumulative_yaw,angle_magnitude,yaw_change_sign,pitch_change_sign,direction_flips,flip_rate,yaw_rolling_std,pitch_rolling_std,yaw_rolling_mean,pitch_rolling_mean,pitch_peaks,yaw_peaks,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_skew,pitch_kurtosis,yaw_mean,yaw_std,yaw_min,yaw_max,yaw_range,yaw_skew,yaw_kurtosis,pitch_velocity_mean,pitch_velocity_std,pitch_velocity_min,pitch_velocity_max,pitch_velocity_range,pitch_velocity_skew,pitch_velocity_kurtosis,yaw_velocity_mean,yaw_velocity_std,yaw_velocity_min,yaw_velocity_max,yaw_velocity_range,yaw_velocity_skew,yaw_velocity_kurtosis,angle_magnitude_mean,angle_magnitude_std,angle_magnitude_min,angle_magnitude_max,angle_magnitude_range,angle_magnitude_skew,angle_magnitude_kurtosis,weapon_grenade,weapon_lmg,weapon_melee,weapon_pistol,weapon_rifle,weapon_shotgun,weapon_smg,weapon_sniper,weapon_unknown
22917,-5.844391,-80.35199,-165.80396,262.00027,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.02539000000001579,0.0,0.02539000000001579,0.0,0.02539000000001579,1.6821218723752398,0.0,0.7615902,1.6206499481689476,0.022929787723586868,-58.44391000000001,-1658.26811,0.02539000000001579,1.0,0.0,1,1.0,0.00802902297917051,0.0,-165.826811,-5.844391,0,1,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22918,-5.844391,-81.96643,-165.80396,261.60016,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.0,0.0,-0.02539000000001579,0.0,-0.05078000000003158,1.6821218723752398,0.0,0.7615902,1.6632812527350846,0.022638006309755952,-64.288301,-1824.07207,0.0,-1.0,0.0,1,2.0,0.010705363972223436,0.0,-165.824272,-5.844391,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22919,-5.844391,-83.545044,-165.77888,261.20837,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.025080000000002656,0.0,0.025080000000002656,0.0,0.050470000000018445,1.6821218723752398,0.0,0.7615902,1.6265059376147437,0.022030534010480114,-70.132692,-1989.85095,0.025080000000002656,1.0,0.0,1,3.0,0.01767411431066334,0.0,-165.81922500000002,-5.844391,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22920,-5.869446,-85.1637,-165.72807,260.8056,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,-0.02505500000000005,0.05080999999998426,-0.02505500000000005,0.0257299999999816,-0.02505500000000005,0.0006499999999789452,1.6821218723752398,0.0,0.7615902,1.6680140644598849,0.022494080444747985,-76.002138,-2155.57902,0.05665164715167956,1.0,-1.0,0,3.0,0.03332053656028639,0.00792308667755192,-165.809097,-5.8468965,0,1,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22921,-5.869446,-86.736694,-165.67761,260.41385,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.05046000000001527,0.02505500000000005,-0.00034999999996898623,0.0501100000000001,-0.026079999999950587,1.6821218723752398,0.0,0.7615902,1.6210423148505357,0.023023637596853906,-81.871584,-2321.2566300000003,0.05046000000001527,-1.0,1.0,1,4.0,0.052247772743573354,0.010564115570069279,-165.793923,-5.8494019999999995,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22922,-5.869446,-88.35101,-165.65219,260.0106,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.02541999999999689,0.0,-0.02504000000001838,-0.02505500000000005,-0.024690000000049395,1.6821218723752398,0.0,0.7615902,1.66391908167315,0.022523142933851107,-87.74103,-2486.90882,0.02541999999999689,-1.0,0.0,0,4.0,0.06688553423570381,0.01210271481252608,-165.77620699999997,-5.8519075,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22923,-5.869446,-89.92822,-165.65219,259.61627,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.0,0.0,-0.02541999999999689,0.0,-0.00037999999997850864,1.6821218723752398,0.0,0.7615902,1.6257575258936987,0.021966452345346416,-93.61047599999999,-2652.56101,0.0,-1.0,0.0,0,4.0,0.0742971088789577,0.012938346365230563,-165.758491,-5.854412999999999,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22924,-5.8948517,-91.54657,-165.65219,259.21075,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,-0.02540570000000031,0.0,-0.02540570000000031,0.0,-0.02540570000000031,0.02541999999999689,1.6821218723752398,0.0,0.7615902,1.6683834070440746,0.022482605693888182,-99.5053277,-2818.2131999999997,0.02540570000000031,0.0,-1.0,1,5.0,0.07660931307610366,0.01759680213763974,-165.74077499999999,-5.85945907,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22925,-5.8948517,-93.11859,-165.62714,258.81638,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,0.0,0.025049999999993133,0.02540570000000031,0.025049999999993133,0.05081140000000062,0.025049999999993133,1.6821218723752398,0.0,0.7615902,1.620732728521274,0.02306323316200422,-105.4001794,-2983.8403399999997,0.025049999999993133,1.0,1.0,1,6.0,0.07731564153945485,0.019882405146215528,-165.720554,-5.86450514,1,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22926,-5.9202576,-94.73193,-165.57632,258.41064,-188.83362,0,399.5193860827969,0.20222473,-1.6699219,0.7615902,-0.02540589999999998,0.05081999999998743,-0.02540589999999998,0.025769999999994297,-0.05081160000000029,0.0007200000000011642,1.6821218723752398,0.0,0.7615902,1.6635777418563913,0.022546690095836416,-111.320437,-3149.41666,0.05681665385086244,1.0,-1.0,0,6.0,0.07913689607950986,0.025135133397388293,-165.695251,-5.8720918,0,0,-7.211180316,2.4994128011681815,-11.157303,-3.238556,7.918747000000001,-0.00391435326953389,-0.9707471439902191,-146.57073259333333,13.030302469256627,-165.82935,-126.79253,39.036820000000006,0.1700911129212529,-1.2554467004183485,-0.010746321070234115,0.1502428251235797,-0.7590788999999996,0.7082825000000001,1.4673613999999997,0.019355939281196038,9.96444056825167,0.04882070234113719,0.4334034027000727,-2.0238899999999944,1.998829999999998,4.0227199999999925,-0.3006055461692957,5.218619106247985,0.28094478307613113,0.36568279871157605,0.0,2.0245277201908047,2.0245277201908047,2.073461505174581,5.026407662838658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
