pitch,yaw,tick,steamid,name
1.1868591,-47.87224,31556,76561198822643426,XXX
1.1868591,-47.85782,31557,76561198822643426,XXX
1.1868591,-47.85782,31558,76561198822643426,XXX
1.1868591,-47.85782,31559,76561198822643426,XXX
1.1868591,-47.85782,31560,76561198822643426,XXX
1.1721039,-47.85782,31561,76561198822643426,XXX
1.1576843,-47.8434,31562,76561198822643426,XXX
1.1285095,-47.8434,31563,76561198822643426,XXX
1.0848999,-47.81421,31564,76561198822643426,XXX
1.026886,-47.72702,31565,76561198822643426,XXX
0.9688568,-47.625397,31566,76561198822643426,XXX
0.91049194,-47.523422,31567,76561198822643426,XXX
0.8668823,-47.43622,31568,76561198822643426,XXX
0.8088684,-47.18936,31569,76561198822643426,XXX
0.7652588,-47.014954,31570,76561198822643426,XXX
0.736084,-46.884155,31571,76561198822643426,XXX
0.7216644,-46.79695,31572,76561198822643426,XXX
0.69247437,-46.622543,31573,76561198822643426,XXX
0.69247437,-46.506165,31574,76561198822643426,XXX
0.69247437,-46.476974,31575,76561198822643426,XXX
0.69247437,-46.476974,31576,76561198822643426,XXX
0.69247437,-46.476974,31577,76561198822643426,XXX
0.67807007,-46.506165,31578,76561198822643426,XXX
0.67807007,-46.52057,31579,76561198822643426,XXX
0.67807007,-46.53534,31580,76561198822643426,XXX
0.64888,-46.53534,31581,76561198822643426,XXX
0.63446045,-46.54976,31582,76561198822643426,XXX
0.63446045,-46.54976,31583,76561198822643426,XXX
0.63446045,-46.54976,31584,76561198822643426,XXX
0.63446045,-46.54976,31585,76561198822643426,XXX
0.63446045,-46.54976,31586,76561198822643426,XXX
0.63446045,-46.54976,31587,76561198822643426,XXX
0.6200409,-46.52057,31588,76561198822643426,XXX
0.6200409,-46.476974,31589,76561198822643426,XXX
0.6200409,-46.462555,31590,76561198822643426,XXX
0.6200409,-46.462555,31591,76561198822643426,XXX
0.6200409,-46.462555,31592,76561198822643426,XXX
0.6200409,-46.462555,31593,76561198822643426,XXX
0.6200409,-46.462555,31594,76561198822643426,XXX
0.6200409,-46.462555,31595,76561198822643426,XXX
0.6200409,-46.462555,31596,76561198822643426,XXX
0.6526489,-46.42993,31597,76561198822643426,XXX
0.7834625,-45.84114,31598,76561198822643426,XXX
1.1103058,-43.846436,31599,76561198822643426,XXX
1.6335297,-40.08603,31600,76561198822643426,XXX
2.1241455,-35.21324,31601,76561198822643426,XXX
2.810791,-24.879913,31602,76561198822643426,XXX
3.13797,-14.677048,31603,76561198822643426,XXX
3.366623,-4.0821075,31604,76561198822643426,XXX
3.366623,5.009079,31605,76561198822643426,XXX
3.2358093,12.955292,31606,76561198822643426,XXX
3.105011,17.40268,31607,76561198822643426,XXX
3.0397797,20.542023,31608,76561198822643426,XXX
3.105011,21.621094,31609,76561198822643426,XXX
3.1705933,21.751892,31610,76561198822643426,XXX
3.3013916,21.555511,31611,76561198822643426,XXX
3.334015,20.90149,31612,76561198822643426,XXX
3.334015,20.411224,31613,76561198822643426,XXX
3.334015,20.313034,31614,76561198822643426,XXX
3.334015,20.280426,31615,76561198822643426,XXX
3.334015,20.214844,31616,76561198822643426,XXX
3.366623,19.920624,31617,76561198822643426,XXX
3.2687683,18.77597,31618,76561198822643426,XXX
3.1705933,17.206299,31619,76561198822643426,XXX
3.13797,15.244217,31620,76561198822643426,XXX
3.2358093,13.347702,31621,76561198822643426,XXX
3.5630035,10.469971,31622,76561198822643426,XXX
3.988037,7.1345825,31623,76561198822643426,XXX
4.6094513,0.3652954,31624,76561198822643426,XXX
5.067108,-7.580902,31625,76561198822643426,XXX
5.4595184,-16.312286,31626,76561198822643426,XXX
5.623291,-22.85225,31627,76561198822643426,XXX
6.0157013,-32.302887,31628,76561198822643426,XXX
6.211731,-38.319977,31629,76561198822643426,XXX
6.211731,-45.48169,31630,76561198822643426,XXX
6.0483093,-49.86351,31631,76561198822643426,XXX
5.7867126,-53.59131,31632,76561198822643426,XXX
5.655899,-54.60514,31633,76561198822643426,XXX
5.623291,-54.801178,31634,76561198822643426,XXX
5.590332,-54.834137,31635,76561198822643426,XXX
5.5577087,-54.834137,31636,76561198822643426,XXX
5.5250854,-54.834137,31637,76561198822643426,XXX
5.4595184,-54.801178,31638,76561198822643426,XXX
5.4269104,-54.801178,31639,76561198822643426,XXX
5.4269104,-54.801178,31640,76561198822643426,XXX
5.4269104,-54.801178,31641,76561198822643426,XXX
5.4269104,-54.801178,31642,76561198822643426,XXX
5.4269104,-54.801178,31643,76561198822643426,XXX
5.4269104,-54.801178,31644,76561198822643426,XXX
5.4269104,-54.801178,31645,76561198822643426,XXX
5.394287,-54.768562,31646,76561198822643426,XXX
5.328705,-54.70333,31647,76561198822643426,XXX
5.2308655,-54.60514,31648,76561198822643426,XXX
5.132675,-54.53991,31649,76561198822643426,XXX
5.067108,-54.409103,31650,76561198822643426,XXX
4.9362946,-54.180107,31651,76561198822643426,XXX
4.83844,-54.016685,31652,76561198822643426,XXX
4.740265,-53.85292,31653,76561198822643426,XXX
4.6420593,-53.755074,31654,76561198822643426,XXX
4.5768433,-53.656883,31655,76561198822643426,XXX
4.4786377,-53.558693,31656,76561198822643426,XXX
4.3478394,-53.329697,31657,76561198822643426,XXX
4.249649,-53.166275,31658,76561198822643426,XXX
4.1514587,-52.93728,31659,76561198822643426,XXX
4.0536194,-52.806473,31660,76561198822643426,XXX
3.9554138,-52.57782,31661,76561198822643426,XXX
3.9228058,-52.447014,31662,76561198822643426,XXX
3.8572388,-52.218018,31663,76561198822643426,XXX
3.7590332,-51.858215,31664,76561198822643426,XXX
3.6611938,-51.563995,31665,76561198822643426,XXX
3.5956116,-51.367615,31666,76561198822643426,XXX
3.4648132,-51.07338,31667,76561198822643426,XXX
3.366623,-50.779144,31668,76561198822643426,XXX
