pitch,yaw,tick,steamid
14.147308,16.87294,61632,76561198822643426
14.147308,16.87294,61633,76561198822643426
14.147308,16.87294,61634,76561198822643426
14.147308,16.87294,61635,76561198822643426
14.147308,16.87294,61636,76561198822643426
14.114685,16.840332,61637,76561198822643426
13.820465,15.663071,61638,76561198822643426
13.460663,13.635742,61639,76561198822643426
13.329849,11.57547,61640,76561198822643426
13.362457,9.057541,61641,76561198822643426
12.806625,6.1798096,61642,76561198822643426
11.694611,2.8114624,61643,76561198822643426
10.975342,0.09750366,61644,76561198822643426
10.092316,-3.5976868,61645,76561198822643426
9.274872,-6.8678284,61646,76561198822643426
8.359222,-10.465164,61647,76561198822643426
7.5091553,-13.212097,61648,76561198822643426
6.7569275,-15.53363,61649,76561198822643426
6.266327,-17.36493,61650,76561198822643426
5.9065247,-18.901978,61651,76561198822643426
5.8086853,-19.490433,61652,76561198822643426
5.8086853,-19.556,61653,76561198822643426
5.8086853,-19.556,61654,76561198822643426
5.8086853,-19.556,61655,76561198822643426
5.8086853,-19.556,61656,76561198822643426
5.8086853,-19.556,61657,76561198822643426
5.8086853,-19.556,61658,76561198822643426
5.8086853,-19.556,61659,76561198822643426
5.8086853,-19.556,61660,76561198822643426
5.8086853,-19.556,61661,76561198822643426
5.8086853,-19.556,61662,76561198822643426
5.8086853,-19.556,61663,76561198822643426
5.8086853,-19.556,61664,76561198822643426
5.8086853,-19.556,61665,76561198822643426
5.6449127,-19.35962,61666,76561198822643426
5.514099,-19.294403,61667,76561198822643426
5.2525024,-19.490433,61668,76561198822643426
5.121689,-19.882843,61669,76561198822643426
5.089081,-20.013657,61670,76561198822643426
5.089081,-20.013657,61671,76561198822643426
5.089081,-20.013657,61672,76561198822643426
5.089081,-20.013657,61673,76561198822643426
5.0564575,-20.013657,61674,76561198822643426
5.0564575,-20.013657,61675,76561198822643426
4.9908752,-19.948425,61676,76561198822643426
4.9908752,-19.948425,61677,76561198822643426
4.958267,-19.882843,61678,76561198822643426
4.958267,-19.850235,61679,76561198822643426
4.958267,-19.654205,61680,76561198822643426
4.9908752,-19.490433,61681,76561198822643426
4.9908752,-19.16359,61682,76561198822643426
4.9908752,-18.607758,61683,76561198822643426
4.958267,-17.822906,61684,76561198822643426
4.958267,-17.070694,61685,76561198822643426
4.925659,-15.926056,61686,76561198822643426
4.958267,-14.716187,61687,76561198822643426
4.9908752,-13.767929,61688,76561198822643426
5.089081,-12.655914,61689,76561198822643426
5.187256,-11.511612,61690,76561198822643426
5.2525024,-10.366974,61691,76561198822643426
5.2854614,-9.451324,61692,76561198822643426
5.2854614,-8.4375,61693,76561198822643426
5.2854614,-7.816086,61694,76561198822643426
5.3506775,-7.0315857,61695,76561198822643426
5.481491,-6.6717834,61696,76561198822643426
5.481491,-6.6717834,61697,76561198822643426
5.481491,-6.6717834,61698,76561198822643426
5.481491,-6.6717834,61699,76561198822643426
5.481491,-6.6717834,61700,76561198822643426
5.481491,-6.6717834,61701,76561198822643426
5.481491,-6.6717834,61702,76561198822643426
5.481491,-6.6717834,61703,76561198822643426
5.481491,-6.6717834,61704,76561198822643426
5.481491,-6.6717834,61705,76561198822643426
5.481491,-6.6717834,61706,76561198822643426
5.481491,-6.6717834,61707,76561198822643426
5.481491,-6.6717834,61708,76561198822643426
5.481491,-6.6717834,61709,76561198822643426
5.481491,-6.6717834,61710,76561198822643426
5.481491,-6.6717834,61711,76561198822643426
5.514099,-6.6717834,61712,76561198822643426
5.5796814,-6.7044067,61713,76561198822643426
5.547058,-6.6717834,61714,76561198822643426
5.41626,-7.03125,61715,76561198822643426
5.3506775,-7.2276306,61716,76561198822643426
5.3506775,-7.2276306,61717,76561198822643426
5.3506775,-7.2276306,61718,76561198822643426
5.3506775,-7.2276306,61719,76561198822643426
5.3506775,-7.2276306,61720,76561198822643426
5.3506775,-7.2276306,61721,76561198822643426
5.3506775,-7.2276306,61722,76561198822643426
5.3506775,-7.2276306,61723,76561198822643426
5.383301,-7.260254,61724,76561198822643426
5.383301,-7.260254,61725,76561198822643426
5.383301,-7.260254,61726,76561198822643426
5.383301,-7.260254,61727,76561198822643426
5.383301,-7.260254,61728,76561198822643426
5.383301,-7.260254,61729,76561198822643426
5.383301,-7.292862,61730,76561198822643426
5.3506775,-7.292862,61731,76561198822643426
5.3506775,-7.260254,61732,76561198822643426
5.383301,-7.2276306,61733,76561198822643426
5.383301,-7.1294403,61734,76561198822643426
5.383301,-6.9986267,61735,76561198822643426
5.383301,-6.73703,61736,76561198822643426
5.41626,-6.246765,61737,76561198822643426
5.448883,-5.6253357,61738,76561198822643426
5.448883,-4.93869,61739,76561198822643426
5.514099,-4.4480896,61740,76561198822643426
5.5796814,-3.957489,61741,76561198822643426
5.5796814,-3.6958618,61742,76561198822643426
5.5796814,-3.4016418,61743,76561198822643426
5.5796814,-3.2382202,61744,76561198822643426
5.5796814,-3.074463,61745,76561198822643426
5.547058,-2.9766083,61746,76561198822643426
5.547058,-2.9766083,61747,76561198822643426
5.547058,-2.9766083,61748,76561198822643426
5.547058,-2.9766083,61749,76561198822643426
5.547058,-2.9766083,61750,76561198822643426
5.547058,-2.9766083,61751,76561198822643426
5.514099,-2.9766083,61752,76561198822643426
5.514099,-2.9766083,61753,76561198822643426
5.481491,-2.9766083,61754,76561198822643426
5.448883,-2.9766083,61755,76561198822643426
5.2854614,-3.0418396,61756,76561198822643426
5.154648,-3.172638,61757,76561198822643426
4.958267,-3.4998322,61758,76561198822643426
4.664032,-4.1864777,61759,76561198822643426
4.369812,-5.1673584,61760,76561198822643426
3.8792114,-7.5218506,61761,76561198822643426
3.3233643,-10.8246155,61762,76561198822643426
3.0617523,-12.95047,61763,76561198822643426
3.0617523,-12.95047,61764,76561198822643426
3.0617523,-12.95047,61765,76561198822643426
3.0617523,-12.95047,61766,76561198822643426
3.0617523,-12.95047,61767,76561198822643426
3.0617523,-12.95047,61768,76561198822643426
3.0617523,-12.95047,61769,76561198822643426
3.0617523,-12.95047,61770,76561198822643426
3.0617523,-12.95047,61771,76561198822643426
3.0617523,-12.95047,61772,76561198822643426
3.0617523,-12.95047,61773,76561198822643426
3.0617523,-12.95047,61774,76561198822643426
3.0617523,-12.95047,61775,76561198822643426
3.0617523,-12.95047,61776,76561198822643426
3.0617523,-12.95047,61777,76561198822643426
3.0617523,-12.95047,61778,76561198822643426
3.0617523,-12.95047,61779,76561198822643426
3.0617523,-12.95047,61780,76561198822643426
3.0617523,-12.95047,61781,76561198822643426
3.0617523,-12.95047,61782,76561198822643426
3.0287933,-12.983093,61783,76561198822643426
2.8001404,-14.127731,61784,76561198822643426
2.669342,-15.304642,61785,76561198822643426
2.2769165,-18.411377,61786,76561198822643426
1.9171143,-22.106552,61787,76561198822643426
1.328659,-26.488724,61788,76561198822643426
0.54382324,-31.655396,61789,76561198822643426
-0.110198975,-35.612183,61790,76561198822643426
-0.96061707,-40.909653,61791,76561198822643426
-1.483841,-45.324432,61792,76561198822643426
-1.516449,-46.730682,61793,76561198822643426
-1.516449,-46.730682,61794,76561198822643426
-1.516449,-46.730682,61795,76561198822643426
-1.516449,-46.730682,61796,76561198822643426
-1.516449,-46.730682,61797,76561198822643426
-1.516449,-46.730682,61798,76561198822643426
-1.516449,-46.730682,61799,76561198822643426
-1.516449,-46.730682,61800,76561198822643426
-1.516449,-46.730682,61801,76561198822643426
-1.516449,-46.730682,61802,76561198822643426
-1.516449,-46.730682,61803,76561198822643426
-1.516449,-46.730682,61804,76561198822643426
-2.0722961,-46.14189,61805,76561198822643426
-2.628479,-46.697723,61806,76561198822643426
-3.0209045,-47.711563,61807,76561198822643426
-3.3151245,-49.215668,61808,76561198822643426
-3.772766,-51.014328,61809,76561198822643426
-4.230774,-52.48581,61810,76561198822643426
-4.851837,-54.775085,61811,76561198822643426
-5.5388184,-57.685432,61812,76561198822643426
-5.931244,-59.581947,61813,76561198822643426
-6.454468,-61.544037,61814,76561198822643426
-6.8795013,-63.01552,61815,76561198822643426
-7.4679565,-65.01057,61816,76561198822643426
-8.449173,-67.46292,61817,76561198822643426
-9.332199,-69.5232,61818,76561198822643426
-10.182266,-71.419716,61819,76561198822643426
