pitch,yaw,tick,steamid
-2.1227722,-179.61514,60135,76561199039565051
-1.9850922,-179.39507,60136,76561199039565051
-1.710083,-178.9,60137,76561199039565051
-1.4350891,-178.40492,60138,76561199039565051
-1.2702942,-178.02005,60139,76561199039565051
-1.1326294,-177.66266,60140,76561199039565051
-1.0502319,-177.33238,60141,76561199039565051
-0.9953003,-177.05737,60142,76561199039565051
-0.9953003,-176.86511,60143,76561199039565051
-0.9953003,-176.61758,60144,76561199039565051
-0.9953003,-176.42499,60145,76561199039565051
-0.9953003,-175.8475,60146,76561199039565051
-0.9953003,-175.62744,60147,76561199039565051
-0.9953003,-175.04997,60148,76561199039565051
-0.9953003,-174.72003,60149,76561199039565051
-0.9678345,-174.61017,60150,76561199039565051
-0.9400177,-174.5549,60151,76561199039565051
-0.9400177,-174.5549,60152,76561199039565051
-0.9400177,-174.5549,60153,76561199039565051
-0.9400177,-174.5549,60154,76561199039565051
-0.9125519,-174.41757,60155,76561199039565051
-0.88508606,-174.17004,60156,76561199039565051
-0.88508606,-172.89047,60157,76561199039565051
-0.88508606,-172.05173,60158,76561199039565051
-0.88508606,-171.96933,60159,76561199039565051
-0.9125519,-171.832,60160,76561199039565051
-0.9125519,-171.74927,60161,76561199039565051
-0.9125519,-171.74927,60162,76561199039565051
-0.9125519,-171.74927,60163,76561199039565051
-0.9125519,-171.74927,60164,76561199039565051
-0.9400177,-171.69434,60165,76561199039565051
-0.9678345,-171.6394,60166,76561199039565051
-0.9678345,-171.61194,60167,76561199039565051
-1.0227661,-171.52954,60168,76561199039565051
-1.0776978,-169.54892,60169,76561199039565051
-1.1326294,-169.52145,60170,76561199039565051
-1.2702942,-169.57639,60171,76561199039565051
-1.3801575,-169.65878,60172,76561199039565051
-1.4350891,-169.74152,60173,76561199039565051
-1.5178223,-170.07144,60174,76561199039565051
-1.5452881,-170.12637,60175,76561199039565051
-1.5727539,-170.20877,60176,76561199039565051
-1.5727539,-170.20877,60177,76561199039565051
-1.5727539,-170.20877,60178,76561199039565051
-1.6276855,-170.1813,60179,76561199039565051
-1.6276855,-170.1813,60180,76561199039565051
-1.6276855,-171.1251,60181,76561199039565051
-1.6276855,-171.1251,60182,76561199039565051
-1.6276855,-171.1251,60183,76561199039565051
-1.6276855,-171.26244,60184,76561199039565051
-1.6276855,-171.45505,60185,76561199039565051
-1.6276855,-171.73004,60186,76561199039565051
-1.6276855,-172.0325,60187,76561199039565051
-1.6276855,-172.38991,60188,76561199039565051
-1.6276855,-172.93991,60189,76561199039565051
-1.6276855,-173.57231,60190,76561199039565051
-1.6276855,-174.25998,60191,76561199039565051
-1.6276855,-174.64485,60192,76561199039565051
-1.6276855,-175.29407,60193,76561199039565051
-1.6276855,-175.62401,60194,76561199039565051
-1.6276855,-176.25674,60195,76561199039565051
-1.6276855,-176.91663,60196,76561199039565051
-1.6276855,-177.02649,60197,76561199039565051
-1.5727539,-177.32895,60198,76561199039565051
-1.5452881,-177.38422,60199,76561199039565051
-1.5178223,-177.49408,60200,76561199039565051
-1.4900208,-177.60394,60201,76561199039565051
-1.4900208,-177.68669,60202,76561199039565051
-1.4900208,-177.79655,60203,76561199039565051
-1.4350891,-176.97498,60204,76561199039565051
-1.3801575,-177.10065,60205,76561199039565051
-1.3526917,-177.29291,60206,76561199039565051
-1.3526917,-177.65063,60207,76561199039565051
-1.3526917,-177.92564,60208,76561199039565051
-1.3526917,-178.00804,60209,76561199039565051
-1.3526917,-178.0355,60210,76561199039565051
-1.3526917,-178.0355,60211,76561199039565051
-1.3526917,-178.0355,60212,76561199039565051
-1.3526917,-178.0355,60213,76561199039565051
-1.3526917,-178.0355,60214,76561199039565051
-1.3526917,-178.56285,60215,76561199039565051
-1.3526917,-179.00299,60216,76561199039565051
-1.3526917,-179.00299,60217,76561199039565051
-1.3526917,-179.03046,60218,76561199039565051
-1.2702942,-179.22305,60219,76561199039565051
-1.2702942,-179.25052,60220,76561199039565051
-1.2150269,-179.52553,60221,76561199039565051
-1.187561,-179.71814,60222,76561199039565051
-1.1600952,-179.828,60223,76561199039565051
-1.1051636,179.95193,60224,76561199039565051
-1.0776978,179.897,60225,76561199039565051
-1.0227661,179.39642,60226,76561199039565051
-0.9678345,179.25876,60227,76561199039565051
-0.9400177,179.20383,60228,76561199039565051
-0.88508606,179.09396,60229,76561199039565051
-0.88508606,179.09396,60230,76561199039565051
-0.88508606,179.09396,60231,76561199039565051
-0.88508606,179.09396,60232,76561199039565051
-0.88508606,179.09396,60233,76561199039565051
-0.88508606,179.09396,60234,76561199039565051
-0.85762024,179.12143,60235,76561199039565051
-0.8301544,179.2313,60236,76561199039565051
-0.8026886,179.31369,60237,76561199039565051
-0.74775696,179.64362,60238,76561199039565051
-0.74775696,179.75385,60239,76561199039565051
-0.72029114,-179.6687,60240,76561199039565051
-0.6375427,-179.25636,60241,76561199039565051
-0.6100769,-179.03629,60242,76561199039565051
-0.5002136,-178.37608,60243,76561199039565051
-0.44528198,-178.15636,60244,76561199039565051
-0.36254883,-177.71622,60245,76561199039565051
-0.22521973,-177.05635,60246,76561199039565051
-0.1977539,-176.86374,60247,76561199039565051
-1.915741,-178.34862,60248,76561199039565051
-1.915741,-178.26587,60249,76561199039565051
-1.8882751,-178.156,60250,76561199039565051
-1.8882751,-178.156,60251,76561199039565051
-1.8882751,-178.156,60252,76561199039565051
-1.8882751,-178.156,60253,76561199039565051
-1.8882751,-178.156,60254,76561199039565051
-1.8882751,-178.156,60255,76561199039565051
